,source_text,target_text
440,01b90000000b0010000000020400004204,01b900000006001000000002
948,03b600000006000400000002,03b600000007000404289a431b
1083,043d00000006000300000002,043d0000000700030400004214
1457,05b300000006000400000002,05b3000000070004041bc9435b
1506,05e400000008000f000400040100,05e400000003008f02
276,01150000000b0010000000020400004228,011500000006001000000002
772,030600000006000500140000,030600000003008502
382,017f00000006000300000002,017f00000007000304000041b8
2755,0ac600000012007f32c55b6777b849b1562e3fb7788729af,0ac60000000300ff01
2001,07d300000006000300000002,07d30000000700030400004080
1263,04f100000006000400000002,04f100000007000404d51a4342
1500,05de0000000600060005001b,05de00000003008602
1329,053300000006000400220001,053300000003008402
1175,049900000006000300000002,04990000000700030400004234
2529,09e400000006000300000002,09e40000000700030400004188
1693,069f00000006000400000002,069f000000070004044dc84379
1322,052c0000000a007f5421d7d66ee37a3d,052c0000000300ff01
3312,0cf30000001200ed5cde57689d1cf1d3ca398e0fc758a751,0cf300000003006d01
411,019c00000006000400000002,019c000000070004043e2e42ac
395,018c00000006000300000002,018c0000000700030400004238
2574,0a1100000006000400000002,0a11000000070004049eef43b4
169,00aa00000006000300000002,00aa00000007000304000041c8
3538,0dd500000006000300000002,0dd50000000700030400004214
1200,04b20000000b0010000000020400004040,04b200000006001000000002
3020,0bcf00000006000300000002,0bcf0000000700030400004040
1514,05ec0000000a00308160c4cafdad9cba,05ec0000000300b001
635,027d00000006000300000002,027d000000070003040000420c
2538,09ed000000060004001b0001,09ed00000003008402
2789,0ae800000006000400000002,0ae80000000700040457f343c2
409,019a00000006000400000002,019a00000007000404c34c42ab
2488,09bb00000006000300000002,09bb0000000700030400004238
2446,099100000006000400000002,0991000000070004048f3343ac
3176,0c6b000000060003002b0001,0c6b00000003008302
3496,0dab0000000b0010000000020400004080,0dab00000006001000000002
367,017000000012009420802eb416813429d9746a5b95de9e13,017000000003001401
264,01090000001a00a86a80f2557401f4d67394e2fa475754adf97bd8ef4c86d97c,010900000003002801
1186,04a400000006000600210002,04a400000003008602
350,015f00000006000300000002,015f0000000700030400004244
3596,0e0f0000000b0010000000020400004198,0e0f00000006001000000002
82,00530000000a00c0112167674bd9f0aa,005300000003004001
3382,0d390000000b00100000000204000041a0,0d3900000006001000000002
3362,0d250000000b0010000000020400004080,0d2500000006001000000002
9,000a0000001a00e1d3ba2d5344a04cfccefaee3e0d5d2369d20855f696f00b83,000a00000003006101
407,01980000000b00100000000204000041a0,019800000006001000000002
2914,0b650000000b0010000000020400004224,0b6500000006001000000002
2312,090b00000006000100300001,090b00000003008102
3243,0cae0000000b00100000000204000041a8,0cae00000006001000000002
2510,09d100000006000300000002,09d10000000700030400004200
512,02020000000a00b8089f958a95cf7558,020200000003003801
3502,0db10000000b00100000000204000041a8,0db100000006001000000002
978,03d400000006000400000002,03d400000007000404f53f431e
2295,08fa0000000b001000000002040000421c,08fa00000006001000000002
1915,077d00000006000400000002,077d000000070004048877438a
2805,0af800000006000300000002,0af800000007000304000041e8
935,03a9000000060005000fff00,03a900000003008502
956,03be0000000b00100000000204000041a0,03be00000006001000000002
1593,063b00000006000400000002,063b00000007000404aa75436c
981,03d70000001a005bb40bcc2f594cc53dc9e9248a7f5b1bf83a79b1734027a795,03d70000000300db01
1738,06cc00000006000400220001,06cc00000003008402
1947,079d0000000b0010002b00020400004180,079d00000003009002
2666,0a6d00000006000600190015,0a6d00000003008602
1053,041f0000000a00e1026ad702b057767c,041f00000003006101
1710,06b00000000b0010000000020400004200,06b000000006001000000002
2419,097600000006000300000002,09760000000700030400004140
1101,044f00000006000300000002,044f00000007000304000040c0
907,038d0000000b001000000002040000423c,038d00000006001000000002
3494,0da900000006000300000002,0da90000000700030400004210
1768,06ea0000000b0010000000020400004224,06ea00000006001000000002
1055,042100000006000400000002,0421000000070004048e754328
2357,093800000006000300000002,09380000000700030400004110
691,02b500000006000400000002,02b5000000070004042a1f42f4
870,036800000006000300000002,03680000000700030400004208
3282,0cd500000006000400000002,0cd5000000070004047d4d43e1
3,00040000000b0010000000020400004120,000400000006001000000002
2833,0b1400000006000300000002,0b140000000700030400004248
2783,0ae20000001200d90dbaf4fadafeac81bb4567d7c5a8a3eb,0ae200000003005901
1611,064d00000006000300000002,064d0000000700030400004238
1828,072600000006000400000002,0726000000070004043b644385
3549,0de000000006000400000002,0de00000000700040478fc43f2
653,028f00000006000200120001,028f00000003008202
658,02940000000a00f32bb46a8112ba02e1,029400000003007301
3399,0d4a0000000b0010000000020400004120,0d4a00000006001000000002
875,036d00000006000400000002,036d00000007000404cccf4311
3379,0d360000000600050023ff00,0d3600000003008502
1235,04d50000000a0098938addc09165f0f6,04d500000003001801
1956,07a60000000a003086d20d875ad4f6b9,07a60000000300b001
1546,060c0000001a002ef2327d60fa2082a09ff00d4b161d13bc47176dbf00c2d9dd,060c0000000300ae01
33,00220000000b00100000000204000041b0,002200000006001000000002
3319,0cfa00000006000400000002,0cfa00000007000404e8ed43e3
1221,04c700000006000300000002,04c700000007000304000041f0
3043,0be60000000b00100000000204000041c0,0be600000006001000000002
3452,0d7f00000006000400000002,0d7f00000007000404362143ec
1598,064000000006000400000002,06400000000700040462bf436d
