,source_text,target_text
1397,05770000000b0010000000020400004198:057700000006001000000002|057800000006000300000002:05780000000700030400004198|05790000000b0010000000020400000000:057900000006001000000002|057a00000006000400000002:057a00000007000404f31d4353|057b00000006000500030000:,057b00000003008502
880,03720000000b0010000000020400004200:037200000006001000000002|037300000006000400000002:037300000007000404ae0e4312|03740000001a002a963462f4a346aabb6ef1fca5985d03b4532541bc500c6d94:03740000000300aa01|037500000006000600040007:037500000003008602|03760000001a009a74c5ec98d3d2b3cfc3daba0d8855f1dd1d7b002ed7762c36:,037600000003001a01
847,035100000006000400000002:03510000000700040414a3430e|035200000006000300000002:035200000007000304000041c8|035300000006000300000002:035300000007000304000041c8|03540000000a0096942df99768186e0e:035400000003001601|035500000006000400000002:,03550000000700040499bd430e
3287,0cda00000006000300000002:0cda0000000700030400004228|0cdb0000000b00100000000204000041e0:0cdb00000006001000000002|0cdc0000000a00b5c8622190ec2376c6:0cdc00000003003501|0cdd00000006000300000002:0cdd00000007000304000041e0|0cde00000006000200210001:,0cde00000003008202
3481,0d9c00000006000300000002:0d9c0000000700030400004248|0d9d00000006000400090001:0d9d00000003008402|0d9e0000000b0010000000020400003f80:0d9e00000006001000000002|0d9f00000006000300000002:0d9f0000000700030400003f80|0da000000006000400000002:,0da000000007000404696f43ee
2653,0a600000000b00100000000204000041e8:0a6000000006001000000002|0a610000001a0053ef2415ab7a4882341b933c8a363e629fbd00464d53cfdb0b:0a610000000300d301|0a6200000006000100070001:0a6200000003008102|0a6300000006000400000002:0a6300000007000404f63e43b9|0a6400000006000300000002:,0a6400000007000304000041e8
964,03c600000006000300000002:03c60000000700030400004160|03c7000000060005001eff00:03c700000003008502|03c800000006000400000002:03c800000007000404702f431d|03c90000000a00f6a05ce4dc627dd59b:03c900000003007601|03ca0000000b0010000000020400004228:,03ca00000006001000000002
2122,084c00000006000300000002:084c0000000700030400004110|084d0000001a00f29cefa4004cd09e3a27b6f66d5212f85b7f2fa5fc1ae5cab5:084d00000003007201|084e00000006000300000002:084e0000000700030400004110|084f0000000b0010000000020400004198:084f00000006001000000002|08500000001a000d57a84abc97906728311ba223ddaea0ae3630c8db60034b9f:,085000000003008d01
340,015500000006000300000002:015500000007000304000041d8|01560000000b0010000000020400004234:015600000006001000000002|01570000000600050016ff00:015700000003008502|01580000001200b365a975746a88caffca9436f27750bb2b:015800000003003301|015900000006000400000002:,015900000007000404e1eb429a
2838,0b1900000006000400000002:0b1900000007000404677443c5|0b1a0000000b0010000000020400004204:0b1a00000006001000000002|0b1b00000006000300000002:0b1b0000000700030400004204|0b1c00000006000400260001:0b1c00000003008402|0b1d0000001a001f475f35fe7f1f5bb4eaefbd567a594dc8a710195a5b0ecb51:,0b1d00000003009f01
618,026c000000060005000dff00:026c00000003008502|026d00000006000400000002:026d000000070004045d3642e1|026e0000000a00dd08382d1edd266192:026e00000003005d01|026f0000000b0010000000020400004110:026f00000006001000000002|027000000006000300000002:,02700000000700030400004110
2463,09a20000000b001000000002040000422c:09a200000006001000000002|09a30000001200e38d00ab32dc0450bf09fefa72655d73e1:09a300000003006301|09a400000006000300120001:09a400000003008302|09a500000006000400000002:09a500000007000404d1d143ad|09a600000006000300000002:,09a6000000070003040000422c
