,source_text,target_text
2260,08d500000006000300300001:08d500000003008302|08d600000006000600000039:08d600000006000600000039|08d700000012005a4fc0f47c7f1764e3e24c4814f079dd57:08d70000000300da01|08d800000006000300010001:08d800000005000302002d|08d900000006000600010057:,08d900000006000600010057
1594,063b00000006000600250021:063b00000003008602|063c0000000600050000ff00:063c00000003008502|063d00000006000300010001:063d000000050003020058|063e00000006000600000037:063e00000006000600000037|063f00000006000300000001:,063f00000005000302003a
2255,08d000000006000400010001:08d0000000050004020064|08d100000006000400000001:08d1000000050004020000|08d20000000600050004ff00:08d200000003008502|08d300000006000200000001:08d30000000400020101|08d400000006000300000001:,08d4000000050003020025
1204,04b500000006000300000001:04b500000005000302004d|04b60000000600050000ff00:04b600000003008502|04b700000006000400000001:04b700000005000402001b|04b800000006000300010001:04b8000000050003020059|04b90000001a00f0e8c9295e74966ca3d1d5d2089f203220a013f3f60974fedd:,04b90000000300f001
1077,043600000006000500000000:043600000003008502|043700000006000300000001:0437000000050003020027|043800000006000400010001:0438000000050004020058|043900000006000300000001:0439000000050003020027|043a00000006000200000001:,043a0000000400020101
1818,071b000000060003002d0001:071b00000003008302|071c00000006000400000001:071c000000050004020000|071d00000006000300000001:071d00000005000302000c|071e00000006000600010032:071e00000006000600010032|071f00000006000200000001:,071f0000000400020101
1950,079f00000006000500000000:079f00000003008502|07a00000000600060000003e:07a00000000600060000003e|07a100000006000200000001:07a10000000400020101|07a20000000600060001002d:07a20000000600060001002d|07a300000006000400010001:,07a3000000050004020064
2259,08d400000006000300000001:08d4000000050003020025|08d500000006000300300001:08d500000003008302|08d600000006000600000039:08d600000006000600000039|08d700000012005a4fc0f47c7f1764e3e24c4814f079dd57:08d70000000300da01|08d800000006000300010001:,08d800000005000302002d
1348,054500000006000400000001:0545000000050004020036|054600000006000500000000:054600000003008502|054700000006000600010023:054700000006000600010023|054800000006000600000001:054800000006000600000001|054900000006000300080001:,054900000003008302
261,010600000006000200150001:010600000003008202|010700000006000400010001:0107000000050004020064|010800000006000600000029:010800000006000600000029|010900000006000300010001:0109000000050003020068|010a00000006000400000001:,010a000000050004020009
988,03dd0000001a00716349f02cf3f834176253158b0fa5b2e155e9f3c695ecb678:03dd0000000300f101|03de00000006000400010001:03de000000050004020064|03df00000006000300010001:03df000000050003020038|03e00000000600060001004c:03e00000000600060001004c|03e100000006000300000001:,03e1000000050003020151
1709,06ae00000006000400000001:06ae000000050004020009|06af0000001200d7d2b75bde727112266624d25bb2adc8ec:06af0000000300d701|06b000000006000300010001:06b0000000050003020071|06b100000006000400010001:06b1000000050004020058|06b200000006000200000001:,06b20000000400020101
849,035200000006000600010018:035200000006000600010018|035300000006000400000001:0353000000050004020012|035400000006000300000001:0354000000050003020000|035500000006000200000001:03550000000400020101|035600000006000400010001:,035600000005000402004c
1580,062d00000006000300070001:062d00000003008302|062e00000006000400010001:062e000000050004020064|062f00000006000300010001:062f000000050003020006|063000000006000300000001:0630000000050003020009|063100000006000500000000:,063100000003008502
517,020600000006000200300001:020600000003008202|020700000006000300010001:0207000000050003020012|020800000006000300000001:020800000005000302002e|0209000000060004002b0001:020900000003008402|020a00000006000300010001:,020a000000050003020012
1232,04d100000006000300010001:04d100000005000302002d|04d20000001a00bdde981d165a725988a5a812116da971de82e78dd692fe5ab0:04d20000000300bd01|04d300000006000400010001:04d3000000050004020064|04d400000006000400000001:04d4000000050004020000|04d500000006000300000001:,04d5000000050003020176
999,03e800000006000200000001:03e80000000400020101|03e90000000600050000ff00:03e900000003008502|03ea00000006000300010001:03ea00000005000302002f|03eb0000000a00fda5388d2ed7fcd66f:03eb0000000300fd01|03ec000000060003002e0001:,03ec00000003008302
260,01050000001a001955850d7d2d2ef3e405fcf59df66c9b318a8c304be43094ba:010500000003009901|010600000006000200150001:010600000003008202|010700000006000400010001:0107000000050004020064|010800000006000600000029:010800000006000600000029|010900000006000300010001:,0109000000050003020068
412,019d00000006000200000001:019d0000000400020101|019e00000006000400010001:019e000000050004020058|019f00000006000300000001:019f000000050003020000|01a00000000600060000004d:01a00000000600060000004d|01a100000006000300010001:,01a100000005000302000c
1384,056900000006000200000001:05690000000400020101|056a00000006000300000001:056a000000050003020049|056b00000006000400000001:056b000000050004020012|056c000000060002000e0001:056c00000003008202|056d00000006000300010001:,056d00000005000302004f
439,01b800000006000400000001:01b800000005000402001b|01b900000006000200000001:01b90000000400020101|01ba00000006000400000001:01ba00000005000402001b|01bb00000006000500250000:01bb00000003008502|01bc0000000600060000001c:,01bc0000000600060000001c
1324,052d00000006000600000019:052d00000006000600000019|052e00000006000200000001:052e0000000400020101|052f00000006000400000001:052f000000050004020000|05300000000600060001003c:05300000000600060001003c|053100000006000300010001:,0531000000050003020042
1288,050900000006000400000001:0509000000050004020012|050a00000006000600010013:050a00000006000600010013|050b000000060006002b005e:050b00000003008602|050c00000006000200000001:050c0000000400020101|050d00000006000400000001:,050d000000050004020000
1713,06b200000006000200000001:06b20000000400020101|06b300000006000600010012:06b300000006000600010012|06b400000006000600000004:06b400000006000600000004|06b500000006000300000001:06b5000000050003020004|06b600000006000200300001:,06b600000003008202
764,02fd0000001a003bcf3ff3c0d91b98cb941fe880abb41794727ca24e028b01f6:02fd0000000300bb01|02fe00000006000300010001:02fe000000050003020027|02ff0000000600060001005e:02ff0000000600060001005e|030000000006000400010001:0300000000050004020058|0301000000060006000e002e:,030100000003008602
1638,066700000006000500000000:066700000003008502|066800000006000400010001:0668000000050004020064|066900000006000400010001:0669000000050004020064|066a00000006000600000038:066a00000006000600000038|066b00000006000500000000:,066b00000003008502
808,032900000006000500000000:032900000003008502|032a00000006000400000001:032a000000050004020000|032b00000006000300010001:032b000000050003020003|032c00000006000200000001:032c0000000400020101|032d00000006000600010063:,032d00000006000600010063
531,0214000000060006002e0012:021400000003008602|021500000006000400000001:021500000005000402001b|02160000000a0057c9a73296b465b3dd:02160000000300d701|02170000000600060000001c:02170000000600060000001c|021800000006000300000001:,021800000005000302001f
668,029d0000000600050000ff00:029d00000003008502|029e00000006000300010001:029e00000005000302000f|029f00000006000200000001:029f0000000400020101|02a000000006000500120000:02a000000003008502|02a100000006000500000000:,02a100000003008502
85,005600000006000400010001:005600000005000402004c|005700000006000400000001:0057000000050004020012|005800000006000200000001:00580000000400020101|00590000001a00641d84a2c676c6eb5bed9a97d7837ddb4a8dfc3bfa84d25502:00590000000300e401|005a00000006000300010001:,005a00000005000302005e
583,024800000006000400160001:024800000003008402|024900000006000300010001:024900000005000302002f|024a00000006000300000001:024a00000005000302001c|024b0000001a00dabcd580858ad8fbff5f9c71f0995d3239a5dea717336037d3:024b0000000300da01|024c00000006000200000001:,024c0000000400020101
1434,059b00000006000400010001:059b000000050004020064|059c00000006000200000001:059c0000000400020101|059d00000006000500000000:059d00000003008502|059e0000000600050024ff00:059e00000003008502|059f00000006000400000001:,059f000000050004020000
1858,074300000006000300010001:074300000005000302006e|07440000000a00b85456ad1af25559a3:07440000000300b801|074500000006000300000001:0745000000050003020000|074600000006000300010001:074600000005000302006e|074700000006000500000000:,074700000003008502
2241,08c200000006000400010001:08c2000000050004020040|08c300000006000600010058:08c300000006000600010058|08c400000006000300010001:08c400000005000302005e|08c500000006000300000001:08c500000005000302002d|08c600000006000600040015:,08c600000003008602
486,01e7000000060004002e0001:01e700000003008402|01e800000006000300010001:01e8000000050003020003|01e900000006000400000001:01e9000000050004020000|01ea0000001a000dccce7a52755e9212b0eb01aa03fac18480dd0c8de40123b7:01ea00000003008d01|01eb000000060006001a005c:,01eb00000003008602
721,02d200000006000200220001:02d200000003008202|02d300000006000400010001:02d3000000050004020064|02d40000000600050000ff00:02d400000003008502|02d50000001a0063ff962fea58949fa5ca0d332548af98f9fd1a49fc7b46e23a:02d50000000300e301|02d600000006000600010061:,02d600000006000600010061
526,020f00000006000600010017:020f00000006000600010017|02100000001200e20491842919f1a0665d6ed3abd6471b4c:02100000000300e201|021100000006000200000001:02110000000400020101|021200000006000400010001:021200000005000402004c|021300000006000200000001:,02130000000400020101
1535,06000000000a0030127e39dd4d54b053:06000000000300b001|060100000006000300010001:0601000000050003020054|060200000006000400000001:0602000000050004020039|060300000006000300000001:0603000000050003020039|06040000000600050000ff00:,060400000003008502
