,source_text,target_text
2866,0b3300000006000200000001:0b330000000400020101|0b340000000600050000ff00:0b3400000003008502|0b3500000006000300000001:0b35000000050003020017|0b3600000006000400000001:0b36000000050004020000|0b3700000006000400010001:0b37000000050004020064|0b3800000006000600000021:0b3800000006000600000021|0b39000000120053cdcbeed7ed79ec39519257ab64447b9a:,0b390000000300d301
3419,0d5c0000001a00aa531c5d53a93d96e331a004398579a3f877fce0f098780b23:0d5c0000000300aa01|0d5d00000006000300010001:0d5d000000050003020000|0d5e0000000a0063e6c2cd7256466d04:0d5e0000000300e301|0d5f0000000600050000ff00:0d5f00000003008502|0d6000000006000300030001:0d6000000003008302|0d6100000006000600010043:0d6100000006000600010043|0d6200000006000600000043:,0d6200000006000600000043
3422,0d5f0000000600050000ff00:0d5f00000003008502|0d6000000006000300030001:0d6000000003008302|0d6100000006000600010043:0d6100000006000600010043|0d6200000006000600000043:0d6200000006000600000043|0d6300000006000200000001:0d630000000400020101|0d6400000006000400000001:0d64000000050004020012|0d6500000006000300000001:,0d65000000050003020046
2279,08e800000006000400000001:08e8000000050004020009|08e900000006000400010001:08e9000000050004020058|08ea00000006000200000001:08ea0000000400020101|08eb00000006000600000027:08eb00000006000600000027|08ec00000006000400000001:08ec000000050004020012|08ed00000006000300010001:08ed00000005000302004c|08ee00000006000300000001:,08ee00000005000302002a
244,00f500000006000400000001:00f5000000050004020000|00f60000000600060021005f:00f600000003008602|00f70000000a00b79efd5a8e93d33a21:00f70000000300b701|00f800000006000200000001:00f80000000400020101|00f900000006000300000001:00f9000000050003020028|00fa00000006000600010022:00fa00000006000600010022|00fb0000000a004907050b20f639d3a1:,00fb0000000300c901
2310,090700000006000400010001:090700000005000402004c|09080000000600050000ff00:090800000003008502|09090000000600060000000b:09090000000600060000000b|090a00000006000600010051:090a00000006000600010051|090b0000000a007f4356e99587b03397:090b0000000300ff01|090c00000006000200000001:090c0000000400020101|090d00000006000300000001:,090d00000005000302000b
3158,0c5700000006000400000001:0c57000000050004020000|0c5800000006000600010031:0c5800000006000600010031|0c5900000006000600010021:0c5900000006000600010021|0c5a00000006000300000001:0c5a000000050003020023|0c5b00000006000400010001:0c5b00000005000402004c|0c5c00000006000400240001:0c5c00000003008402|0c5d00000006000600000029:,0c5d00000006000600000029
1396,057500000006000300010001:0575000000050003020037|057600000006000400010001:0576000000050004020040|057700000006000600000017:057700000006000600000017|05780000000600060001002c:05780000000600060001002c|057900000006000500000000:057900000003008502|057a00000006000300000001:057a00000005000302001d|057b00000006000200000001:,057b0000000400020101
547,022400000006000400000001:0224000000050004020000|022500000006000300010001:0225000000050003020067|022600000006000400010001:0226000000050004020064|02270000000600060001002f:02270000000600060001002f|022800000006000300010001:0228000000050003020042|022900000006000200000001:02290000000400020101|022a00000012005b3dbee6d160e597a3fd5d4934a403a856:,022a0000000300db01
3253,0cb600000006000300050001:0cb600000003008302|0cb700000006000300010001:0cb7000000050003020048|0cb800000006000300000001:0cb8000000050003020186|0cb900000006000600010052:0cb900000006000600010052|0cba00000006000600000048:0cba00000006000600000048|0cbb00000006000400010001:0cbb000000050004020064|0cbc0000001a00fa897a95c501aa4b0c174d779566c9bd91cd1c3eb70936760a:,0cbc0000000300fa01
3385,0d3a00000006000400000001:0d3a000000050004020000|0d3b00000006000200000001:0d3b0000000400020101|0d3c00000006000600000013:0d3c00000006000600000013|0d3d0000000600060001002e:0d3d0000000600060001002e|0d3e00000006000300010001:0d3e000000050003020034|0d3f00000006000300000001:0d3f000000050003020016|0d4000000006000300010001:,0d40000000050003020034
2685,0a7e00000006000600060004:0a7e00000003008602|0a7f00000006000500000000:0a7f00000003008502|0a8000000006000600010014:0a8000000006000600010014|0a8100000006000300010001:0a8100000005000302003c|0a8200000006000400000001:0a82000000050004020000|0a830000000a0091068310cba477f672:0a8300000003009101|0a840000000600050000ff00:,0a8400000003008502
