,source_text,target_text
244,00f500000012007dfaab5fa29a38f5aa5a80de265c62169d:00f50000000300fd01|00f600000006000300000001:00f600000005000302001c|00f700000006000200010001:,00f700000003008202
480,01e100000006000500000000:01e100000003008502|01e200000006000300310001:01e200000003008302|01e30000001a00acf80de8588ccef97c0501e6b700f7a9e37669e059472995db:,01e30000000300ac01
1664,06810000001200c681273f94039f8a73cab33bbafabc6f49:06810000000300c601|06820000000600060000000e:06820000000600060000000e|068300000006000200000001:,06830000000400020100
1079,04380000001a001f6bbfdc75c5f04adb52cdd73fdf0a651717595ab833cc94cb:043800000003009f01|043900000012005f48d4144616f35eebd3847574009b71f8:04390000000300df01|043a00000006000300000001:,043a000000050003020005
690,02b30000001200714d8e5ca9ce6278918652833199b410e7:02b30000000300f101|02b40000000600060000001e:02b40000000600060000001e|02b500000006000200310001:,02b500000003008202
2206,089f00000006000500000000:089f00000003008502|08a000000006000600000009:08a000000006000600000009|08a100000006000500000000:,08a100000003008502
240,00f100000006000500000000:00f100000003008502|00f200000006000600310027:00f200000003008602|00f30000001a004bf0ec68451eddf799b7d3dfdf254433c0895eeca1395b2e9d:,00f30000000300cb01
584,02490000000600050021ff00:024900000003008502|024a0000001200eb2596aa73bd0d3fb380114bee0d9c3ef1:024a0000000300eb01|024b00000006000300000001:,024b00000005000302002f
703,02c000000006000600000006:02c000000006000600000006|02c10000000600050000ff00:02c100000003008502|02c200000006000200000001:,02c20000000400020100
421,01a600000006000200000001:01a60000000400020101|01a700000006000300000001:01a700000005000302002f|01a80000000a004a854c569b130cc204:,01a80000000300ca01
366,016f0000001a00e070c20207c86524e116534456bfc19f14236d9375c5a46ab4:016f0000000300e001|01700000000a00315d620c153075af2b:01700000000300b101|017100000006000200310001:,017100000003008202
1739,06cc00000006000200000001:06cc0000000400020100|06cd00000012009ef67497b775305b381ea1f3407405deba:06cd00000003009e01|06ce00000006000600310020:,06ce00000003008602
939,03ac00000006000300000001:03ac000000050003020028|03ad0000000a00266083c32d88972f40:03ad0000000300a601|03ae00000006000600020024:,03ae00000003008602
293,012600000006000300000001:0126000000050003020012|01270000001a006d4fbdc390dde66d5a3e48d3796732c42f1870011768ebfd93:01270000000300ed01|012800000006000200000001:,01280000000400020100
1368,05590000000600050000ff00:055900000003008502|055a00000006000200000001:055a0000000400020101|055b00000006000300000001:,055b00000005000302002e
2155,086c00000006000600000018:086c00000006000600000018|086d0000000600050000ff00:086d00000003008502|086e00000012003b0f220ae9ce8a6a59c5c6b0eded9e5ed0:,086e0000000300bb01
620,026d0000000a00470c8a71389baa2424:026d0000000300c701|026e00000006000300020001:026e00000003008302|026f00000006000200180001:,026f00000003008202
2150,086700000006000600020025:086700000003008602|08680000000a001a2867bafd738b04a0:086800000003009a01|086900000012005efbd94498f2b7a1a70e8f97b9780d2b50:,08690000000300de01
1437,059e0000000600060028001b:059e00000003008602|059f00000006000500000000:059f00000003008502|05a000000006000300020001:,05a000000003008302
2078,081f00000006000300000001:081f000000050003020022|082000000006000600000012:082000000006000600000012|082100000006000300000001:,0821000000050003020012
1331,05340000001a00dd735ff94d75c3dbcfe996af83610104ee2f23376229d617fa:05340000000300dd01|05350000000a00a6e25062a7d7c90209:05350000000300a601|053600000006000300310001:,053600000003008302
1564,061d00000006000200010001:061d00000003008202|061e0000000600060000000d:061e0000000600060000000d|061f00000006000500310000:,061f00000003008502
