,source_text,target_text
602,025b0000000a00dd641f7015dc058ec1:025b0000000300dd01|025c00000006000600000020:,025c00000006000600000020
242,00f30000000600050000ff00:00f300000003008502|00f40000000a0097f53b2a5fe6ccf788:,00f400000003009701
31,002000000006000200000001:00200000000400020100|002100000006000300000001:,0021000000050003020009
269,010e00000006000600000030:010e00000006000600000030|010f0000001a00eef4eb764742efa60a167e195d7c99e85fdd2a29a481d08bf9:,010f0000000300ee01
1026,04030000000600050000ff00:040300000003008502|040400000006000300000001:,0404000000050003020013
1076,043500000006000600000014:043500000006000600000014|043600000006000300000001:,0436000000050003020014
1030,040700000006000200000001:04070000000400020100|0408000000060003000e0001:,040800000003008302
214,00d700000006000300000001:00d700000005000302000f|00d80000000600050000ff00:,00d800000003008502
510,01ff0000000600060000002a:01ff0000000600060000002a|020000000006000300290001:,020000000003008302
706,02c30000000a00e5eaddf77b38adba98:02c30000000300e501|02c400000006000500000000:,02c400000003008502
237,00ee00000006000500000000:00ee00000003008502|00ef0000001a00b45d6508d3714f449f21e9f87dfe15442c824e3dc137c36fa2:,00ef0000000300b401
792,031900000006000200040001:031900000003008202|031a00000006000300000001:,031a000000050003020018
617,026a00000006000500160000:026a00000003008502|026b0000000600050000ff00:,026b00000003008502
1041,04120000000600050000ff00:041200000003008502|04130000001a00c031a3f76e5facb621782e9f1b7795ccdf125e2745ba23d9fc:,04130000000300c001
880,03710000000600050000ff00:037100000003008502|03720000001200b98c891e9298fb14d1202aced93b302792:,03720000000300b901
458,01cb00000006000200000001:01cb0000000400020101|01cc00000006000600320025:,01cc00000003008602
293,012600000006000600000008:012600000006000600000008|012700000006000300250001:,012700000003008302
790,031700000006000200000001:03170000000400020100|031800000006000300000001:,0318000000050003020018
80,005100000006000200000001:00510000000400020101|005200000006000600000000:,005200000006000600000000
748,02ed00000006000300000001:02ed000000050003020025|02ee00000006000200000001:,02ee0000000400020101
485,01e600000006000300000001:01e600000005000302000c|01e700000006000600000017:,01e700000006000600000017
175,00b00000000a007d92378e9db0034519:00b00000000300fd01|00b100000006000600000002:,00b100000006000600000002
915,039400000006000600000014:039400000006000600000014|03950000002200c1b47b5472ed5b0cd02a82b73c8af88509bf396b30fbd8b085d893e2669dfa309a:,03950000000300c101
279,011800000006000200000001:01180000000400020100|01190000001a00221dee5c51e136dc7559057b12223aa6a6a7ce19415f99c644:,01190000000300a201
1096,044900000006000300080001:044900000003008302|044a00000012007c28bf680a9f5273426b9dfb1e13233394:,044a0000000300fc01
906,038b00000006000200130001:038b00000003008202|038c00000006000200000001:,038c0000000400020100
940,03ad0000000600050000ff00:03ad00000003008502|03ae00000006000200000001:,03ae0000000400020101
318,013f0000000600050000ff00:013f00000003008502|014000000006000300000001:,0140000000050003020002
464,01d100000006000600000007:01d100000006000600000007|01d20000002200bc5a74d9342df73264e9ef6a47fa59d4b8620874edcba4e27cac8627374a8bf075:,01d20000000300bc01
1067,042c0000000600060000001b:042c0000000600060000001b|042d00000006000600000025:,042d00000006000600000025
143,009000000006000300000001:0090000000050003020016|00910000000600060000002e:,00910000000600060000002e
53,003600000006000200000001:00360000000400020100|003700000006000300000001:,0037000000050003020010
55,0038000000120090ba9779972c2e794edb2ca46514ff2490:003800000003009001|003900000006000500000000:,003900000003008502
580,02450000000600050000ff00:024500000003008502|0246000000060005000d0000:,024600000003008502
331,014c00000006000200000001:014c0000000400020100|014d00000006000300000001:,014d000000050003020013
142,008f00000006000200000001:008f0000000400020100|009000000006000300000001:,0090000000050003020016
655,029000000006000600000001:029000000006000600000001|02910000001a00836fae11b994d1df55c58e94710798f51f5293914cf71fbb3c:,029100000003008301
466,01d3000000060002000d0001:01d300000003008202|01d40000000600050000ff00:,01d400000003008502
590,024f00000006000300000001:024f00000005000302002b|02500000000600050000ff00:,025000000003008502
589,024e0000000600060000002b:024e0000000600060000002b|024f00000006000300000001:,024f00000005000302002b
533,021600000006000200000001:02160000000400020101|021700000006000200000001:,02170000000400020101
76,004d00000006000200000001:004d0000000400020100|004e00000006000600000030:,004e00000006000600000030
739,02e40000001a00b247743284ecf3163e994f22303e5c52167c9fb20639397312:02e40000000300b201|02e500000006000300000001:,02e500000005000302000f
705,02c2000000060002000f0001:02c200000003008202|02c30000000a00e5eaddf77b38adba98:,02c30000000300e501
505,01fa00000006000200000001:01fa0000000400020100|01fb00000006000600020015:,01fb00000003008602
524,020d00000006000200000001:020d0000000400020100|020e0000000a009eaad97442f87c6eea:,020e00000003009e01
457,01ca00000006000500000000:01ca00000003008502|01cb00000006000200000001:,01cb0000000400020101
919,039800000006000200000001:03980000000400020101|0399000000060002002b0001:,039900000003008202
346,015b00000006000300000001:015b00000005000302000a|015c0000000a0047361bfadb67ec00e9:,015c0000000300c701
1017,03fa00000006000200000001:03fa0000000400020101|03fb00000006000300000001:,03fb00000005000302002a
313,013a00000006000500000000:013a00000003008502|013b0000001a000ee0c713d115cd311cea31fe6b9a8bd5712e5fbab00a80f909:,013b00000003008e01
212,00d50000000600060000000f:00d50000000600060000000f|00d600000006000200160001:,00d600000003008202
1072,043100000006000200000001:04310000000400020101|04320000000600050000ff00:,043200000003008502
736,02e100000006000600000030:02e100000006000600000030|02e2000000060005002cff00:,02e200000003008502
