,source_text,target_text
1051,041c00000006000300000001:041c000000050003020013|041d00000006000200000001:041d0000000400020100|041e00000006000600000005:,041e00000006000600000005
2199,08980000000600060000000f:08980000000600060000000f|08990000000600050000ff00:089900000003008502|089a00000006000300000001:,089a00000005000302000f
845,034e00000006000500000000:034e00000003008502|034f00000006000500000000:034f00000003008502|03500000001a002f4760dfd7e87603657934f1c2c95fb8856dde297c218d638a:,03500000000300af01
603,025c00000006000600000027:025c00000006000600000027|025d00000006000200000001:025d0000000400020101|025e0000001a009e70ab9cf3f78cedd276ee01626413fb67a42e1e1a72057fb2:,025e00000003009e01
1077,04360000000600050007ff00:043600000003008502|043700000006000600000018:043700000006000600000018|043800000006000500000000:,043800000003008502
2046,07ff00000006000600000031:07ff00000006000600000031|080000000006000300000001:0800000000050003020031|0801000000060002002d0001:,080100000003008202
1833,072a0000000600060000000b:072a0000000600060000000b|072b00000006000300000001:072b00000005000302000b|072c00000006000300090001:,072c00000003008302
120,007900000012009168272f8b1ba581643654984b1ff2a589:007900000003009101|007a00000006000600000029:007a00000006000600000029|007b00000006000500000000:,007b00000003008502
2367,094000000006000300000001:0940000000050003020021|094100000006000200000001:09410000000400020101|09420000001a00b1e936f0f4671b35bacc4ddb35f6798d002b85ece9425e928a:,09420000000300b101
68,004500000006000500000000:004500000003008502|004600000006000600000024:004600000006000600000024|004700000006000300000001:,0047000000050003020024
635,027c00000006000500000000:027c00000003008502|027d00000006000600000004:027d00000006000600000004|027e00000006000200000001:,027e0000000400020100
2214,08a700000006000300000001:08a700000005000302001f|08a800000006000200000001:08a80000000400020101|08a900000006000600000014:,08a900000006000600000014
907,038c00000006000500000000:038c00000003008502|038d00000006000600000011:038d00000006000600000011|038e00000006000200000001:,038e0000000400020100
49,00320000001a00e7028cb01bb76a75a2c03bfe479c286d7d4f6cb1d888bbc8ce:00320000000300e701|003300000006000300150001:003300000003008302|00340000000600060000000a:,00340000000600060000000a
519,02080000000a00a61df2bb99a2902788:02080000000300a601|02090000000600050000ff00:020900000003008502|020a000000060003000c0001:,020a00000003008302
1704,06a90000000600050000ff00:06a900000003008502|06aa0000001200e9a490f0df59151b1f87ba5b411968fe7d:06aa0000000300e901|06ab00000006000300280001:,06ab00000003008302
13,000e00000006000600000008:000e00000006000600000008|000f0000000600050000ff00:000f00000003008502|001000000006000200000001:,00100000000400020100
1458,05b300000006000200000001:05b30000000400020100|05b400000006000300000001:05b4000000050003020018|05b500000006000600000019:,05b500000006000600000019
1333,053600000006000500000000:053600000003008502|053700000006000200000001:05370000000400020100|053800000006000600000009:,053800000006000600000009
974,03cf00000006000600000015:03cf00000006000600000015|03d00000000600050000ff00:03d000000003008502|03d10000001a00386e8db6edb39b673aaf9e5605553decd4a6c7030378721c3e:,03d10000000300b801
1120,046100000006000500290000:046100000003008502|046200000006000500000000:046200000003008502|046300000006000600000024:,046300000006000600000024
179,00b40000001a009cd63055d1cd917ba7ae3eafb2edadb7e44c6151c7b752a964:00b400000003009c01|00b50000000600060000001b:00b50000000600060000001b|00b60000000600060014000f:,00b600000003008602
1215,04c000000006000500000000:04c000000003008502|04c100000006000300000001:04c1000000050003020012|04c200000006000200000001:,04c20000000400020100
42,002b0000000600060000002e:002b0000000600060000002e|002c00000006000500000000:002c00000003008502|002d00000006000300000001:,002d00000005000302002e
1058,042300000006000200010001:042300000003008202|04240000000a00a82c15a66f2c6c641f:04240000000300a801|042500000006000600000026:,042500000006000600000026
1829,072600000006000600000012:072600000006000600000012|07270000000a00cbe946f29951aa28a6:07270000000300cb01|07280000000600050000ff00:,072800000003008502
1305,051a00000006000200000001:051a0000000400020100|051b000000060002002f0001:051b00000003008202|051c00000006000600000029:,051c00000006000600000029
470,01d700000006000300000001:01d7000000050003020027|01d80000001a004c8c164654e015494111e8a8abe3bbc7d11fdb4a2a1cc70b79:01d80000000300cc01|01d9000000060006000a0008:,01d900000003008602
91,005c0000000600050000ff00:005c00000003008502|005d00000006000200000001:005d0000000400020100|005e000000060003000c0001:,005e00000003008302
40,002900000006000600000030:002900000006000600000030|002a00000006000200000001:002a0000000400020101|002b0000000600060000002e:,002b0000000600060000002e
2410,096b00000006000200000001:096b0000000400020100|096c000000060003001e0001:096c00000003008302|096d00000006000200000001:,096d0000000400020100
1740,06cd00000006000300000001:06cd00000005000302001b|06ce00000006000200000001:06ce0000000400020101|06cf00000006000500000000:,06cf00000003008502
1921,078200000006000300160001:078200000003008302|07830000000a0079d01b80a84f3894be:07830000000300f901|078400000006000200000001:,07840000000400020100
