,source_text,target_text
1074,f3e4000000060005fffcff00,f3e400000003008502
2064,4668000000020011,46680000000c00110950796d6f64627573ff
1073,b1e5000000060003abab0002,b1e500000003008302
823,3c0200000006000567c7ff00,3c0200000003008502
1975,152500000008000f002500020102,152500000006000f00250002
2789,ebfb000000020011,ebfb0000000c00110950796d6f64627573ff
277,69c9000000060005a85aff00,69c900000003008502
1577,e86900000006000300280002,e86900000003008302
2453,967300000005002b0e0103,967300000008002b0e0183000000
526,35ed000000020011,35ed0000000c00110950796d6f64627573ff
3112,40f500000005002b0e0102,40f500000008002b0e0183000000
468,4a1600000005002b0e0100,4a1600000008002b0e0183000000
2838,fd0e00000008000f001900010101,fd0e00000006000f00190001
1622,4ffd00000005002b0e0103,4ffd00000008002b0e0183000000
1077,eaec000000020011,eaec0000000c00110950796d6f64627573ff
1945,2fdf00000005002b0e0102,2fdf00000008002b0e0183000000
230,eef900000005002b0e0103,eef900000008002b0e0183000000
1204,dc0c000000020011,dc0c0000000c00110950796d6f64627573ff
2711,ba1900000005002b0e0100,ba1900000008002b0e0183000000
2778,1f8d00000006000300030002,1f8d000000070003040000bba0
1405,44cd00000005002b0e0102,44cd00000008002b0e0183000000
1772,b816000000020011,b8160000000c00110950796d6f64627573ff
1127,de3a0000000b001000250002042b1d2b1d,de3a00000006001000250002
2391,17c000000005002b0e0102,17c000000008002b0e0183000000
26,0ae10000000600050028ff00,0ae100000003008502
1407,3a1100000005002b0e0102,3a1100000008002b0e0183000000
1821,aec3000000020011,aec30000000c00110950796d6f64627573ff
635,077f00000005002b0e0101,077f00000008002b0e0183000000
1310,8bc700000005002b0e0101,8bc700000008002b0e0183000000
1129,7834000000060005ff9aff00,783400000003008502
559,2798000000020011,27980000000c00110950796d6f64627573ff
1182,6e5b00000006000137840002,6e5b00000003008102
2779,21e50000000b00106839000204216a0000,21e500000003009002
740,a79a00000005002b0e0103,a79a00000008002b0e0183000000
2101,0000000000020011,00000000000c00110950796d6f64627573ff
229,cf7b000000020011,cf7b0000000c00110950796d6f64627573ff
347,29ed00000005002b0e0101,29ed00000008002b0e0183000000
305,c3cf0000000b00100025000204ffff0000,c3cf00000006001000250002
3161,00010000000b0010000000020400000000,000100000006001000000002
2170,04fd00000005002b0e0103,04fd00000008002b0e0183000000
2982,3bb7000000060001fffd0001,3bb700000003008102
1632,b47b00000005002b0e0102,b47b00000008002b0e0183000000
349,ad2800000005002b0e0102,ad2800000008002b0e0183000000
1009,4cd700000008000f002600010100,4cd700000006000f00260001
93,0b1b00000005002b0e0101,0b1b00000008002b0e0183000000
1732,eb2a00000006000300000001,eb2a000000050003020000
2770,6da400000005002b0e0101,6da400000008002b0e0183000000
2831,9f3600000005002b0e0100,9f3600000008002b0e0183000000
1615,cd0800000005002b0e0103,cd0800000008002b0e0183000000
2541,08030000000600011a1a0002,080300000003008102
799,000000000009001000130001023de4,000000000006001000130001
1242,50b400000005002b0e0100,50b400000008002b0e0183000000
3078,cdf100000005002b0e0103,cdf100000008002b0e0183000000
2161,7bc400000005002b0e0101,7bc400000008002b0e0183000000
718,833600000006000300280002,833600000003008302
480,0202000000020011,02020000000c00110950796d6f64627573ff
2824,984b00000005002b0e0102,984b00000008002b0e0183000000
235,961f00000006000300000002,961f0000000700030432170000
477,00000000000b0010002800020400000000,000000000003009002
2583,46b4000000090010866c000102ffff,46b400000003009002
191,8ae2000000060003bdf40002,8ae200000003008302
2043,4c6000000005002b0e0102,4c6000000008002b0e0183000000
3116,06620000000b0010fffc0002040000d29d,066200000003009002
2954,f7f200000005002b0e0102,f7f200000008002b0e0183000000
2903,43bb00000005002b0e0103,43bb00000008002b0e0183000000
575,64df00000005002b0e0103,64df00000008002b0e0183000000
2181,d5d400000005002b0e0102,d5d400000008002b0e0183000000
1777,56f400000006000300000002,56f400000007000304ffffffff
444,ac70000000020011,ac700000000c00110950796d6f64627573ff
506,292700000005002b0e0103,292700000008002b0e0183000000
1747,4fc90000000b001000000002044c5f0000,4fc900000006001000000002
1030,da4900000005002b0e0100,da4900000008002b0e0183000000
302,f5e0000000020011,f5e00000000c00110950796d6f64627573ff
2360,427600000005002b0e0102,427600000008002b0e0183000000
622,3b440000000b001000000002044c5f4c5f,3b4400000006001000000002
2648,f50a0000000600050028ff00,f50a00000003008502
313,e86500000006000100000002,e8650000000400010100
1492,37e9000000060003fffd0001,37e900000003008302
2187,e6e700000005002b0e0103,e6e700000008002b0e0183000000
2213,493b00000005002b0e0102,493b00000008002b0e0183000000
168,b38c000000060001c8070001,b38c00000003008102
500,ce030000000600051c2cff00,ce0300000003008502
363,a2730000000b00100003000204ffffffff,a27300000006001000030002
1703,de75000000060003fffc0002,de7500000003008302
2919,efc2000000020011,efc20000000c00110950796d6f64627573ff
57,3d8e000000060001fffc0002,3d8e00000003008102
854,ced5000000020011,ced50000000c00110950796d6f64627573ff
1830,a5bd000000060003001c0002,a5bd000000070003040000ffff
2956,07e2000000060003bdf40002,07e200000003008302
359,000100000005002b0e0102,000100000008002b0e0183000000
3178,3e96000000020011,3e960000000c00110950796d6f64627573ff
1989,b23a0000000b0010fffc0002040000ffff,b23a00000003009002
2474,7ff500000005002b0e0102,7ff500000008002b0e0183000000
3007,db9600000005002b0e0101,db9600000008002b0e0183000000
3079,9ff600000005002b0e0100,9ff600000008002b0e0183000000
2289,3c8600000006000100280001,3c8600000003008102
1178,8d9500000005002b0e0101,8d9500000008002b0e0183000000
1965,c3b800000006000300250002,c3b80000000700030400000000
3142,0d7e000000020011,0d7e0000000c00110950796d6f64627573ff
2350,da8f00000005002b0e0100,da8f00000008002b0e0183000000
2492,812c00000005002b0e0101,812c00000008002b0e0183000000
997,270700000005002b0e0101,270700000008002b0e0183000000
2721,3bc200000005002b0e0100,3bc200000008002b0e0183000000
886,fe9f00000005002b0e0100,fe9f00000008002b0e0183000000
1332,6f550000000b0010002500020451aa51aa,6f5500000006001000250002
582,771b00000008000f001b00010101,771b00000006000f001b0001
1572,431500000005002b0e0103,431500000008002b0e0183000000
2375,c99000000005002b0e0100,c99000000008002b0e0183000000
687,ae00000000020011,ae000000000c00110950796d6f64627573ff
2499,ce850000000600053784ff00,ce8500000003008502
39,2d580000000600050028ff00,2d5800000003008502
2483,0c1a00000005002b0e0100,0c1a00000008002b0e0183000000
2826,7b1300000005002b0e0103,7b1300000008002b0e0183000000
242,866a00000005002b0e0101,866a00000008002b0e0183000000
150,6c0d000000060001fffd0001,6c0d00000003008102
312,8c8100000005002b0e0100,8c8100000008002b0e0183000000
2052,8c850000000b00100028000204ffffffff,8c8500000003009002
2498,fb0c000000020011,fb0c0000000c00110950796d6f64627573ff
2220,eb6d000000020011,eb6d0000000c00110950796d6f64627573ff
2812,d65a00000005002b0e0103,d65a00000008002b0e0183000000
1379,37a2000000020011,37a20000000c00110950796d6f64627573ff
1904,4fdf00000005002b0e0103,4fdf00000008002b0e0183000000
270,f02a00000006000600003c52,f02a00000006000600003c52
253,c75d000000020011,c75d0000000c00110950796d6f64627573ff
1293,58be0000000600055a5d0000,58be00000003008502
471,0560000000020011,05600000000c00110950796d6f64627573ff
1235,a36600000005002b0e0102,a36600000008002b0e0183000000
2867,356600000005002b0e0103,356600000008002b0e0183000000
879,f503000000020011,f5030000000c00110950796d6f64627573ff
2318,bce700000005002b0e0100,bce700000008002b0e0183000000
1382,8a1700000005002b0e0102,8a1700000008002b0e0183000000
