,source_text,target_text
14384,383100000006000300250002,38310000000700030400006927
17384,43e9000000060001f4fc0002,43e900000003008102
3618,0e2300000008000f002600010101,0e2300000006000f00260001
9280,24410000000b0010c58d000204ffff2d3a,244100000003009002
21112,52790000000600059889ff00,527900000003008502
22543,5810000000060005fffdff00,581000000003008502
25487,63900000000600050028ff00,639000000003008502
705,02c200000006000600214739,02c200000006000600214739
17878,45d700000008000f000000010100,45d700000006000f00000001
16252,3f7d00000008000f000000010100,3f7d00000006000f00000001
4304,10d100000006000371d70002,10d100000003008302
13534,34df0000000b001000250002040000f255,34df00000006001000250002
9927,26c800000008000f000e00010101,26c800000006000f000e0001
2698,0a8b00000006000161e60002,0a8b00000003008102
19231,4b2000000006000300280002,4b2000000003008302
24741,60a600000006000300000002,60a600000007000304ffffffff
22383,5770000000060003fffd0001,577000000003008302
18054,4687000000060005fffcff00,468700000003008502
16841,41ca0000000600010d510002,41ca00000003008102
6315,18ac00000006000100250002,18ac0000000400010101
11373,2c6e000000060003fffd0001,2c6e00000003008302
11322,2c3b0000000b00100028000204015cffff,2c3b00000003009002
1518,05ef00000006000300280001,05ef00000003008302
22041,561a000000060003018a0001,561a00000003008302
10367,288000000006000100280002,288000000003008102
8841,228a0000000600050028ff00,228a00000003008502
1585,06320000000b001000250002040000ffff,063200000006001000250002
24002,5dc3000000060005001d0000,5dc3000000060005001d0000
11126,2b7700000006000100280001,2b7700000003008102
8687,21f0000000060003fffc0002,21f000000003008302
23556,5c050000000b00100000000204ffffacf5,5c0500000006001000000002
1362,055300000006000300250002,05530000000700030400000000
7300,1c8500000006000349c90002,1c8500000003008302
8053,1f76000000060005f724ff00,1f7600000003008502
8318,207f000000060001fffc0002,207f00000003008102
22378,576b0000000b00100025000204ffffa6de,576b00000006001000250002
3396,0d4500000006000300280002,0d4500000003008302
10816,2a4100000006000100250002,2a410000000400010100
10653,299e000000060003001b0001,299e0000000500030281ba
6784,1a81000000060001fffd0001,1a8100000003008102
1388,056d000000060003000c0001,056d00000005000302ffff
23572,5c1500000006000300000002,5c1500000007000304ffff0000
17620,44d5000000060005e992ff00,44d500000003008502
5543,15a80000000900100028000102b063,15a800000003009002
24998,61a70000000b00100025000204ffffa228,61a700000006001000250002
24760,60b900000006000300000001,60b900000005000302ffff
643,0284000000060001fffd0001,028400000003008102
11454,2cbf0000000600050001ff00,2cbf0000000600050001ff00
21218,52e30000000b001000250002040000ffff,52e300000006001000250002
25303,62d80000000b0010fffc0002040000ffff,62d800000003009002
23256,5ad900000006000100090002,5ad90000000400010100
16702,413f0000000b0010000d0002040000f94c,413f000000060010000d0002
4087,0ff800000006000600004244,0ff800000006000600004244
975,03d0000000060001ecdb0001,03d000000003008102
13777,35d2000000060006fffe75ae,35d200000003008602
3535,0dd000000006000300000002,0dd00000000700030444494449
8623,21b00000000b00100018000204ffff0000,21b000000006001000180002
14230,3797000000060005fffcff00,379700000003008502
23268,5ae500000006000100280001,5ae500000003008102
12033,2f0200000006000100000002,2f020000000400010103
12092,2f3d0000000b00100028000204a2d4ffff,2f3d00000003009002
18678,48f700000006000100280001,48f700000003008102
13611,352c000000060005000c0000,352c000000060005000c0000
11412,2c95000000060005fffdff00,2c9500000003008502
4976,13710000000600050028ff00,137100000003008502
3773,0ebe000000060005fffe0000,0ebe00000003008502
24975,619000000006000100280001,619000000003008102
14429,385e00000008000f002600010100,385e00000006000f00260001
7311,1c9000000008000f002500020102,1c9000000006000f00250002
23282,5af3000000060001d8530002,5af300000003008102
17990,464700000006000300280001,464700000003008302
11969,2ec20000000b00100000000204ffffffbd,2ec200000006001000000002
18314,478b0000000b00102e6c000204ffffffff,478b00000003009002
18848,49a100000006000300250002,49a100000007000304ffff8708
14727,3988000000060003000f0001,398800000005000302ffff
444,01bd0000000b0010002500020400000000,01bd00000006001000250002
2240,08c10000000600050028ff00,08c100000003008502
14648,39390000000b0010fffc000204928d0000,393900000003009002
19149,4ace00000006000100260001,4ace0000000400010101
8110,1faf00000006000100280001,1faf00000003008102
2584,0a19000000060003fffc0002,0a1900000003008302
22781,58fe0000000b0010002500020400000000,58fe00000006001000250002
7278,1c6f00000006000500080000,1c6f00000006000500080000
6709,1a36000000060005fffcff00,1a3600000003008502
1603,064400000008000f002500020103,064400000006000f00250002
6155,180c00000006000300000002,180c0000000700030400000000
7613,1dbe00000006000300260001,1dbe00000005000302dd25
16565,40b60000000b0010002800020473bcffff,40b600000003009002
19477,4c1600000006000113210001,4c1600000003008102
24689,607200000006000100000002,60720000000400010100
