,source_text,target_text
1357,808100000006000300260001,808100000005000302ffff
567,da76000000060005fffdff00,da7600000003008502
405,a3a7000000060003fffc0002,a3a700000003008302
2888,43fd00000006000300250002,43fd00000007000304ffff0000
1818,b8b9000000060001001c0002,b8b90000000400010100
1937,03d7000000060003001a0002,03d700000007000304253e253e
711,d3b3000000060005f577ff00,d3b300000003008502
562,4433000000060001fffd0001,443300000003008102
2285,06c1000000060001fffd0001,06c100000003008102
2614,4ac70000000b00100025000204ffff0000,4ac700000006001000250002
1921,2a210000000900100026000102ffff,2a2100000006001000260001
2064,50e40000000b00100025000204d56dd56d,50e400000006001000250002
3114,502b0000000b0010000c000204ffff8423,502b000000060010000c0002
8,b1f100000006000600008a72,b1f100000006000600008a72
1751,cd8f000000060001dd480001,cd8f00000003008102
899,bc7700000006000100000002,bc770000000400010101
629,a42a00000006000100280002,a42a00000003008102
199,d119000000060001fffc0002,d11900000003008102
915,f1210000000b00100025000204ffffa8ff,f12100000006001000250002
1204,904d0000000600050028ff00,904d00000003008502
2533,b26c000000060005fffdff00,b26c00000003008502
2639,3dc700000006000300180001,3dc700000005000302920e
1198,085800000006000300280002,085800000003008302
1887,d1b60000000600050028ff00,d1b600000003008502
380,8358000000060003952a0001,835800000003008302
1793,14af0000000600050028ff00,14af00000003008502
3007,aa5600000006000300280002,aa5600000003008302
755,d3af00000006000100260001,d3af0000000400010100
2997,b84300000006000533f3ff00,b84300000003008502
580,45240000000b0010fffc00020400000498,452400000003009002
727,aed00000000600015fad0002,aed000000003008102
614,1d1000000006000300130002,1d10000000070003046d5b0000
772,0801000000060006002869b4,080100000003008602
364,920600000006000100280002,920600000003008102
1466,f8de0000000b00100028000204e7920000,f8de00000003009002
2779,126e000000060003fffc0002,126e00000003008302
201,862b00000006000300250002,862b000000070003048dd18dd1
1250,0dc4000000090010952a000102ffff,0dc400000003009002
3079,3f0a00000008000f000000010101,3f0a00000006000f00000001
2274,8e0a000000060001fffc0002,8e0a00000003008102
3172,4662000000060003d6060002,466200000003008302
2441,3e950000000b00100000000204ffffffff,3e9500000006001000000002
349,a447000000060005fffdff00,a44700000003008502
2985,00010000000b00100025000204ffffe665,000100000006001000250002
1782,80190000000b00100000000204ffffffff,801900000006001000000002
2412,bc8f0000000600060018920e,bc8f0000000600060018920e
226,f0e7000000060005f4eaff00,f0e700000003008502
2507,96d900000008000f002500020103,96d900000006000f00250002
1979,7bb4000000060003fffd0001,7bb400000003008302
2701,2ca700000006000300280001,2ca700000003008302
1133,713900000006000100080002,71390000000400010102
2140,103a00000006000300280001,103a00000003008302
1792,b04000000006000300160002,b04000000007000304f4bbffff
85,459f0000000600010e170002,459f00000003008102
138,158f000000090010000f0001020000,158f000000060010000f0001
1009,fcef000000060005fffdff00,fcef00000003008502
2850,d6ee0000000900100000000102ffff,d6ee00000006001000000001
3190,23d70000000b0010001a000204ffff253e,23d7000000060010001a0002
839,c6b3000000060001fffc0002,c6b300000003008102
362,843f00000006000300250002,843f000000070003041190ffff
2153,7b930000000b00100000000204ffffbbac,7b9300000006001000000002
2719,219a000000060005fffcff00,219a00000003008502
2127,cb8600000006000300090001,cb86000000050003020000
2791,7caa000000060005f577ff00,7caa00000003008502
3068,7974000000060001000d0002,79740000000400010102
2284,ac9d00000006000300130001,ac9d000000050003020000
294,26f80000000b00100013000204d82f0000,26f800000006001000130002
1696,942a000000060001fffc0002,942a00000003008102
1425,4a0900000009001000260001020000,4a0900000006001000260001
2825,47b9000000060001bd4b0001,47b900000003008102
2222,101800000006000100280002,101800000003008102
1555,ec70000000060005561dff00,ec7000000003008502
739,5d1900000008000f002500020100,5d1900000006000f00250002
320,97b500000006000100280001,97b500000003008102
2218,76350000000b00100010000204ced1ffff,763500000006001000100002
1354,50ed0000000b0010001000020400000000,50ed00000006001000100002
1889,1664000000060001f5770002,166400000003008102
