,source_text,target_text
6282,53920000000b00100028000204ffff1b11,539200000003009002
9306,39a300000006000100080001,39a30000000400010100
8683,bd1b00000006000100260001,bd1b0000000400010101
9996,7172000000060003fffd0001,717200000003008302
7475,3c2e000000060003fffc0002,3c2e00000003008302
10723,bfd20000000600050028ff00,bfd200000003008502
11965,96be00000006000300250002,96be0000000700030400000000
7806,8c8100000006000300250002,8c8100000007000304000052a5
11441,40c40000000b0010000f000204ffff0000,40c4000000060010000f0002
1196,dcb500000008000f000000020103,dcb500000006000f00000002
4402,f46b0000000b0010fffc00020400000000,f46b00000003009002
3484,637e00000006000300000001,637e000000050003020000
10510,65f100000006000300250002,65f10000000700030400000000
10682,b7560000000600010c900001,b75600000003008102
10578,9396000000060003699d0001,939600000003008302
3219,3a6b0000000b00100013000204ffffd435,3a6b00000006001000130002
53,457700000006000100280002,457700000003008102
4565,48290000000b0010001e000204a0440000,4829000000060010001e0002
1930,4b840000000b001000280002045eed5eed,4b8400000003009002
3088,ebfb00000006000100010001,ebfb0000000400010100
6677,17ea00000008000f001e00020101,17ea00000006000f001e0002
12021,56f80000000b001000060002049564ffff,56f800000006001000060002
7608,a67d00000006000100280001,a67d00000003008102
9576,cdb5000000090010699d0001020000,cdb500000003009002
2057,52660000000b0010fffc0002040000ffff,526600000003009002
172,a7db0000000b001000280002040000ffff,a7db00000003009002
3653,87bc000000060005fffe0000,87bc00000003008502
622,83a600000008000f000000020103,83a600000006000f00000002
900,859f00000006000300260001,859f000000050003020000
7257,5f660000000600015ab40001,5f6600000003008102
6863,0001000000060001fffc0002,000100000003008102
1471,2e49000000060001fffc0002,2e4900000003008102
9922,52b800000006000300250002,52b8000000070003040000ffff
2669,ccf700000008000f000500010101,ccf700000006000f00050001
8927,45f3000000060003000e0002,45f3000000070003040000ffff
5038,23bc0000000b0010042e000204ffff0a15,23bc00000003009002
11622,9b41000000060001fffd0001,9b4100000003008102
8266,629c0000000600060000d2a5,629c0000000600060000d2a5
12337,46f40000000b0010fffc0002040000311f,46f400000003009002
10061,48c7000000060005fffdff00,48c700000003008502
1697,c6dc000000060003fffc0002,c6dc00000003008302
9999,c7b3000000060001e3280001,c7b300000003008102
7482,ef4e0000000b001000280002048fe60000,ef4e00000003009002
8428,992b0000000600059087ff00,992b00000003008502
7833,83af00000006000184d90001,83af00000003008102
11615,ec5600000008000f000000020100,ec5600000006000f00000002
8986,7f3c000000060001001f0001,7f3c0000000400010100
3631,60f60000000b001000000002040000737f,60f600000006001000000002
6967,998b00000006000100000002,998b0000000400010101
