,source_text,target_text
582,3ead00000009001001fe000102ffff,3ead00000006001001fe0001
992,0edc00000008000f000000010101,0edc00000006000f00000001
359,236c000000090010002a0001020000,236c000000060010002a0001
1365,caa400000006000100000001,caa40000000400010101
644,572600000006000102000001,572600000003008102
52,412600000006000601fffc10,412600000006000601fffc10
947,5e5e0000000900100135000102ffff,5e5e00000006001001350001
157,c6fe00000008000f006600010101,c6fe00000006000f00660001
31,055200000006000324020001,055200000003008302
1118,d58d00000006000500000000,d58d00000006000500000000
13,000e00000005002b0e0100,000e00000021002b0e018300000300045741474f01073735302d383831020830332e30312e3032
105,92ed000000090010a70e000102080f,92ed00000003009002
755,1d6a00000006000300000001,1d6a00000005000302c02b
1134,641d00000008000f000000010100,641d00000006000f00000001
159,780e00000006000100000001,780e0000000400010100
713,f633000000060003fffd0001,f63300000003008302
1592,16c500000006000301fe0001,16c500000005000302ffff
102,e6e7000000060001016f0001,e6e70000000400010100
637,27fa000000060001fffd0001,27fa00000003008102
134,6ff900000006000300f60001,6ff9000000050003020000
300,06f200000006000100000001,06f20000000400010101
1067,7d9900000006000302000001,7d9900000003008302
1381,dc3900000006000500bdff00,dc3900000006000500bdff00
372,355c000000060001fffe0001,355c00000003008102
1279,3d1500000006000102000001,3d1500000003008102
1175,02a5000000090010eecb000102ffff,02a500000003009002
1044,531500000006000502000000,531500000003008502
349,8d010000000900100200000102ffff,8d0100000003009002
1366,2a26000000090010fffd000102ffff,2a2600000003009002
1029,e0dd000000060003fffe0001,e0dd00000003008302
590,262900000006000100000001,26290000000400010101
670,7aab0000000900100000000102e072,7aab00000006001000000001
390,3f1700000006000300710001,3f17000000050003020000
1063,e0cc00000006000101ff0001,e0cc0000000400010100
451,1c8f00000006000301800001,1c8f000000050003027ca0
476,dece000000060001fffd0001,dece00000003008102
948,d33e00000006000100000001,d33e0000000400010100
805,24f200000008000f019800010100,24f200000006000f01980001
708,c13400000006000301a30001,c13400000005000302ffff
1166,5c9d000000060001fffd0001,5c9d00000003008102
955,35a40000000900100000000102d89a,35a400000006001000000001
1423,7a5c00000009001001350001020000,7a5c00000006001001350001
1203,57a200000006000301af0001,57a2000000050003020665
995,fa9100000006000300000001,fa9100000005000302d89a
1343,55a100000006000100f60001,55a10000000400010100
290,500500000006000376a90001,500500000003008302
1432,c0f80000000900109a08000102ffff,c0f800000003009002
579,439f000000060003015d0001,439f000000050003020000
486,0f9600000006000102000001,0f9600000003008102
1435,2d5a00000006000302000001,2d5a00000003008302
608,1f200000000600050200ff00,1f2000000003008502
896,72b100000006000502000000,72b100000003008502
1248,c4a700000006000102000001,c4a700000003008102
1160,2da2000000060003fffd0001,2da200000003008302
787,0924000000060001fffd0001,092400000003008102
187,aee4000000060001fffd0001,aee400000003008102
45,c6f100000006000301a30001,c6f1000000050003020000
416,d11400000006000600009be5,d11400000006000600009be5
1253,a21000000008000f01fe00010101,a21000000006000f01fe0001
697,cf280000000600055415ff00,cf2800000003008502
