,source_text,target_text
840,034900000008000f000000030104,034900000006000f00000003
330,014b0000000d00100000000306fffd00000000,014b00000006001000000003
746,02eb00000006000300000002,02eb000000070003046d6f0000
709,02c60000000d001000000003067ed2fffdfffd,02c600000006001000000003
341,01560000000b001000000002040000fe61,015600000006001000000002
127,008000000006000300000002,0080000000070003040000fffd
927,03a000000006000100000002,03a00000000400010101
690,02b30000000d001000000003069038fffdfffd,02b300000006001000000003
536,021900000006000300000002,021900000007000304fffd9fdc
729,02da00000006000500000000,02da00000006000500000000
555,022c00000006000300000002,022c0000000700030400000000
504,01f900000006000300000001,01f900000005000302fffd
329,014a0000000d00100000000306fffdfffdfffd,014a00000006001000000003
74,004b00000006000100000002,004b0000000400010101
521,020a0000000d00100000000306fffdfffd0000,020a00000006001000000003
700,02bd00000006000300000001,02bd000000050003020000
146,00930000000d001000000003068dc300008dc3,009300000006001000000003
858,035b00000008000f000000020102,035b00000006000f00000002
937,03aa0000000d00100000000306fffd9340fffd,03aa00000006001000000003
251,00fc0000000d00100000000306000000006d6f,00fc00000006001000000003
588,024d0000000d00100000000306fffd0000fffd,024d00000006001000000003
562,02330000000b001000000002040000c0b9,023300000006001000000002
863,036000000008000f000000030107,036000000006000f00000003
115,007400000006000300000002,00740000000700030400008b80
693,02b60000000d00100000000306903800000000,02b600000006001000000003
31,00200000000d00100000000306000000000000,002000000006001000000003
463,01d000000008000f000000020100,01d000000006000f00000002
290,012300000006000300000002,0123000000070003040000c9d3
657,02920000000b0010000000020400000000,029200000006001000000002
549,022600000006000300000002,0226000000070003040000226a
355,01640000000d00100000000306fffdfffdfffd,016400000006001000000003
849,035200000008000f000000030106,035200000006000f00000003
668,029d00000006000300000002,029d00000007000304fffdfffd
623,027000000006000300000002,02700000000700030408230823
383,018000000006000300000002,0180000000070003040000fffd
43,002c00000006000300000001,002c00000005000302fffe
480,01e100000006000300000002,01e1000000070003047afc0000
595,02540000000d00100000000306fffd68dc0000,025400000006001000000003
331,014c00000006000100000002,014c0000000400010102
804,032500000006000300000002,0325000000070003040000fffd
311,013800000006000300000002,0138000000070003049340fffd
223,00e000000006000300000001,00e000000005000302fffe
269,010e0000000b00100000000204fffe0000,010e00000006001000000002
579,02440000000b001000000002045f710000,024400000006001000000002
253,00fe0000000d001000000003067afc0000fffd,00fe00000006001000000003
565,023600000006000600000000,023600000006000600000000
964,03c500000006000300000002,03c500000007000304c1bcfffe
844,034d00000006000100000002,034d0000000400010100
919,039800000006000100000001,03980000000400010101
665,029a00000008000f000000020103,029a00000006000f00000002
577,02420000000b0010000000020400002799,024200000006001000000002
343,01580000000b00100000000204fffefffe,015800000006001000000002
532,02150000000d00100000000306ad5dad5dfffd,021500000006001000000003
667,029c0000000d00100000000306fffdfffd9038,029c00000006001000000003
41,002a00000006000300000002,002a00000007000304fffefffe
896,038100000006000600000000,038100000006000600000000
757,02f600000006000300000002,02f600000007000304fffefffe
829,033e00000006000100000001,033e0000000400010100
894,037f0000000d001000000003060000411b0000,037f00000006001000000003
0,000100000008000f000000020101,000100000006000f00000002
76,004d0000000b00100000000204fffe0000,004d00000006001000000002
560,02310000000d001000000003060000226a0000,023100000006001000000003
790,031700000008000f000000020102,031700000006000f00000002
103,006800000008000f000000020103,006800000006000f00000002
713,02ca0000000d00100000000306226a0000226a,02ca00000006001000000003
427,01ac00000006000300000001,01ac0000000500030247ed
137,008a0000000d001000000003069fdc00009fdc,008a00000006001000000003
986,03db0000000d00100000000306000000000000,03db00000006001000000003
400,019100000006000100000001,01910000000400010100
770,030300000006000300000002,03030000000700030400009fdc
582,02470000000b0010000000020400009886,024700000006001000000002
566,023700000006000300000002,0237000000070003040000c0b9
88,005900000006000300000002,0059000000070003040000fffd
535,021800000008000f000000020103,021800000006000f00000002
500,01f500000006000300000002,01f500000007000304fffd0000
307,013400000006000300000001,013400000005000302fffd
48,003100000006000300000002,0031000000070003048b808b80
525,020e00000006000300000001,020e00000005000302fffd
718,02cf00000008000f000000030100,02cf00000006000f00000003
556,022d0000000d0010000000030600000000fffd,022d00000006001000000003
5,000600000006000100000002,00060000000400010101
426,01ab0000000b0010000000020447ed47ed,01ab00000006001000000002
797,031e0000000d00100000000306226afffdfffd,031e00000006001000000003
200,00c900000006000300000002,00c90000000700030400000000
442,01bb00000006000300000002,01bb00000007000304fffefffe
921,039a00000006000100000002,039a0000000400010101
165,00a600000006000100000002,00a60000000400010100
575,024000000006000100000002,02400000000400010103
663,029800000006000300000002,029800000007000304fffdc9d3
193,00c200000006000100000001,00c20000000400010100
796,031d00000008000f000000030104,031d00000006000f00000003
920,039900000006000300000001,039900000005000302fffe
824,033900000006000300000001,033900000005000302fffd
272,011100000006000100000002,01110000000400010101
420,01a500000006000600000000,01a500000006000600000000
715,02cc00000006000300000002,02cc00000007000304226a0000
574,023f0000000d00100000000306fffdfffd0000,023f00000006001000000003
833,034200000006000300000002,034200000007000304fffdfffd
801,032200000006000300000002,0322000000070003040000fffd
818,033300000006000300000002,033300000007000304fffd0000
428,01ad00000006000100000001,01ad0000000400010101
314,013b0000000d001000000003069fdcfffd9fdc,013b00000006001000000003
603,025c0000000d00100000000306ad5dfffd0000,025c00000006001000000003
672,02a100000006000300000002,02a100000007000304fffdfffd
803,032400000006000300000002,0324000000070003040000fffd
217,00da0000000d00100000000306fffdfffdfffd,00da00000006001000000003
771,030400000006000100000002,03040000000400010103
189,00be0000000b00100000000204105d105d,00be00000006001000000002
347,015c00000006000300000001,015c000000050003028b80
197,00c60000000b0010000000020400000000,00c600000006001000000002
728,02d900000006000100000002,02d90000000400010101
280,011900000008000f000000030106,011900000006000f00000003
621,026e00000006000100000002,026e0000000400010100
702,02bf0000000d00100000000306c9d300000000,02bf00000006001000000003
