,source_text,target_text
548,02250000000d0010ff06000306fffd00000000,022500000003009002
701,02be0000000d001093560003065d7e5d7efffd,02be00000006001093560003
59,003c000000060003dc880002,003c0000000700030400000000
36,00250000000b0010b479000204fffe09f2,0025000000060010b4790002
249,00fa00000008000f346700030101,00fa00000006000f34670003
308,01350000000600034ce00002,0135000000070003042552fffd
900,038500000006000121560001,03850000000400010101
596,02550000000600030bbc0002,02550000000700030400005ada
2,0003000000060003fa4c0002,00030000000700030400000000
101,00660000000d0010ba87000306baca0000fffd,0066000000060010ba870003
566,02370000000d0010a1a60003060000e735e735,0237000000060010a1a60003
178,00b30000000d00105ecd0003060000254ffffd,00b30000000600105ecd0003
345,015a000000060005c57c0000,015a000000060005c57c0000
624,02710000000d00100bbc0003060000fffd0000,02710000000600100bbc0003
598,02570000000d0010ca1400030607bf0000fffd,0257000000060010ca140003
710,02c70000000d0010976c000306217800000000,02c7000000060010976c0003
303,013000000008000f457e00030107,013000000006000f457e0003
857,035a0000000b00103bd7000204fd1b0000,035a0000000600103bd70002
421,01a600000008000fe6c600030107,01a600000006000fe6c60003
291,012400000008000f52ec00030100,012400000006000f52ec0003
819,03340000000600030bbc0002,0334000000070003045ada0000
369,0172000000060003ba870002,017200000007000304baca0000
965,03c600000008000fa42800020100,03c600000006000fa4280002
322,01430000000d00101af1000306fffdfc800000,01430000000600101af10003
627,027400000006000359d20002,027400000007000304fffd5b4f
918,03970000000600030bbc0002,0397000000070003040000fffd
650,028b00000006000365460002,028b00000007000304fffdf856
811,032c00000006000341800002,032c00000007000304359d359d
603,025c00000008000fa42800020103,025c00000006000fa4280002
939,03ac00000006000359d20002,03ac000000070003040000fffd
152,00990000000600030bbc0002,009900000007000304fffd5ada
233,00ea000000060001840a0002,00ea0000000400010100
43,002c00000006000365460002,002c0000000700030400000000
489,01ea00000006000379590002,01ea0000000700030400000000
150,00970000000600035ecd0002,009700000007000304fffdfffd
657,02920000000d001059d20003065b4f0000fffd,029200000006001059d20003
295,01280000000b0010b5fa0002040000b425,0128000000060010b5fa0002
469,01d600000006000194ec0002,01d60000000400010103
35,002400000006000341800002,00240000000700030400000000
686,02af00000008000f068c00030102,02af00000006000f068c0003
783,0310000000060001e5800001,03100000000400010100
