,source_text,target_text
702,02bf00000006000200000001,02bf0000000400020100
708,02c500000006000200000001,02c50000000400020100
315,013c00000006000200000001,013c0000000400020100
795,031c00000006000300000002,031c0000000700030400170000
198,00c700000006000200000001,00c70000000400020100
418,01a30000000b00100000000204ffd0ffff,01a300000006001000000002
1293,050e0000000b00100000000204ffe2ffff,050e00000006001000000002
1269,04f600000006000300000002,04f600000007000304000d0000
1223,04c80000000b0010000000020400240000,04c800000006001000000002
921,039a00000006000300000002,039a00000007000304ffcfffff
839,034800000006000300000002,034800000007000304fff2ffff
660,029500000006000300000002,029500000007000304ffecffff
517,020600000006000300000002,020600000007000304001b0000
1383,05680000000b00100000000204fff7ffff,056800000006001000000002
967,03c800000006000300000002,03c80000000700030400310000
314,013b00000006000200000001,013b0000000400020100
850,03530000000b0010000000020400110000,035300000006001000000002
1042,041300000006000300000002,04130000000700030400240000
1400,05790000000b00100000000204ffd4ffff,057900000006001000000002
177,00b200000006000200000001,00b20000000400020100
26,001b00000006000200000001,001b0000000400020100
260,010500000006000200000001,01050000000400020100
837,034600000006000200000001,03460000000400020100
717,02ce0000000b0010000000020400160000,02ce00000006001000000002
1275,04fc00000006000300000002,04fc0000000700030400190000
1244,04dd00000006000200000001,04dd0000000400020100
543,02200000000b0010000000020400210000,022000000006001000000002
1018,03fb00000006000200000001,03fb0000000400020100
1138,047300000006000200000001,04730000000400020100
1044,04150000000b00100000000204001d0000,041500000006001000000002
804,03250000000b0010000000020400250000,032500000006001000000002
529,021200000006000200000001,02120000000400020100
220,00dd00000006000200000001,00dd0000000400020100
970,03cb00000006000200000001,03cb0000000400020100
913,03920000000b00100000000204fffcffff,039200000006001000000002
544,022100000006000200000001,02210000000400020100
131,008400000006000200000001,00840000000400020100
1256,04e900000006000300000002,04e90000000700030400200000
810,032b00000006000300000002,032b0000000700030400050000
988,03dd00000006000200000001,03dd0000000400020100
530,021300000006000300000002,021300000007000304fff7ffff
520,020900000006000300000002,020900000007000304001b0000
25,001a0000000b00100000000204ffceffff,001a00000006001000000002
440,01b90000000b00100000000204ffeeffff,01b900000006001000000002
870,03670000000b00100000000204001a0000,036700000006001000000002
231,00e80000000b00100000000204000f0000,00e800000006001000000002
536,021900000006000300000002,02190000000700030400160000
603,025c00000006000200000001,025c0000000400020100
63,004000000006000200000001,00400000000400020100
226,00e300000006000300000002,00e300000007000304002a0000
247,00f800000006000200000001,00f80000000400020100
746,02eb0000000b00100000000204fff4ffff,02eb00000006001000000002
555,022c0000000b0010000000020400100000,022c00000006001000000002
959,03c00000000b00100000000204ffefffff,03c000000006001000000002
1337,053a00000006000300000002,053a00000007000304ffe3ffff
105,006a0000000b00100000000204ffe0ffff,006a00000006001000000002
596,025500000006000300000002,02550000000700030400250000
436,01b500000006000300000002,01b500000007000304002e0000
126,007f0000000b0010000000020400010000,007f00000006001000000002
1404,057d0000000b0010000000020400250000,057d00000006001000000002
792,031900000006000300000002,031900000007000304fff1ffff
1250,04e300000006000200000001,04e30000000400020100
1329,053200000006000200000001,05320000000400020100
567,023800000006000300000002,02380000000700030400250000
679,02a800000006000300000002,02a800000007000304ffd6ffff
1107,04540000000b00100000000204ffe0ffff,045400000006001000000002
1120,04610000000b0010000000020400300000,046100000006001000000002
1378,05630000000b00100000000204002e0000,056300000006001000000002
1067,042c00000006000300000002,042c00000007000304ffffffff
614,02670000000b00100000000204ffd3ffff,026700000006001000000002
1374,055f0000000b00100000000204ffe5ffff,055f00000006001000000002
834,034300000006000200000001,03430000000400020100
886,037700000006000300000002,037700000007000304fff0ffff
1278,04ff0000000b00100000000204000a0000,04ff00000006001000000002
924,039d00000006000300000002,039d00000007000304002e0000
1030,040700000006000200000001,04070000000400020100
1303,051800000006000300000002,051800000007000304000d0000
1372,055d00000006000200000001,055d0000000400020100
