,source_text,target_text
538,021b0000000b0010000000020400120000:021b00000006001000000002|021c00000006000200000001:,021c0000000400020100
2865,0b3200000006000200000001:0b320000000400020100|0b330000000b00100000000204000b0000:,0b3300000006001000000002
2439,098800000006000200000001:09880000000400020100|09890000000b00100000000204fffdffff:,098900000006001000000002
764,02fd0000000b0010000000020400020000:02fd00000006001000000002|02fe00000006000200000001:,02fe0000000400020100
3158,0c570000000b00100000000204fff2ffff:0c5700000006001000000002|0c5800000006000200000001:,0c580000000400020100
2593,0a2200000006000200000001:0a220000000400020100|0a230000000b00100000000204fffeffff:,0a2300000006001000000002
656,02910000000b00100000000204ffceffff:029100000006001000000002|029200000006000200000001:,02920000000400020100
3186,0c730000000b0010000000020400020000:0c7300000006001000000002|0c7400000006000200000001:,0c740000000400020100
1478,05c70000000b00100000000204001a0000:05c700000006001000000002|05c800000006000200000001:,05c80000000400020100
2365,093e00000006000200000001:093e0000000400020100|093f0000000b00100000000204ffd9ffff:,093f00000006001000000002
1820,071d0000000b00100000000204002b0000:071d00000006001000000002|071e00000006000200000001:,071e0000000400020100
2396,095d0000000b0010000000020400040000:095d00000006001000000002|095e00000006000200000001:,095e0000000400020100
737,02e200000006000200000001:02e20000000400020100|02e30000000b00100000000204ffd3ffff:,02e300000006001000000002
2462,099f0000000b0010000000020400130000:099f00000006001000000002|09a000000006000200000001:,09a00000000400020100
629,027600000006000200000001:02760000000400020100|02770000000b0010000000020400030000:,027700000006001000000002
440,01b90000000b0010000000020400300000:01b900000006001000000002|01ba00000006000200000001:,01ba0000000400020100
185,00ba00000006000200000001:00ba0000000400020100|00bb0000000b0010000000020400000000:,00bb00000006001000000002
366,016f0000000b00100000000204ffcfffff:016f00000006001000000002|017000000006000200000001:,01700000000400020100
259,010400000006000200000001:01040000000400020100|01050000000b00100000000204000f0000:,010500000006001000000002
2315,090c00000006000200000001:090c0000000400020100|090d0000000b0010000000020400040000:,090d00000006001000000002
2674,0a730000000b00100000000204fffeffff:0a7300000006001000000002|0a7400000006000200000001:,0a740000000400020100
2130,08530000000b00100000000204fffaffff:085300000006001000000002|085400000006000200000001:,08540000000400020100
2974,0b9f0000000b00100000000204ffdfffff:0b9f00000006001000000002|0ba000000006000200000001:,0ba00000000400020100
284,011d0000000b0010000000020400310000:011d00000006001000000002|011e00000006000200000001:,011e0000000400020100
1560,06190000000b00100000000204ffedffff:061900000006001000000002|061a00000006000200000001:,061a0000000400020100
2724,0aa50000000b00100000000204ffd0ffff:0aa500000006001000000002|0aa600000006000200000001:,0aa60000000400020100
94,005f0000000b0010000000020400320000:005f00000006001000000002|006000000006000200000001:,00600000000400020100
3084,0c0d0000000b0010000000020400070000:0c0d00000006001000000002|0c0e00000006000200000001:,0c0e0000000400020100
1573,062600000006000200000001:06260000000400020100|06270000000b0010000000020400070000:,062700000006001000000002
1303,051800000006000200000001:05180000000400020100|05190000000b00100000000204ffd2ffff:,051900000006001000000002
1003,03ec00000006000200000001:03ec0000000400020100|03ed0000000b00100000000204001a0000:,03ed00000006001000000002
1452,05ad0000000b00100000000204002f0000:05ad00000006001000000002|05ae00000006000200000001:,05ae0000000400020100
969,03ca00000006000200000001:03ca0000000400020100|03cb0000000b0010000000020400300000:,03cb00000006001000000002
195,00c400000006000200000001:00c40000000400020100|00c50000000b00100000000204ffd2ffff:,00c500000006001000000002
3,000400000006000200000001:00040000000400020100|00050000000b00100000000204ffffffff:,000500000006001000000002
1954,07a30000000b00100000000204ffeaffff:07a300000006001000000002|07a400000006000200000001:,07a40000000400020100
2912,0b610000000b00100000000204fff0ffff:0b6100000006001000000002|0b6200000006000200000001:,0b620000000400020100
2796,0aed0000000b00100000000204ffdaffff:0aed00000006001000000002|0aee00000006000200000001:,0aee0000000400020100
852,03550000000b00100000000204fff1ffff:035500000006001000000002|035600000006000200000001:,03560000000400020100
755,02f400000006000200000001:02f40000000400020100|02f50000000b00100000000204fff0ffff:,02f500000006001000000002
2156,086d0000000b00100000000204ffdaffff:086d00000006001000000002|086e00000006000200000001:,086e0000000400020100
808,03290000000b00100000000204ffe2ffff:032900000006001000000002|032a00000006000200000001:,032a0000000400020100
1077,043600000006000200000001:04360000000400020100|04370000000b00100000000204ffe8ffff:,043700000006001000000002
2219,08ac00000006000200000001:08ac0000000400020100|08ad0000000b00100000000204001d0000:,08ad00000006001000000002
911,039000000006000200000001:03900000000400020100|03910000000b0010000000020400320000:,039100000006001000000002
370,01730000000b0010000000020400080000:017300000006001000000002|017400000006000200000001:,01740000000400020100
2313,090a00000006000200000001:090a0000000400020100|090b0000000b0010000000020400320000:,090b00000006001000000002
1254,04e70000000b00100000000204000b0000:04e700000006001000000002|04e800000006000200000001:,04e80000000400020100
2622,0a3f0000000b00100000000204002f0000:0a3f00000006001000000002|0a4000000006000200000001:,0a400000000400020100
892,037d0000000b00100000000204fffdffff:037d00000006001000000002|037e00000006000200000001:,037e0000000400020100
2002,07d30000000b0010000000020400230000:07d300000006001000000002|07d400000006000200000001:,07d40000000400020100
3188,0c750000000b00100000000204002f0000:0c7500000006001000000002|0c7600000006000200000001:,0c760000000400020100
82,00530000000b0010000000020400260000:005300000006001000000002|005400000006000200000001:,00540000000400020100
3189,0c7600000006000200000001:0c760000000400020100|0c770000000b00100000000204ffe7ffff:,0c7700000006001000000002
157,009e00000006000200000001:009e0000000400020100|009f0000000b00100000000204002a0000:,009f00000006001000000002
2238,08bf0000000b00100000000204002f0000:08bf00000006001000000002|08c000000006000200000001:,08c00000000400020100
983,03d800000006000200000001:03d80000000400020100|03d90000000b00100000000204ffecffff:,03d900000006001000000002
602,025b0000000b00100000000204ffe3ffff:025b00000006001000000002|025c00000006000200000001:,025c0000000400020100
1285,050600000006000200000001:05060000000400020100|05070000000b00100000000204002c0000:,050700000006001000000002
925,039e00000006000200000001:039e0000000400020100|039f0000000b0010000000020400000000:,039f00000006001000000002
2911,0b6000000006000200000001:0b600000000400020100|0b610000000b00100000000204fff0ffff:,0b6100000006001000000002
1753,06da00000006000200000001:06da0000000400020100|06db0000000b0010000000020400080000:,06db00000006001000000002
1564,061d0000000b00100000000204ffe3ffff:061d00000006001000000002|061e00000006000200000001:,061e0000000400020100
473,01da00000006000200000001:01da0000000400020100|01db0000000b00100000000204fffbffff:,01db00000006001000000002
2550,09f70000000b00100000000204ffdaffff:09f700000006001000000002|09f800000006000200000001:,09f80000000400020100
2311,090800000006000200000001:09080000000400020100|09090000000b0010000000020400290000:,090900000006001000000002
793,031a00000006000200000001:031a0000000400020100|031b0000000b00100000000204ffd0ffff:,031b00000006001000000002
1697,06a200000006000200000001:06a20000000400020100|06a30000000b0010000000020400240000:,06a300000006001000000002
2782,0adf0000000b00100000000204ffddffff:0adf00000006001000000002|0ae000000006000200000001:,0ae00000000400020100
448,01c10000000b0010000000020400140000:01c100000006001000000002|01c200000006000200000001:,01c20000000400020100
204,00cd0000000b0010000000020400090000:00cd00000006001000000002|00ce00000006000200000001:,00ce0000000400020100
1461,05b600000006000200000001:05b60000000400020100|05b70000000b00100000000204000f0000:,05b700000006001000000002
2988,0bad0000000b00100000000204ffe5ffff:0bad00000006001000000002|0bae00000006000200000001:,0bae0000000400020100
1245,04de00000006000200000001:04de0000000400020100|04df0000000b00100000000204fffdffff:,04df00000006001000000002
1121,046200000006000200000001:04620000000400020100|04630000000b0010000000020400270000:,046300000006001000000002
3081,0c0a00000006000200000001:0c0a0000000400020100|0c0b0000000b0010000000020400050000:,0c0b00000006001000000002
1425,059200000006000200000001:05920000000400020100|05930000000b0010000000020400230000:,059300000006001000000002
1762,06e30000000b0010000000020400280000:06e300000006001000000002|06e400000006000200000001:,06e40000000400020100
1383,056800000006000200000001:05680000000400020100|05690000000b00100000000204002e0000:,056900000006001000000002
251,00fc00000006000200000001:00fc0000000400020100|00fd0000000b00100000000204002c0000:,00fd00000006001000000002
1311,052000000006000200000001:05200000000400020100|05210000000b0010000000020400040000:,052100000006001000000002
726,02d70000000b0010000000020400020000:02d700000006001000000002|02d800000006000200000001:,02d80000000400020100
1104,04510000000b0010000000020400280000:045100000006001000000002|045200000006000200000001:,04520000000400020100
285,011e00000006000200000001:011e0000000400020100|011f0000000b00100000000204ffd4ffff:,011f00000006001000000002
3113,0c2a00000006000200000001:0c2a0000000400020100|0c2b0000000b00100000000204ffdeffff:,0c2b00000006001000000002
2200,08990000000b00100000000204fff3ffff:089900000006001000000002|089a00000006000200000001:,089a0000000400020100
52,00350000000b0010000000020400280000:003500000006001000000002|003600000006000200000001:,00360000000400020100
2705,0a9200000006000200000001:0a920000000400020100|0a930000000b0010000000020400170000:,0a9300000006001000000002
241,00f200000006000200000001:00f20000000400020100|00f30000000b00100000000204ffedffff:,00f300000006001000000002
2561,0a0200000006000200000001:0a020000000400020100|0a030000000b00100000000204ffe2ffff:,0a0300000006001000000002
1159,048800000006000200000001:04880000000400020100|04890000000b00100000000204ffd8ffff:,048900000006001000000002
1066,042b0000000b00100000000204fff2ffff:042b00000006001000000002|042c00000006000200000001:,042c0000000400020100
1684,06950000000b00100000000204ffceffff:069500000006001000000002|069600000006000200000001:,06960000000400020100
273,011200000006000200000001:01120000000400020100|01130000000b0010000000020400090000:,011300000006001000000002
213,00d600000006000200000001:00d60000000400020100|00d70000000b0010000000020400260000:,00d700000006001000000002
2856,0b290000000b00100000000204ffdcffff:0b2900000006001000000002|0b2a00000006000200000001:,0b2a0000000400020100
1064,04290000000b00100000000204fff0ffff:042900000006001000000002|042a00000006000200000001:,042a0000000400020100
205,00ce00000006000200000001:00ce0000000400020100|00cf0000000b00100000000204ffeaffff:,00cf00000006001000000002
524,020d0000000b00100000000204000c0000:020d00000006001000000002|020e00000006000200000001:,020e0000000400020100
2730,0aab0000000b00100000000204001d0000:0aab00000006001000000002|0aac00000006000200000001:,0aac0000000400020100
1036,040d0000000b00100000000204002c0000:040d00000006001000000002|040e00000006000200000001:,040e0000000400020100
280,01190000000b0010000000020400230000:011900000006001000000002|011a00000006000200000001:,011a0000000400020100
3110,0c270000000b00100000000204ffd8ffff:0c2700000006001000000002|0c2800000006000200000001:,0c280000000400020100
2400,09610000000b00100000000204ffe0ffff:096100000006001000000002|096200000006000200000001:,09620000000400020100
141,008e00000006000200000001:008e0000000400020100|008f0000000b0010000000020400000000:,008f00000006001000000002
1286,05070000000b00100000000204002c0000:050700000006001000000002|050800000006000200000001:,05080000000400020100
1531,05fc00000006000200000001:05fc0000000400020100|05fd0000000b0010000000020400220000:,05fd00000006001000000002
3013,0bc600000006000200000001:0bc60000000400020100|0bc70000000b00100000000204ffdbffff:,0bc700000006001000000002
343,015800000006000200000001:01580000000400020100|01590000000b0010000000020400020000:,015900000006001000000002
2859,0b2c00000006000200000001:0b2c0000000400020100|0b2d0000000b00100000000204ffdaffff:,0b2d00000006001000000002
1513,05ea00000006000200000001:05ea0000000400020100|05eb0000000b0010000000020400250000:,05eb00000006001000000002
1347,054400000006000200000001:05440000000400020100|05450000000b0010000000020400210000:,054500000006001000000002
1488,05d10000000b00100000000204fff8ffff:05d100000006001000000002|05d200000006000200000001:,05d20000000400020100
2373,094600000006000200000001:09460000000400020100|09470000000b0010000000020400290000:,094700000006001000000002
1376,05610000000b00100000000204000a0000:056100000006001000000002|056200000006000200000001:,05620000000400020100
1016,03f90000000b00100000000204000e0000:03f900000006001000000002|03fa00000006000200000001:,03fa0000000400020100
2312,09090000000b0010000000020400290000:090900000006001000000002|090a00000006000200000001:,090a0000000400020100
2031,07f000000006000200000001:07f00000000400020100|07f10000000b0010000000020400200000:,07f100000006001000000002
2260,08d50000000b0010000000020400260000:08d500000006001000000002|08d600000006000200000001:,08d60000000400020100
1622,06570000000b0010000000020400010000:065700000006001000000002|065800000006000200000001:,06580000000400020100
1584,06310000000b0010000000020400280000:063100000006001000000002|063200000006000200000001:,06320000000400020100
2298,08fb0000000b00100000000204ffffffff:08fb00000006001000000002|08fc00000006000200000001:,08fc0000000400020100
2488,09b90000000b00100000000204001e0000:09b900000006001000000002|09ba00000006000200000001:,09ba0000000400020100
2594,0a230000000b00100000000204fffeffff:0a2300000006001000000002|0a2400000006000200000001:,0a240000000400020100
1181,049e00000006000200000001:049e0000000400020100|049f0000000b00100000000204000a0000:,049f00000006001000000002
647,028800000006000200000001:02880000000400020100|02890000000b00100000000204ffe8ffff:,028900000006001000000002
2320,09110000000b00100000000204ffeeffff:091100000006001000000002|091200000006000200000001:,09120000000400020100
1766,06e70000000b00100000000204ffdbffff:06e700000006001000000002|06e800000006000200000001:,06e80000000400020100
952,03b90000000b0010000000020400260000:03b900000006001000000002|03ba00000006000200000001:,03ba0000000400020100
1844,07350000000b0010000000020400150000:073500000006001000000002|073600000006000200000001:,07360000000400020100
1688,06990000000b00100000000204ffd6ffff:069900000006001000000002|069a00000006000200000001:,069a0000000400020100
15,001000000006000200000001:00100000000400020100|00110000000b0010000000020400050000:,001100000006001000000002
2761,0aca00000006000200000001:0aca0000000400020100|0acb0000000b00100000000204002f0000:,0acb00000006001000000002
2595,0a2400000006000200000001:0a240000000400020100|0a250000000b00100000000204ffddffff:,0a2500000006001000000002
107,006c00000006000200000001:006c0000000400020100|006d0000000b00100000000204fffdffff:,006d00000006001000000002
3043,0be400000006000200000001:0be40000000400020100|0be50000000b0010000000020400260000:,0be500000006001000000002
2350,092f0000000b00100000000204ffd7ffff:092f00000006001000000002|093000000006000200000001:,09300000000400020100
1096,04490000000b00100000000204ffe2ffff:044900000006001000000002|044a00000006000200000001:,044a0000000400020100
464,01d10000000b00100000000204000b0000:01d100000006001000000002|01d200000006000200000001:,01d20000000400020100
2916,0b650000000b0010000000020400130000:0b6500000006001000000002|0b6600000006000200000001:,0b660000000400020100
699,02bc00000006000200000001:02bc0000000400020100|02bd0000000b00100000000204fff6ffff:,02bd00000006001000000002
3091,0c1400000006000200000001:0c140000000400020100|0c150000000b00100000000204ffe8ffff:,0c1500000006001000000002
2164,08750000000b0010000000020400310000:087500000006001000000002|087600000006000200000001:,08760000000400020100
167,00a800000006000200000001:00a80000000400020100|00a90000000b0010000000020400250000:,00a900000006001000000002
2525,09de00000006000200000001:09de0000000400020100|09df0000000b00100000000204ffd3ffff:,09df00000006001000000002
2492,09bd0000000b00100000000204ffd2ffff:09bd00000006001000000002|09be00000006000200000001:,09be0000000400020100
1892,07650000000b0010000000020400050000:076500000006001000000002|076600000006000200000001:,07660000000400020100
1420,058d0000000b0010000000020400100000:058d00000006001000000002|058e00000006000200000001:,058e0000000400020100
3131,0c3c00000006000200000001:0c3c0000000400020100|0c3d0000000b0010000000020400010000:,0c3d00000006001000000002
1224,04c90000000b0010000000020400010000:04c900000006001000000002|04ca00000006000200000001:,04ca0000000400020100
476,01dd0000000b00100000000204ffe8ffff:01dd00000006001000000002|01de00000006000200000001:,01de0000000400020100
60,003d0000000b0010000000020400280000:003d00000006001000000002|003e00000006000200000001:,003e0000000400020100
1629,065e00000006000200000001:065e0000000400020100|065f0000000b00100000000204002c0000:,065f00000006001000000002
1593,063a00000006000200000001:063a0000000400020100|063b0000000b00100000000204fffaffff:,063b00000006001000000002
2059,080c00000006000200000001:080c0000000400020100|080d0000000b00100000000204ffeaffff:,080d00000006001000000002
1350,05470000000b00100000000204ffd1ffff:054700000006001000000002|054800000006000200000001:,05480000000400020100
1780,06f50000000b00100000000204001c0000:06f500000006001000000002|06f600000006000200000001:,06f60000000400020100
1830,07270000000b00100000000204ffd3ffff:072700000006001000000002|072800000006000200000001:,07280000000400020100
880,03710000000b00100000000204000c0000:037100000006001000000002|037200000006000200000001:,03720000000400020100
1122,04630000000b0010000000020400270000:046300000006001000000002|046400000006000200000001:,04640000000400020100
1935,079000000006000200000001:07900000000400020100|07910000000b00100000000204002b0000:,079100000006001000000002
836,03450000000b00100000000204ffdfffff:034500000006001000000002|034600000006000200000001:,03460000000400020100
2489,09ba00000006000200000001:09ba0000000400020100|09bb0000000b00100000000204002a0000:,09bb00000006001000000002
1062,04270000000b0010000000020400250000:042700000006001000000002|042800000006000200000001:,04280000000400020100
