,source_text,target_text
54,003700000006000200000001:00370000000400020100|00380000000b00100000000204ffd3ffff:003800000006001000000002|00390000001a00da3a522310195ba21c125ddf42ea43e20b3e45af7b3474e23e:,003900000003005a01
500,01f500000006000300000002:01f50000000700030400090000|01f600000006000200000001:01f60000000400020100|01f70000000600050012ff00:,01f700000003008502
982,03d700000006000300000002:03d70000000700030400150000|03d80000000a00b5855f52d1522fc93d:03d800000003003501|03d90000000b00100000000204002d0000:,03d900000006001000000002
2001,07d300000006000200000001:07d30000000400020100|07d40000000b0010000000020400040000:07d400000006001000000002|07d5000000060005001eff00:,07d500000003008502
23,001800000006000200000001:00180000000400020100|001900000012005c7e4ac5b61ffee203f4630f42afecd798:00190000000300dc01|001a00000006000300000002:,001a0000000700030400160000
412,019d0000000b00100000000204ffdfffff:019d00000006001000000002|019e00000006000300000002:019e00000007000304ffdfffff|019f0000000a00207efb601739554b0e:,019f0000000300a001
695,02b800000006000300000002:02b800000007000304fff3ffff|02b900000006000600090022:02b900000003008602|02ba00000006000200000001:,02ba0000000400020100
483,01e400000006000600050032:01e400000003008602|01e500000006000300000002:01e50000000700030400010000|01e600000006000500220000:,01e600000003008502
2097,08330000000b00100000000204fff1ffff:083300000006001000000002|083400000006000300000002:083400000007000304fff1ffff|08350000000b00100000000204001d0000:,083500000006001000000002
1708,06ae0000000b00100000000204fff6ffff:06ae00000006001000000002|06af0000001200683d83205e08f1fa57d3938a1ac86f492b:06af0000000300e801|06b000000006000300000002:,06b000000007000304fff6ffff
782,030f0000001a004daff502895ca165f59cbc30901bb7f66b5a53f77fa37fb452:030f0000000300cd01|031000000006000300000002:03100000000700030400120000|03110000000600050026ff00:,031100000003008502
335,015000000006000200000001:01500000000400020100|015100000006000300000002:015100000007000304ffe9ffff|015200000006000200100001:,015200000003008202
643,028400000006000300000002:028400000007000304001a0000|02850000000b00100008000204ffd5ffff:028500000003009002|028600000006000500060000:,028600000003008502
198,00c700000006000300000002:00c70000000700030400180000|00c800000006000200000001:00c80000000400020100|00c90000001a00a82d65d049c4b5779bbe90500a29534325206e6e46390fd23c:,00c900000003002801
1924,07860000001200be73304617f043e3bc1282d5a3ecd1fe55:078600000003003e01|0787000000060002001f0001:078700000003008202|078800000006000300000002:,078800000007000304000b0000
1061,042700000006000200000001:04270000000400020100|04280000001a001e072c7a78176e30d10a740359e19e42b16de67f2059dc97bd:042800000003009e01|04290000000b00100000000204001f0000:,042900000006001000000002
1189,04a70000001200f0720512968b8333d02a4709a9178e22cf:04a700000003007001|04a800000006000300000002:04a80000000700030400240000|04a90000000b00100000000204000f0000:,04a900000006001000000002
1844,073600000006000300000002:07360000000700030400120000|0737000000060005002fff00:073700000003008502|073800000006000200000001:,07380000000400020100
1826,072400000006000300000002:07240000000700030400110000|072500000006000200000001:07250000000400020100|072600000012007e077bee4025cf52086d11e5fdccffcca2:,07260000000300fe01
1751,06d900000006000600080007:06d900000003008602|06da00000006000200000001:06da0000000400020100|06db00000006000300000002:,06db0000000700030400270000
2053,080700000006000200000001:08070000000400020100|080800000006000300000002:080800000007000304000b0000|080900000006000200000001:,08090000000400020100
