,source_text,target_text
426,01ab00000006000300000002:01ab0000000700030400020000|01ac00000006000200000001:01ac0000000400020100|01ad0000000b00100000000204000a0000:01ad00000006001000000002|01ae00000006000300000002:01ae00000007000304000a0000|01af00000006000200000001:01af0000000400020100|01b00000000b00100000000204fffdffff:01b000000006001000000002|01b100000006000300000002:,01b100000007000304fffdffff
263,010800000006000200000001:01080000000400020100|01090000000b0010000000020400170000:010900000006001000000002|010a00000006000200000001:010a0000000400020100|010b00000006000300000002:010b0000000700030400170000|010c00000006000200000001:010c0000000400020100|010d00000006000300000002:010d0000000700030400170000|010e0000000b00100000000204000f0000:,010e00000006001000000002
441,01ba00000006000300000002:01ba0000000700030400160000|01bb00000006000200000001:01bb0000000400020100|01bc0000000b0010000000020400000000:01bc00000006001000000002|01bd00000006000300000002:01bd0000000700030400000000|01be0000000b00100000000204ffd5ffff:01be00000006001000000002|01bf00000006000200000001:01bf0000000400020100|01c000000006000200000001:,01c00000000400020100
24,00190000000b0010000000020400100000:001900000006001000000002|001a00000006000300000002:001a0000000700030400100000|001b00000006000200000001:001b0000000400020100|001c00000006000200000001:001c0000000400020100|001d00000006000300000002:001d0000000700030400100000|001e0000000b00100000000204fff5ffff:001e00000006001000000002|001f0000000b00100000000204002b0000:,001f00000006001000000002
241,00f20000000b00100000000204ffdfffff:00f200000006001000000002|00f300000006000300000002:00f300000007000304ffdfffff|00f40000000b0010000000020400260000:00f400000006001000000002|00f500000006000200000001:00f50000000400020100|00f600000006000300000002:00f60000000700030400260000|00f700000006000200000001:00f70000000400020100|00f80000000b0010000000020400060000:,00f800000006001000000002
70,00470000000b00100000000204000a0000:004700000006001000000002|004800000006000300000002:004800000007000304000a0000|00490000000b00100000000204ffe4ffff:004900000006001000000002|004a00000006000300000002:004a00000007000304ffe4ffff|004b00000006000200000001:004b0000000400020100|004c00000006000200000001:004c0000000400020100|004d0000000b0010000000020400170000:,004d00000006001000000002
385,018200000006000200000001:01820000000400020100|01830000000b0010000000020400100000:018300000006001000000002|018400000006000300000002:01840000000700030400100000|01850000000b00100000000204000e0000:018500000006001000000002|018600000006000200000001:01860000000400020100|018700000006000200000001:01870000000400020100|018800000006000300000002:,018800000007000304000e0000
399,019000000006000300000002:019000000007000304000a0000|019100000006000200000001:01910000000400020100|01920000000b00100000000204ffe5ffff:019200000006001000000002|01930000000b00100000000204fffcffff:019300000006001000000002|019400000006000200000001:01940000000400020100|019500000006000300000002:019500000007000304fffcffff|019600000006000300000002:,019600000007000304fffcffff
296,012900000006000300000002:012900000007000304002f0000|012a00000006000300000002:012a00000007000304002f0000|012b00000006000200000001:012b0000000400020100|012c0000000b00100000000204002b0000:012c00000006001000000002|012d0000000b00100000000204fff1ffff:012d00000006001000000002|012e00000006000200000001:012e0000000400020100|012f00000006000300000002:,012f00000007000304fff1ffff
418,01a300000006000300000002:01a300000007000304002f0000|01a400000006000200000001:01a40000000400020100|01a50000000b00100000000204ffd5ffff:01a500000006001000000002|01a600000006000200000001:01a60000000400020100|01a700000006000300000002:01a700000007000304ffd5ffff|01a800000006000200000001:01a80000000400020100|01a900000006000300000002:,01a900000007000304ffd5ffff
163,00a400000006000200000001:00a40000000400020100|00a500000006000300000002:00a500000007000304fff0ffff|00a60000000b00100000000204ffdeffff:00a600000006001000000002|00a700000006000200000001:00a70000000400020100|00a800000006000300000002:00a800000007000304ffdeffff|00a900000006000300000002:00a900000007000304ffdeffff|00aa0000000b00100000000204ffceffff:,00aa00000006001000000002
60,003d00000006000300000002:003d00000007000304fff0ffff|003e00000006000200000001:003e0000000400020100|003f0000000b00100000000204ffd0ffff:003f00000006001000000002|004000000006000200000001:00400000000400020100|00410000000b0010000000020400300000:004100000006001000000002|004200000006000300000002:00420000000700030400300000|004300000006000200000001:,00430000000400020100
