,source_text,target_text
1401,057a0000000b00100000000204020046b1,057a00000006001000000002
1406,057f0000000b001000000002043d00473c,057f00000006001000000002
1066,042b00000006000400000002,042b0000000700040400003f80
157,009e0000000b00100000000204400046bb,009e00000006001000000002
367,01700000000b00100000000204f80045e4,017000000006001000000002
147,00940000000b0010000000020434004649,009400000006001000000002
316,013d0000000b00100000000204d00045df,013d00000006001000000002
499,01f400000006000300000002,01f40000000700030444004610
780,030d00000006000400000002,030d0000000700040400003f80
1294,050f0000000b00100000000204a800459e,050f00000006001000000002
411,019c0000000b00100000000204c5004706,019c00000006001000000002
1396,057500000006000400000002,05750000000700040400003f80
502,01f700000006000300000002,01f70000000700030458004693
558,022f00000006000400000002,022f0000000700040400003f80
124,007d00000006000300000002,007d000000070003043300471a
715,02cc0000000b001000000002044b004740,02cc00000006001000000002
1152,048100000006000400000002,04810000000700040400003f80
797,031e0000000b001000000002048000464e,031e00000006001000000002
1258,04eb00000006000300000002,04eb000000070003040800476b
1345,054200000006000300000002,054200000007000304b900473c
949,03b600000006000400000002,03b60000000700040400003f80
1224,04c900000006000300000002,04c9000000070003040b004767
1363,055400000006000300000002,055400000007000304aa004752
844,034d00000006000300000002,034d00000007000304380045e3
1225,04ca0000000b001000000002040a004740,04ca00000006001000000002
958,03bf00000006000400000002,03bf0000000700040400003f80
112,00710000000b001000000002044c004756,007100000006001000000002
913,03920000000b001000000002040400465f,039200000006001000000002
808,03290000000b001000000002044d004760,032900000006001000000002
580,02450000000b001000000002048c004743,024500000006001000000002
275,011400000006000300000002,011400000007000304e6004704
1124,046500000006000300000002,04650000000700030476004728
11,000c00000006000300000002,000c0000000700030466004735
1005,03ee00000006000400000002,03ee0000000700040400003f80
868,03650000000b0010000000020439004700,036500000006001000000002
1173,04960000000b001000000002046e004773,049600000006001000000002
307,01340000000b00100000000204b4004737,013400000006001000000002
970,03cb00000006000400000002,03cb0000000700040400003f80
1340,053d00000006000400000002,053d0000000700040400003f80
925,039e00000006000300000002,039e00000007000304fa004732
1216,04c100000006000300000002,04c100000007000304aa0046b9
289,01220000000b00100000000204000044ad,012200000006001000000002
529,021200000006000300000002,021200000007000304500045f9
528,021100000006000400000002,02110000000700040400003f80
481,01e20000000b00100000000204d60046fa,01e200000006001000000002
193,00c200000006000400000002,00c20000000700040400003f80
321,01420000000b001000000002049c004779,014200000006001000000002
195,00c400000006000300000002,00c40000000700030415004736
505,01fa00000006000400000002,01fa0000000700040400003f80
1172,04950000000b00100000000204e3004751,049500000006001000000002
325,014600000006000400000002,01460000000700040400003f80
739,02e400000006000400000002,02e40000000700040400003f80
945,03b20000000b001000000002045800462b,03b200000006001000000002
507,01fc00000006000400000002,01fc0000000700040400003f80
1360,055100000006000300000002,0551000000070003046000462f
721,02d200000006000400000002,02d20000000700040400003f80
1398,057700000006000300000002,057700000007000304e80045b5
45,002e0000000b00100000000204a0004559,002e00000006001000000002
341,015600000006000300000002,015600000007000304dc004737
75,004c0000000b001000000002049800459d,004c00000006001000000002
296,012900000006000300000002,0129000000070003049600476c
1003,03ec00000006000400000002,03ec0000000700040400003f80
493,01ee00000006000400000002,01ee0000000700040400003f80
247,00f80000000b001000000002041a004752,00f800000006001000000002
449,01c20000000b0010000000020490004747,01c200000006001000000002
1260,04ed00000006000400000002,04ed0000000700040400003f80
288,012100000006000400000002,01210000000700040400003f80
1276,04fd00000006000300000002,04fd00000007000304a2004728
538,021b00000006000300000002,021b000000070003048f004740
1404,057d00000006000300000002,057d00000007000304020046b1
312,013900000006000400000002,01390000000700040400003f80
582,024700000006000300000002,0247000000070003048c004743
976,03d10000000b00100000000204e8004640,03d100000006001000000002
872,03690000000b00100000000204360046b1,036900000006001000000002
70,00470000000b00100000000204620046df,004700000006001000000002
875,036c0000000b001000000002048a0046c7,036c00000006001000000002
15,00100000000b00100000000204ec00461c,001000000006001000000002
1153,04820000000b0010000000020478004693,048200000006001000000002
963,03c400000006000400000002,03c40000000700040400003f80
51,003400000006000400000002,00340000000700040400003f80
1121,046200000006000400000002,04620000000700040400003f80
235,00ec00000006000300000002,00ec00000007000304a80046b9
1221,04c600000006000400000002,04c60000000700040400003f80
71,004800000006000400000002,00480000000700040400003f80
1099,044c00000006000300000002,044c0000000700030480004410
212,00d500000006000400000002,00d50000000700040400003f80
952,03b900000006000400000002,03b90000000700040400003f80
718,02cf00000006000300000002,02cf0000000700030488004745
804,03250000000b0010000000020452004756,032500000006001000000002
1091,044400000006000400000002,04440000000700040400003f80
1034,040b00000006000300000002,040b000000070003045e00475f
