,source_text,target_text
3238,194d0000000b00100000000204793e3f78:194d00000006001000000002|194e00000006000400000002:,194e00000007000404a9443f39
1412,0b090000000b0010000000020409d5bfd0:0b0900000006001000000002|0b0a00000006000400000002:,0b0a000000070004046c313e28
1210,09750000000b001000000002041bdabffc:097500000006001000000002|097600000006000400000002:,097600000007000404bd8e3dfa
4975,26df0000000b00100000000204cbfb410e:26df00000006001000000002|26e000000006000400000002:,26e000000007000404f7483f7f
4963,26c70000000b00100000000204a5e34109:26c700000006001000000002|26c800000006000400000002:,26c800000007000404f3f93f7f
1342,0a7d0000000b001000000002049e84bfdd:0a7d00000006001000000002|0a7e00000006000400000002:,0a7e0000000700040404b63e1a
4699,24b70000000b0010000000020483e44098:24b700000006001000000002|24b800000006000400000002:,24b800000007000404d6c43f7d
192,01810000000b00100000000204902ec0be:018100000006001000000002|018200000006000400000002:,01820000000700040477df3b29
2691,15070000000b0010000000020492a33e3a:150700000006001000000002|150800000006000400000002:,150800000007000404a0ef3f0b
3911,1e8f0000000b0010000000020449ba4008:1e8f00000006001000000002|1e9000000006000400000002:,1e9000000007000404cbfc3f64
3462,1b0d0000000b001000000002045aee3faa:1b0d00000006001000000002|1b0e00000006000400000002:,1b0e000000070004047e493f4a
2685,14fb0000000b00100000000204f0d83e34:14fb00000006001000000002|14fc00000006000400000002:,14fc00000007000404478b3f0b
2946,17050000000b00100000000204460b3f05:170500000006001000000002|170600000006000400000002:,17060000000700040495f43f20
333,029b0000000b00100000000204db23c09d:029b00000006001000000002|029c00000006000400000002:,029c00000007000404665f3bea
130,01050000000b00100000000204c505c0d9:010500000006001000000002|010600000006000400000002:,0106000000070004040d663a91
1524,0be90000000b0010000000020409d5bfb8:0be900000006001000000002|0bea00000006000400000002:,0bea000000070004047dd53e44
2589,143b0000000b00100000000204fdf43d54:143b00000006001000000002|143c00000006000400000002:,143c0000000700040453c73f03
724,05a90000000b001000000002047a10c046:05a900000006001000000002|05aa00000006000400000002:,05aa000000070004045d5a3d30
2109,107b0000000b00100000000204d42cbf1a:107b00000006001000000002|107c00000006000400000002:,107c00000007000404dcb33eb4
1609,0c930000000b001000000002046666bfa6:0c9300000006001000000002|0c9400000006000400000002:,0c94000000070004044e143e5b
4960,26c10000000b00100000000204aace4107:26c100000006001000000002|26c200000006000400000002:,26c200000007000404f2633f7f
4812,25990000000b0010000000020468dc40b6:259900000006001000000002|259a00000006000400000002:,259a0000000700040425833f7f
2859,16570000000b001000000002042eb23ece:165700000006001000000002|165800000006000400000002:,1658000000070004046e193f19
2175,10ff0000000b00100000000204538fbf04:10ff00000006001000000002|110000000006000400000002:,11000000000700040445893ebf
4982,26ed0000000b0010000000020463884111:26ed00000006001000000002|26ee00000006000400000002:,26ee00000007000404f8963f7f
4071,1fcf0000000b001000000002044ea5401c:1fcf00000006001000000002|1fd000000006000400000002:,1fd00000000700040484e53f6b
2466,13450000000b001000000002045fd9bdf6:134500000006001000000002|134600000006000400000002:,1346000000070004049ec13ef0
2518,13ad0000000b001000000002048a72bd0e:13ad00000006001000000002|13ae00000006000400000002:,13ae000000070004048bca3efb
2156,10d90000000b0010000000020443febf0a:10d900000006001000000002|10da00000006000400000002:,10da0000000700040480093ebc
2450,13250000000b001000000002047dbfbe1d:132500000006001000000002|132600000006000400000002:,1326000000070004045a313eec
463,039f0000000b0010000000020468dcc084:039f00000006001000000002|03a000000006000400000002:,03a000000007000404ac843c80
2637,149b0000000b00100000000204a7873dd7:149b00000006001000000002|149c00000006000400000002:,149c00000007000404bba53f06
445,037b0000000b001000000002046d5dc087:037b00000006001000000002|037c00000006000400000002:,037c0000000700040485403c6a
4438,22ad0000000b00100000000204b9244064:22ad00000006001000000002|22ae00000006000400000002:,22ae0000000700040403ed3f79
