,source_text,target_text
311,013800000006000300000002:0138000000070003042700473a|01390000000b0010000000020476004681:013900000006001000000002|013a00000006000400000002:,013a0000000700040400003f80
18,00130000000b0010000000020498004591:001300000006001000000002|001400000006000400000002:00140000000700040400003f80|001500000006000300000002:,00150000000700030498004591
37,002600000006000400000002:00260000000700040400003f80|002700000006000300000002:00270000000700030480004609|002800000006000300000002:,00280000000700030480004609
518,02070000000b00100000000204b3004704:020700000006001000000002|02080000000b00100000000204c800463f:020800000006001000000002|020900000006000300000002:,020900000007000304c800463f
421,01a600000006000400000002:01a60000000700040400003f80|01a700000006000300000002:01a700000007000304440046d5|01a800000006000400000002:,01a80000000700040400003f80
86,00570000000b00100000000204ee004712:005700000006001000000002|005800000006000300000002:005800000007000304ee004712|00590000000b00100000000204c800465c:,005900000006001000000002
52,003500000006000400000002:00350000000700040400003f80|00360000000b001000000002042800471a:003600000006001000000002|00370000000b001000000002041c004754:,003700000006001000000002
707,02c400000006000400000002:02c40000000700040400003f80|02c500000006000400000002:02c50000000700040400003f80|02c600000006000300000002:,02c6000000070003046000468e
658,029300000006000300000002:029300000007000304b000451d|029400000006000400000002:02940000000700040400003f80|029500000006000300000002:,029500000007000304b000451d
172,00ad0000000b001000000002044000475d:00ad00000006001000000002|00ae00000006000400000002:00ae0000000700040400003f80|00af00000006000300000002:,00af000000070003044000475d
555,022c00000006000300000002:022c00000007000304fc00467b|022d0000000b00100000000204f000474e:022d00000006001000000002|022e00000006000400000002:,022e0000000700040400003f80
689,02b200000006000400000002:02b20000000700040400003f80|02b300000006000300000002:02b300000007000304c700477c|02b400000006000400000002:,02b40000000700040400003f80
270,010f00000006000300000002:010f000000070003049200471b|011000000006000400000002:01100000000700040400003f80|01110000000b00100000000204fc00474c:,011100000006001000000002
74,004b00000006000400000002:004b0000000700040400003f80|004c00000006000400000002:004c0000000700040400003f80|004d0000000b00100000000204fc0046c8:,004d00000006001000000002
131,00840000000b00100000000204740046d6:008400000006001000000002|008500000006000300000002:008500000007000304740046d6|008600000006000400000002:,00860000000700040400003f80
278,011700000006000300000002:011700000007000304ea0046d0|011800000006000400000002:01180000000700040400003f80|01190000000b0010000000020430004543:,011900000006001000000002
377,017a00000006000300000002:017a00000007000304680045da|017b00000006000300000002:017b00000007000304680045da|017c0000000b00100000000204080046f3:,017c00000006001000000002
291,012400000006000300000002:01240000000700030444004730|012500000006000400000002:01250000000700040400003f80|01260000000b00100000000204c1004727:,012600000006001000000002
257,01020000000b0010000000020487004748:010200000006001000000002|010300000006000300000002:01030000000700030487004748|01040000000b001000000002040100472a:,010400000006001000000002
66,00430000000b001000000002044e0046fb:004300000006001000000002|004400000006000300000002:0044000000070003044e0046fb|004500000006000400000002:,00450000000700040400003f80
654,028f00000006000400000002:028f0000000700040400003f80|02900000000b001000000002045b00477d:029000000006001000000002|029100000006000300000002:,0291000000070003045b00477d
67,004400000006000300000002:0044000000070003044e0046fb|004500000006000400000002:00450000000700040400003f80|004600000006000300000002:,0046000000070003044e0046fb
92,005d0000000b00100000000204e800471f:005d00000006001000000002|005e00000006000400000002:005e0000000700040400003f80|005f0000000b001000000002046c00464e:,005f00000006001000000002
414,019f0000000b0010000000020410004769:019f00000006001000000002|01a000000006000400000002:01a00000000700040400003f80|01a100000006000300000002:,01a10000000700030410004769
32,002100000006000300000002:002100000007000304020046af|00220000000b001000000002049600476a:002200000006001000000002|002300000006000400000002:,00230000000700040400003f80
170,00ab00000006000300000002:00ab000000070003045a004710|00ac00000006000300000002:00ac000000070003045a004710|00ad0000000b001000000002044000475d:,00ad00000006001000000002
695,02b800000006000300000002:02b8000000070003045c004678|02b900000006000300000002:02b9000000070003045c004678|02ba00000006000400000002:,02ba0000000700040400003f80
213,00d600000006000400000002:00d60000000700040400003f80|00d700000006000300000002:00d700000007000304f40046b8|00d80000000b0010000000020420004550:,00d800000006001000000002
124,007d0000000b00100000000204f000463d:007d00000006001000000002|007e00000006000300000002:007e00000007000304f000463d|007f0000000b0010000000020488004714:,007f00000006001000000002
11,000c00000006000300000002:000c0000000700030484004758|000d0000000b001000000002046a00475e:000d00000006001000000002|000e00000006000300000002:,000e000000070003046a00475e
683,02ac00000006000300000002:02ac00000007000304e80045a3|02ad0000000b00100000000204d7004740:02ad00000006001000000002|02ae00000006000400000002:,02ae0000000700040400003f80
316,013d00000006000300000002:013d0000000700030476004681|013e0000000b001000000002043300474f:013e00000006001000000002|013f00000006000400000002:,013f0000000700040400003f80
