,source_text,target_text
2233,08bc00000012009359bdb8ef47e5300a1ce02b62783bb7ed:08bc00000003001301|08bd00000006000600000014:08bd00000006000600000014|08be00000006000600150005:08be00000003008602|08bf00000006000400000002:08bf0000000700040400003f80|08c000000006000300000001:,08c0000000050003020014
2184,088b0000000a00cb8b05d6db34c87e91:088b00000003004b01|088c00000006000300000001:088c000000050003020015|088d0000000600060028002d:088d00000003008602|088e00000006000600000005:088e00000006000600000005|088f00000006000300000001:,088f000000050003020005
1565,062000000006000400000002:06200000000700040400003f80|062100000006000500250000:062100000003008502|06220000000a0094e291347a1e7c43ec:062200000003001401|062300000006000600000000:062300000006000600000000|06240000000a00b10795828b0c956938:,062400000003003101
1632,06630000001200b678644b0080839e2d2453b7b3f2f1709a:066300000003003601|06640000000600060000000d:06640000000600060000000d|066500000006000400000002:066500000007000404ffda3f7f|066600000006000100020001:066600000003008102|0667000000120031ebcc12b342f077a62d09a5df0162da8f:,06670000000300b101
1031,040900000006000600000021:040900000006000600000021|040a00000006000400000002:040a0000000700040400003f80|040b0000000a00c01f829671ce578fb0:040b00000003004001|040c00000006000600000010:040c00000006000600000010|040d000000060001001c0001:,040d00000003008102
299,012d00000006000400000002:012d0000000700040400003f80|012e00000006000600000016:012e00000006000600000016|012f00000006000300000001:012f000000050003020016|01300000001200b22fc8cefa820845875cd3bb924652e988:013000000003003201|013100000006000200060001:,013100000003008202
1667,068600000006000300000001:0686000000050003020012|068700000012008ee100f2f225aeec8b2239aa9b99e5e370:068700000003000e01|06880000000f0010001e0004080006000200000009:068800000003009002|068900000006000400000002:06890000000700040400003f80|068a00000006000600000011:,068a00000006000600000011
878,03700000000a00b1951b37807de430f8:037000000003003101|037100000006000400000002:03710000000700040400003f80|03720000000600060000001d:03720000000600060000001d|037300000006000100050001:037300000003008102|03740000001a00e5b4596ef2bb3734d3e8f84b72f858291ab69f9ea0eee01c2f:,037400000003006501
772,030600000006000600000000:030600000006000600000000|03070000001a00f6a1e27ec66d76da9f1b9f762c654b6cad8c8be78cb9ecc047:030700000003007601|03080000001a007704f8bcbe2620f6a89f44b91bf97e5b37a1b523ef7af4b517:03080000000300f701|030900000006000400000002:03090000000700040400003f00|030a00000006000600000005:,030a00000006000600000005
781,030f000000120067da5487f3e43a3202f44b473bf89550d4:030f0000000300e701|031000000006000300000001:0310000000050003020013|031100000006000400000002:03110000000700040400003f80|031200000006000400000002:03120000000700040400003f80|031300000006000300000001:,0313000000050003020013
92,005e00000006000400000002:005e00000007000404fffe3f7f|005f00000006000300100001:005f00000003008302|006000000006000400000002:006000000007000404fffe3f7f|006100000006000300000001:0061000000050003020010|00620000001a000ac2ce5037289b6a07746baac43c431555c8584364a35605c4:,006200000003008a01
