,source_text,target_text
1144,047900000006000600000031:047900000006000600000031|047a0000000f001000130004080001000900050001:047a00000003009002|047b00000006000400000002:047b0000000700040400003f80|047c0000001200bdeb64df460cae77fff2e4a75cbd57c5f0:047c00000003003d01|047d00000006000300000001:047d000000050003020031|047e0000000600060000000b:047e0000000600060000000b|047f00000006000400000002:047f00000007000404fee83f7f|048000000006000100000001:048000000003008102|048100000006000600000010:,048100000006000600000010
248,00f900000006000600000011:00f900000006000600000011|00fa0000001a005dfdee820719d20b4413029674e8a5715aaa0f31aea08558cf:00fa0000000300dd01|00fb000000060006000c0025:00fb00000003008602|00fc00000006000600000006:00fc00000006000600000006|00fd00000006000300000001:00fd000000050003020006|00fe00000006000400000002:00fe000000070004045df53f7f|00ff0000001200ceab8ceb79acf8a9c8539b5bd53d40edc7:00ff00000003004e01|010000000006000600000006:010000000006000600000006|010100000006000300000001:,0101000000050003020006
76,004d000000060001002e0001:004d00000003008102|004e00000006000400000002:004e0000000700040400003f80|004f00000006000300000001:004f000000050003020029|005000000006000600000029:005000000006000600000029|00510000000600060000001e:00510000000600060000001e|005200000006000400000002:00520000000700040400003f80|00530000000a00b0ebe6034cc7bf1c94:005300000003003001|0054000000060002002e0001:005400000003008202|005500000006000300000001:,005500000005000302001e
817,033200000006000300100001:033200000003008302|033300000006000400000002:033300000007000404fee83f7f|033400000006000300000001:033400000005000302000b|033500000006000400000002:033500000007000404fee83f7f|033600000006000300000001:033600000005000302000b|03370000000f0010000b0004080003000100030009:033700000003009002|03380000001a00264e56d6a718061631ef8bca3207d8d607ab62853afc9ecdb0:03380000000300a601|03390000000600060000001d:03390000000600060000001d|033a00000006000300000001:,033a00000005000302001d
236,00ed00000006000300000001:00ed000000050003020017|00ee00000006000400000002:00ee0000000700040400003f80|00ef000000060003000f0001:00ef00000003008302|00f00000001200f35bb075290d19fa102ee6cf2733e3cc5f:00f000000003007301|00f10000000600060000001d:00f10000000600060000001d|00f200000006000400000002:00f20000000700040400003f80|00f30000000f0010000d0004080001000200050001:00f300000003009002|00f400000006000300000001:00f400000005000302001d|00f50000001a00bccb1b2f5ec92d07f1c6e329285fdb7141cd59c49684fdf065:,00f500000003003c01
262,01070000000a00b2fd047d82bd3f7360:010700000003003201|010800000006000300000001:0108000000050003020006|010900000006000600000007:010900000006000600000007|010a0000000600060000002b:010a0000000600060000002b|010b00000006000300000001:010b00000005000302002b|010c0000001200d8c60e5e3d314ca3d39a21a82038146ceb:010c00000003005801|010d00000006000400000002:010d0000000700040400003f80|010e000000060001002a0001:010e00000003008102|010f00000006000300000001:,010f00000005000302002b
133,00860000000f001000130004080004000100010004:008600000003009002|00870000001200311f1bb9b634d18e9c8f4f48ed2503c1a3:00870000000300b101|008800000006000600040025:008800000003008602|008900000006000400000002:008900000007000404ffda3f7f|008a00000006000300000001:008a00000005000302000d|008b0000001200b17252e62b1a64b15585980c6e03f0c586:008b00000003003101|008c00000006000600000022:008c00000006000600000022|008d00000006000600000019:008d00000006000600000019|008e0000000a00c9f026ea42d368a017:,008e00000003004901
451,01c400000006000600000004:01c400000006000600000004|01c5000000120012fdca326bc123fabb5e796f6ac42e4578:01c500000003009201|01c6000000060006001d0021:01c600000003008602|01c700000006000300000001:01c7000000050003020004|01c80000001a0071a5acb7eae1c76566fda4ed11f1bef983290489192eb0f497:01c80000000300f101|01c900000006000400000002:01c90000000700040465413f7b|01ca00000006000600000027:01ca00000006000600000027|01cb00000006000300000001:01cb000000050003020027|01cc000000060006000b0015:,01cc00000003008602
281,011a0000001200fae8c7ba0eb9bb18df87b59e1376598c80:011a00000003007a01|011b00000006000300000001:011b00000005000302000c|011c00000006000400000002:011c00000007000404ff983f7f|011d0000000600060000002b:011d0000000600060000002b|011e00000006000300240001:011e00000003008302|011f00000006000300000001:011f00000005000302002b|012000000006000600000013:012000000006000600000013|012100000006000400000002:01210000000700040400003f80|01220000000a0033627d710a77124d4b:,01220000000300b301
490,01eb00000008000f001c00040104:01eb00000003008f02|01ec00000006000400000002:01ec0000000700040400003f80|01ed00000012000a0393d5ffff0ea771855be2016f965fbe:01ed00000003008a01|01ee00000006000600000022:01ee00000006000600000022|01ef00000006000300000001:01ef000000050003020022|01f000000006000400000002:01f00000000700040400003f80|01f100000006000600000008:01f100000006000600000008|01f20000000f001000320004080002000300010003:01f200000003009002|01f300000006000300000001:,01f3000000050003020008
141,008e0000000a00c9f026ea42d368a017:008e00000003004901|008f00000006000500180000:008f00000003008502|009000000006000300000001:0090000000050003020019|009100000006000400000002:00910000000700040400003f80|0092000000120071c25f62ed5f3f7301aaf20feae20fb6a2:00920000000300f101|009300000006000400200001:009300000003008402|00940000000600060000000f:00940000000600060000000f|009500000006000300000001:009500000005000302000f|009600000006000400000002:,009600000007000404fffa3f7f
566,02370000000a00754b01e490db1d1656:02370000000300f501|023800000006000600000011:023800000006000600000011|023900000006000400000002:02390000000700040400003f80|023a00000006000300100001:023a00000003008302|023b00000006000300000001:023b000000050003020011|023c000000060004001d0001:023c00000003008402|023d0000000a008ecf0957662e656435:023d00000003000e01|023e00000006000400000002:023e0000000700040400003f80|023f00000006000600000001:,023f00000006000600000001
581,024600000006000400000002:024600000007000404ffda3f7f|02470000001200b21b1ac4c748f0d539e4fba7aea11ff480:024700000003003201|02480000000600060000000f:02480000000600060000000f|024900000008000f00110004010f:024900000003008f02|024a00000006000400000002:024a00000007000404fffa3f7f|024b00000006000300000001:024b00000005000302000f|024c0000001a008e2c8e9d1603a87ed747a66ddc54725f1a809ea66579008730:024c00000003000e01|024d000000060005002f0000:024d00000003008502|024e0000000600060000001a:,024e0000000600060000001a
630,027700000006000500010000:027700000003008502|02780000000a00ae512a9b7479945a30:027800000003002e01|027900000006000600000017:027900000006000600000017|027a00000006000400000002:027a0000000700040400003f80|027b00000006000300000001:027b000000050003020017|027c0000000600060000001a:027c0000000600060000001a|027d00000006000100100001:027d00000003008102|027e00000006000300000001:027e00000005000302001a|027f0000000a00f2150b1d2f5171c690:,027f00000003007201
