,source_text,target_text
4015,1.4017,0.8025
1255,-1.1242,0.2452
779,-1.7736,0.1451
3796,1.1578,0.7609
4873,4.0057,0.9821
4642,2.6194,0.9321
3233,0.6126,0.6485
250,-3.0714,0.0443
4296,1.8574,0.865
3025,0.4374,0.6076
1926,-0.5111,0.3749
3812,1.1752,0.7641
3761,1.1186,0.7537
94,-4.306,0.0133
3809,1.1712,0.7634
2238,-0.2112,0.4474
2959,0.3808,0.5941
1651,-0.7509,0.3206
1303,-1.0861,0.2524
1957,-0.4815,0.3819
1049,-1.3832,0.2005
2555,0.0641,0.516
2451,-0.024,0.494
2313,-0.147,0.4633
3935,1.3124,0.7879
488,-2.3057,0.0907
2102,-0.3252,0.4194
4075,1.4849,0.8153
3359,0.7367,0.6763
1057,-1.3749,0.2018
3535,0.8866,0.7082
3413,0.7772,0.6851
1927,-0.5106,0.3751
495,-2.29,0.092
1612,-0.7813,0.314
2187,-0.2481,0.4383
4978,7.071,0.9992
248,-3.0752,0.0441
2835,0.2742,0.5681
3349,0.7279,0.6743
3561,0.9166,0.7144
872,-1.6436,0.162
803,-1.7324,0.1503
126,-3.9886,0.0182
3777,1.1289,0.7556
3495,0.8548,0.7016
4333,1.9181,0.8719
574,-2.0942,0.1097
1002,-1.4402,0.1915
2976,0.3974,0.5981
3366,0.7397,0.6769
2573,0.0729,0.5182
448,-2.3963,0.0835
451,-2.3858,0.0843
4590,2.4965,0.9239
1262,-1.1193,0.2461
1922,-0.5137,0.3743
904,-1.5817,0.1706
2466,-0.0151,0.4962
1594,-0.8001,0.31
163,-3.6777,0.0247
3586,0.9479,0.7207
4172,1.6435,0.838
3,-8.4437,0.0002
3625,0.9928,0.7296
1074,-1.3583,0.2045
36,-5.768,0.0031
2275,-0.174,0.4566
2197,-0.2439,0.4393
3702,1.0578,0.7423
3164,0.5524,0.6347
4298,1.8605,0.8654
2760,0.22,0.5548
206,-3.3122,0.0352
1236,-1.1555,0.2395
1247,-1.136,0.2431
2732,0.1954,0.5487
910,-1.5754,0.1714
22,-6.4483,0.0016
4141,1.5869,0.8302
2292,-0.1618,0.4596
3791,1.1462,0.7588
1820,-0.5975,0.3549
2522,0.0352,0.5088
671,-1.9495,0.1246
748,-1.8129,0.1403
2314,-0.1454,0.4637
486,-2.3078,0.0905
3321,0.7024,0.6687
433,-2.445,0.0798
4829,3.5951,0.9733
4945,5.4713,0.9958
233,-3.1356,0.0417
1412,-0.9772,0.2734
1144,-1.2768,0.2181
2933,0.3567,0.5882
2830,0.272,0.5676
4166,1.6337,0.8367
306,-2.8278,0.0558
1108,-1.3189,0.211
937,-1.5394,0.1766
1368,-1.0256,0.2639
3755,1.1115,0.7524
4782,3.2797,0.9637
3245,0.6308,0.6527
4291,1.8465,0.8637
1327,-1.0668,0.256
1501,-0.8803,0.2931
1971,-0.4702,0.3846
1630,-0.7673,0.3171
1915,-0.5193,0.373
1290,-1.1016,0.2494
1087,-1.3395,0.2076
1045,-1.3873,0.1998
2530,0.0409,0.5102
4704,2.854,0.9455
216,-3.2382,0.0378
2643,0.1279,0.5319
3082,0.4788,0.6175
1115,-1.3151,0.2116
4463,2.1793,0.8984
4753,3.1413,0.9586
3514,0.8695,0.7046
598,-2.0461,0.1144
1975,-0.4628,0.3863
122,-4.0279,0.0175
683,-1.9355,0.1261
4844,3.6873,0.9756
2952,0.3696,0.5914
1300,-1.0882,0.252
1530,-0.8522,0.299
3603,0.9654,0.7242
245,-3.0829,0.0438
1709,-0.6991,0.332
1423,-0.9582,0.2772
1784,-0.6254,0.3486
4049,1.4452,0.8093
3995,1.3826,0.7994
167,-3.6704,0.0248
2986,0.4089,0.6008
