,source_test,target_text
5717,-4.28471,0.01359
14927,4.92575,0.99279
6168,-3.83369,0.02117
3780,-6.22181,0.00198
10483,0.48152,0.61811
13674,3.67268,0.97522
5759,-4.24271,0.01417
15046,5.04475,0.9936
17160,7.15886,0.99922
15060,5.05875,0.99369
17562,7.56088,0.99948
16243,6.24181,0.99806
14846,4.84474,0.99219
13381,3.37967,0.96706
13019,3.01765,0.95337
6394,-3.60768,0.0264
13832,3.83069,0.97877
17091,7.08985,0.99917
11745,1.74359,0.85114
11469,1.46757,0.81269
10411,0.40952,0.60097
17340,7.33887,0.99935
18750,8.74894,0.99984
15288,5.28676,0.99497
11843,1.84159,0.86314
973,-9.02895,0.00012
1263,-8.73894,0.00016
14231,4.22971,0.98565
12819,2.81764,0.94362
14651,4.64973,0.99053
19189,9.18796,0.9999
1344,-8.65793,0.00017
14910,4.90875,0.99267
5191,-4.81074,0.00808
9191,-0.81054,0.30778
16186,6.18481,0.99794
10076,0.0745,0.51862
1722,-8.27991,0.00025
11364,1.36257,0.79618
12363,2.36162,0.91385
1317,-8.68493,0.00017
10767,0.76554,0.68255
14874,4.87274,0.99241
15117,5.11576,0.99403
17287,7.28586,0.99932
11935,1.9336,0.87365
4271,-5.73079,0.00323
11538,1.53658,0.82297
11276,1.27456,0.78152
11683,1.68158,0.84311
13835,3.83369,0.97883
6427,-3.57468,0.02726
12717,2.71564,0.93794
12929,2.92765,0.9492
572,-9.42997,8e-05
16665,6.66383,0.99873
12471,2.46962,0.92198
1157,-8.84494,0.00014
7318,-2.68363,0.06395
9,-9.993,5e-05
6438,-3.56368,0.02755
13356,3.35467,0.96626
10577,0.57553,0.64004
1169,-8.83294,0.00015
19753,9.75199,0.99994
9860,-0.14151,0.46468
1046,-8.95595,0.00013
764,-9.23796,0.0001
12048,2.0466,0.8856
12950,2.94865,0.9502
19677,9.67598,0.99994
2873,-7.12886,0.0008
18488,8.48692,0.99979
15854,5.85279,0.99714
7094,-2.90765,0.05178
5409,-4.59273,0.01002
16983,6.98185,0.99907
7625,-2.37662,0.08497
899,-9.10296,0.00011
19842,9.84099,0.99995
19791,9.78999,0.99994
4727,-5.27476,0.00509
16128,6.12681,0.99782
5305,-4.69673,0.00904
19041,9.03995,0.99988
3633,-6.36882,0.00171
11410,1.40857,0.80354
1117,-8.88494,0.00014
9054,-0.94755,0.27938
10231,0.22951,0.55713
7568,-2.43362,0.08064
13400,3.39867,0.96766
5349,-4.65273,0.00945
1310,-8.69193,0.00017
16338,6.33682,0.99823
14831,4.82974,0.99207
10694,0.69253,0.66653
158,-9.84399,5e-05
7623,-2.37862,0.08482
17271,7.26986,0.9993
15373,5.37177,0.99538
3242,-6.75984,0.00116
9231,-0.77054,0.31636
4516,-5.48577,0.00413
13460,3.45867,0.96949
12409,2.40762,0.91741
18515,8.51393,0.9998
7110,-2.89164,0.05257
11676,1.67458,0.84219
17797,7.79589,0.99959
6742,-3.25966,0.03698
1382,-8.61993,0.00018
7618,-2.38362,0.08443
11299,1.29756,0.78542
13280,3.27866,0.96369
7145,-2.85664,0.05434
11784,1.78259,0.85602
8531,-1.47057,0.18686
3405,-6.59683,0.00136
3341,-6.66083,0.00128
18791,8.78994,0.99985
11650,1.64858,0.8387
3000,-7.00185,0.00091
4464,-5.53778,0.00392
6207,-3.79469,0.022
17914,7.9129,0.99963
4488,-5.51378,0.00401
6852,-3.14966,0.0411
10471,0.46952,0.61527
15470,5.46877,0.9958
13843,3.84169,0.97899
11122,1.12056,0.75409
10248,0.24651,0.56132
14618,4.61673,0.99021
8300,-1.70159,0.15426
15309,5.30777,0.99507
19058,9.05695,0.99988
18374,8.37292,0.99977
3942,-6.0598,0.00233
11297,1.29556,0.78509
9572,-0.42952,0.39424
5434,-4.56773,0.01027
8785,-1.21656,0.22854
15488,5.48677,0.99588
11817,1.81559,0.86004
981,-9.02095,0.00012
8190,-1.81159,0.14045
13162,3.16066,0.95933
9739,-0.26251,0.43475
16235,6.23381,0.99804
8963,-1.03855,0.26143
18034,8.0329,0.99968
4463,-5.53878,0.00392
10143,0.14151,0.53532
3239,-6.76284,0.00115
4926,-5.07575,0.00621
5927,-4.0747,0.01671
19666,9.66498,0.99994
14972,4.97075,0.99311
9546,-0.45552,0.38805
11612,1.61058,0.83349
13447,3.44567,0.9691
12413,2.41162,0.91771
13225,3.22366,0.96172
8791,-1.21056,0.2296
7717,-2.28461,0.09241
7058,-2.94365,0.05004
19047,9.04595,0.99988
5487,-4.51473,0.01083
19672,9.67098,0.99994
17918,7.9169,0.99964
17764,7.76289,0.99957
5781,-4.22071,0.01448
6599,-3.40267,0.03221
19231,9.22996,0.9999
4943,-5.05875,0.00631
13766,3.76469,0.97735
3178,-6.82384,0.00109
18736,8.73494,0.99984
13211,3.20966,0.9612
19612,9.61098,0.99993
15477,5.47577,0.99583
3844,-6.15781,0.00211
12693,2.69163,0.93653
17622,7.62088,0.99951
11595,1.59358,0.83112
16995,6.99385,0.99908
8763,-1.23856,0.22469
11867,1.86559,0.86595
8334,-1.66758,0.15875
16264,6.26281,0.9981
17715,7.71389,0.99955
8560,-1.44157,0.1913
7921,-2.0806,0.111
17327,7.32587,0.99934
5431,-4.57073,0.01024
13141,3.13966,0.9585
6023,-3.9787,0.01837
4642,-5.35977,0.00468
14423,4.42172,0.98813
4031,-5.9708,0.00255
3913,-6.0888,0.00226
17556,7.55488,0.99948
6271,-3.73069,0.02341
14488,4.48672,0.98887
10821,0.81954,0.69414
11230,1.22856,0.77357
10909,0.90755,0.7125
15390,5.38877,0.99545
19072,9.07095,0.99989
11887,1.88559,0.86825
5067,-4.93475,0.00714
18724,8.72294,0.99984
15179,5.17776,0.99439
5300,-4.70174,0.009
3188,-6.81384,0.0011
17751,7.74989,0.99957
6233,-3.76869,0.02256
12606,2.60463,0.93116
655,-9.34697,9e-05
15744,5.74279,0.9968
5327,-4.67473,0.00924
9438,-0.56353,0.36273
3595,-6.40682,0.00165
7294,-2.70764,0.06252
5015,-4.98675,0.00678
1545,-8.45692,0.00021
6726,-3.27566,0.03642
13952,3.9507,0.98112
16719,6.71784,0.99879
7686,-2.31562,0.08984
5629,-4.37272,0.01246
10362,0.36052,0.58917
10264,0.26251,0.56525
17076,7.07485,0.99915
2283,-7.71889,0.00044
4438,-5.56378,0.00382
14729,4.72774,0.99123
8093,-1.9086,0.12914
1910,-8.0919,0.00031
12372,2.37062,0.91456
6236,-3.76569,0.02263
399,-9.60298,7e-05
6458,-3.54368,0.02809
3603,-6.39882,0.00166
18021,8.0199,0.99967
13909,3.9077,0.98031
9532,-0.46952,0.38473
9215,-0.78654,0.31291
19242,9.24096,0.9999
2360,-7.64188,0.00048
16529,6.52783,0.99854
2896,-7.10586,0.00082
5240,-4.76174,0.00848
3283,-6.71884,0.00121
19518,9.51698,0.99993
11894,1.89259,0.86905
2131,-7.87089,0.00038
19761,9.75999,0.99994
4785,-5.21676,0.0054
8415,-1.58658,0.16987
1116,-8.88594,0.00014
18898,8.89694,0.99986
10999,0.99755,0.73058
3524,-6.47782,0.00153
15431,5.42977,0.99564
1322,-8.67993,0.00017
16394,6.39282,0.99833
19601,9.59998,0.99993
1830,-8.17191,0.00028
14983,4.98175,0.99318
14288,4.28671,0.98644
8169,-1.83259,0.13793
2959,-7.04285,0.00087
19270,9.26896,0.99991
17260,7.25886,0.9993
9413,-0.58853,0.35697
8732,-1.26956,0.21933
10334,0.33252,0.58237
6205,-3.79669,0.02195
15190,5.18876,0.99445
6992,-3.00965,0.04699
17444,7.44287,0.99941
2583,-7.41887,0.0006
1390,-8.61193,0.00018
3648,-6.35382,0.00174
1296,-8.70594,0.00017
12482,2.48062,0.92277
13173,3.17166,0.95975
4927,-5.07475,0.00621
18059,8.0579,0.99968
4151,-5.85079,0.00287
3824,-6.17781,0.00207
13142,3.14066,0.95854
13923,3.9217,0.98058
13390,3.38867,0.96735
12373,2.37162,0.91464
9701,-0.30052,0.42543
13616,3.61468,0.97378
8092,-1.9096,0.12903
6118,-3.88369,0.02016
464,-9.53798,7e-05
4763,-5.23876,0.00528
17521,7.51988,0.99946
12433,2.43162,0.91921
5904,-4.0977,0.01634
18350,8.34892,0.99976
14159,4.15771,0.9846
723,-9.27896,9e-05
10445,0.44352,0.6091
3403,-6.59883,0.00136
13498,3.49667,0.97059
14374,4.37272,0.98754
7955,-2.0466,0.1144
7833,-2.16861,0.10261
5395,-4.60673,0.00989
9728,-0.27351,0.43204
4004,-5.9978,0.00248
9489,-0.51253,0.3746
18699,8.69793,0.99983
14140,4.13871,0.98431
18718,8.71694,0.99984
12532,2.53063,0.92626
17948,7.9469,0.99965
18250,8.24891,0.99974
15600,5.59878,0.99631
4657,-5.34477,0.00475
5132,-4.86974,0.00762
15753,5.75179,0.99683
9133,-0.86854,0.29556
14424,4.42272,0.98814
16349,6.34782,0.99825
1430,-8.57193,0.00019
2222,-7.77989,0.00042
14589,4.58773,0.98993
17178,7.17686,0.99924
11974,1.9726,0.87789
15075,5.07375,0.99378
12233,2.23161,0.90305
17663,7.66188,0.99953
4121,-5.88079,0.00278
2141,-7.86089,0.00039
8123,-1.87859,0.13255
3083,-6.91885,0.00099
15363,5.36177,0.99533
15381,5.37977,0.99541
7498,-2.50363,0.0756
2733,-7.26886,0.0007
8880,-1.12156,0.24572
10039,0.0375,0.50937
624,-9.37797,8e-05
13968,3.9667,0.98142
14686,4.68473,0.99085
11919,1.9176,0.87187
8781,-1.22056,0.22784
2468,-7.53388,0.00053
16701,6.69983,0.99877
15300,5.29876,0.99503
2528,-7.47387,0.00057
11705,1.70359,0.846
6644,-3.35767,0.03364
16214,6.21281,0.998
17743,7.74189,0.99957
9168,-0.83354,0.3029
13848,3.84669,0.9791
18680,8.67893,0.99983
6927,-3.07465,0.04416
14849,4.84774,0.99222
3025,-6.97685,0.00093
2714,-7.28786,0.00068
18172,8.17091,0.99972
7259,-2.74264,0.0605
4361,-5.64078,0.00354
4771,-5.23076,0.00532
13182,3.18066,0.9601
6358,-3.64368,0.02549
3769,-6.23281,0.00196
18774,8.77294,0.99985
6473,-3.52868,0.02851
15856,5.85479,0.99714
15607,5.60578,0.99634
18324,8.32292,0.99976
5025,-4.97675,0.00685
19465,9.46397,0.99992
13813,3.81169,0.97837
6793,-3.20866,0.03884
12167,2.16561,0.89712
2039,-7.9629,0.00035
4862,-5.13976,0.00582
13984,3.9827,0.98171
5966,-4.0357,0.01737
18764,8.76294,0.99984
12995,2.99365,0.95229
1700,-8.30192,0.00025
1698,-8.30392,0.00025
9699,-0.30252,0.42494
5284,-4.71774,0.00886
19848,9.84699,0.99995
1747,-8.25491,0.00026
19344,9.34297,0.99991
2337,-7.66488,0.00047
19913,9.912,0.99995
1688,-8.31392,0.00025
9077,-0.92455,0.28403
6578,-3.42367,0.03156
6993,-3.00865,0.04704
386,-9.61598,7e-05
11030,1.02855,0.73663
4478,-5.52378,0.00397
1368,-8.63393,0.00018
16447,6.44582,0.99842
12774,2.77264,0.94118
685,-9.31697,9e-05
8687,-1.31457,0.21172
14797,4.79574,0.9918
9979,-0.0225,0.49437
4116,-5.88579,0.00277
12910,2.90865,0.94827
10127,0.12551,0.53134
11320,1.31857,0.78894
5718,-4.28371,0.0136
547,-9.45497,8e-05
19802,9.80099,0.99994
8555,-1.44657,0.19053
772,-9.22996,0.0001
15508,5.50678,0.99596
11105,1.10356,0.75093
4844,-5.15776,0.00572
9821,-0.18051,0.45499
14332,4.33072,0.98701
904,-9.09795,0.00011
18917,8.91595,0.99987
4157,-5.84479,0.00289
6546,-3.45567,0.0306
19813,9.81199,0.99995
9371,-0.63053,0.34739
19600,9.59898,0.99993
19867,9.86599,0.99995
18352,8.35092,0.99976
7764,-2.23761,0.09642
15652,5.65078,0.9965
17848,7.84689,0.99961
19983,9.982,0.99995
13637,3.63568,0.97431
12797,2.79564,0.94244
5311,-4.69073,0.0091
350,-9.65198,6e-05
15593,5.59178,0.99629
327,-9.67498,6e-05
6266,-3.73569,0.0233
18795,8.79394,0.99985
2934,-7.06785,0.00085
16071,6.0698,0.99769
13343,3.34167,0.96583
18975,8.97395,0.99987
3237,-6.76484,0.00115
3654,-6.34782,0.00175
2047,-7.9549,0.00035
15768,5.76679,0.99688
7604,-2.39762,0.08335
684,-9.31797,9e-05
16229,6.22781,0.99803
