,source_text,target_text
2606,145d0000000b0010000000020492a3402e:145d00000006001000000002|145e00000006000400000002:,145e000000070004044acf3f70
1096,08910000000b00100000000204b50bc094:089100000006001000000002|089200000006000400000002:,0892000000070004049eb53c1b
2389,12ab0000000b001000000002047dbf3fd5:12ab00000006001000000002|12ac00000006000400000002:,12ac000000070004045f273f57
2249,11930000000b00100000000204edfa3f7b:119300000006001000000002|119400000006000400000002:,11940000000700040459083f3a
1342,0a7d0000000b001000000002048659c05c:0a7d00000006001000000002|0a7e00000006000400000002:,0a7e000000070004041c753cfd
2470,134d0000000b0010000000020410624004:134d00000006001000000002|134e00000006000400000002:,134e0000000700040426653f63
1632,0cc10000000b00100000000204e00dc001:0cc100000006001000000002|0cc200000006000400000002:,0cc200000007000404e5b33ded
3584,1c010000000b00100000000204233a40f0:1c0100000006001000000002|1c0200000006000400000002:,1c0200000007000404dbed3f7f
633,04f30000000b00100000000204119dc0dd:04f300000006001000000002|04f400000006000400000002:,04f400000007000404db543a82
3739,1d370000000b001000000002042e494104:1d3700000006001000000002|1d3800000006000400000002:,1d3800000007000404ef133f7f
3203,19070000000b00100000000204978d40b4:190700000006001000000002|190800000006000400000002:,19080000000700040418cc3f7f
1144,08f10000000b0010000000020434d7c08d:08f100000006001000000002|08f200000006000400000002:,08f2000000070004043c0e3c44
898,07050000000b00100000000204a787c0b3:070500000006001000000002|070600000006000400000002:,0706000000070004040eee3b6e
14,001d0000000b00100000000204e7d5c11e:001d00000006001000000002|001e00000006000400000002:,001e00000007000404e451384b
3017,17930000000b00100000000204851f4097:179300000006001000000002|179400000006000400000002:,179400000007000404c5713f7d
3468,1b190000000b0010000000020401a340de:1b1900000006001000000002|1b1a00000006000400000002:,1b1a00000007000404c0763f7f
1282,0a050000000b0010000000020446dcc06f:0a0500000006001000000002|0a0600000006000400000002:,0a060000000700040451ec3cbe
3684,1cc90000000b00100000000204c43340ff:1cc900000006001000000002|1cca00000006000400000002:,1cca00000007000404e9dc3f7f
3554,1bc50000000b00100000000204731940eb:1bc500000006001000000002|1bc600000006000400000002:,1bc600000007000404d63d3f7f
4015,1f5f0000000b00100000000204bfb14119:1f5f00000006001000000002|1f6000000006000400000002:,1f6000000007000404fb9a3f7f
3668,1ca90000000b00100000000204439640fd:1ca900000006001000000002|1caa00000006000400000002:,1caa00000007000404e8103f7f
720,05a10000000b0010000000020478d5c0cf:05a100000006001000000002|05a200000006000400000002:,05a20000000700040408103ac8
3096,18310000000b00100000000204de6a40a3:183100000006001000000002|183200000006000400000002:,1832000000070004047b093f7e
1533,0bfb0000000b00100000000204d1b7c020:0bfb00000006001000000002|0bfc00000006000400000002:,0bfc0000000700040487a03d99
3130,18750000000b001000000002042e4940a9:187500000006001000000002|187600000006000400000002:,187600000007000404b6393f7e
3716,1d090000000b00100000000204624e4102:1d0900000006001000000002|1d0a00000006000400000002:,1d0a00000007000404ed0f3f7f
4086,1fed0000000b001000000002044bc7411f:1fed00000006001000000002|1fee00000006000400000002:,1fee00000007000404fce43f7f
2336,12410000000b001000000002045a1d3fb4:124100000006001000000002|124200000006000400000002:,124200000007000404b9443f4d
1370,0ab50000000b00100000000204c505c053:0ab500000006001000000002|0ab600000006000400000002:,0ab60000000700040474423d10
3970,1f050000000b001000000002043b644116:1f0500000006001000000002|1f0600000006000400000002:,1f0600000007000404fa863f7f
2709,152b0000000b00100000000204c56d404e:152b00000006001000000002|152c00000006000400000002:,152c0000000700040444203f76
1626,0cb50000000b00100000000204c01ac003:0cb500000006001000000002|0cb600000006000400000002:,0cb600000007000404ce353de7
6,000d0000000b0010000000020487fdc11f:000d00000006001000000002|000e00000006000400000002:,000e0000000700040412e33844
