,source_text,target_text
691,02b500000006000300000001:02b500000005000302001f|02b600000006000400000004:,02b60000000b0004080000000000000000
1181,049f00000006000400000004:049f0000000b000408f974fd306a85c09d|04a000000006000500000000:,04a000000006000500000000
658,029400000006000100000001:02940000000400010101|02950000000a005951b2a0f4cbd5b778:,02950000000300d901
311,013800000006000500000000:013800000006000500000000|013900000006000100000001:,01390000000400010100
100,006500000006000300000001:006500000005000302000d|006600000006000100000001:,00660000000400010100
190,00bf0000000600060000001b:00bf0000000600060000001b|00c0000000060001000c0001:,00c000000003008102
1011,03f500000006000300000001:03f500000005000302002c|03f600000006000500000000:,03f600000006000500000000
779,030d0000001200e80e682685c8c0cdd17349c7bdaa6b69b0:030d00000003006801|030e00000006000300000001:,030e00000005000302000a
487,01e900000006000100000001:01e90000000400010100|01ea00000006000400000004:,01ea0000000b0004080000000000000000
895,038100000006000300300001:038100000003008302|038200000006000600000026:,038200000006000600000026
179,00b400000006000100200001:00b400000003008102|00b500000006000500000000:,00b500000006000500000000
206,00cf00000006000100000001:00cf0000000400010100|00d00000000600060000002f:,00d00000000600060000002f
806,032800000006000600000019:032800000006000600000019|0329000000060004002b0001:,032900000003008402
953,03bb00000006000300000001:03bb00000005000302000b|03bc00000006000100000001:,03bc0000000400010101
930,03a40000001200ef751213a9f675ec614815d9e95000c41f:03a400000003006f01|03a500000006000600000020:,03a500000006000600000020
75,004c00000006000300000001:004c00000005000302000f|004d00000012002d73c237bbdae3fdf210238790bb09f6a5:,004d0000000300ad01
868,03660000000600050000ff00:03660000000600050000ff00|03670000000a00d0762a81ed5f686183:,036700000003005001
1093,044700000006000400000004:04470000000b00040823062050c786c0b3|04480000000600050001ff00:,044800000003008502
111,007000000006000400000004:00700000000b0004080000000000000000|007100000006000100000001:,00710000000400010100
1085,043f00000006000400000004:043f0000000b0004080000000000000000|044000000012002813e5c756aa7bef9a735d11c4f649a2b0:,04400000000300a801
894,038000000006000300000001:0380000000050003020013|038100000006000300300001:,038100000003008302
1175,049900000006000300000001:0499000000050003020009|049a0000000a0078db504c93dea44bbf:,049a0000000300f801
1059,04250000000600060000000f:04250000000600060000000f|042600000006000100000001:,04260000000400010100
508,01fe0000000600050000ff00:01fe0000000600050000ff00|01ff00000006000400000004:,01ff0000000b00040819fc8b387fa5c0ae
910,039000000006000400000004:03900000000b0004080000000000000000|039100000006000600000022:,039100000006000600000022
51,003400000006000300000001:0034000000050003020024|003500000006000400000004:,00350000000b00040819fc8b387fa5c0ae
539,021d00000006000500250000:021d00000003008502|021e00000006000400000004:,021e0000000b0004080000000000000000
159,00a000000006000100000001:00a00000000400010100|00a100000006000300000001:,00a1000000050003020007
747,02ed00000006000500000000:02ed00000006000500000000|02ee00000006000400000004:,02ee0000000b0004080000000000000000
470,01d80000001a000db4a1568e70214e223fa1666f359bd5edd737036d94d9739e:01d800000003008d01|01d90000000600050000ff00:,01d90000000600050000ff00
461,01cf00000006000600000018:01cf00000006000600000018|01d000000006000400000004:,01d00000000b0004080000000000000000
1146,047c00000006000100000001:047c0000000400010100|047d00000006000400230001:,047d00000003008402
781,030f00000006000100000001:030f0000000400010101|03100000000600060007000e:,031000000003008602
889,037b00000006000100000001:037b0000000400010100|037c00000006000600000013:,037c00000006000600000013
1072,04320000000600060000002f:04320000000600060000002f|043300000006000300000001:,043300000005000302002f
915,039500000006000300000001:0395000000050003020022|03960000000600060000001a:,03960000000600060000001a
836,03460000001a00ccda71a7c7973661dd4b779331abe3cdb65ee633cbc1f98a22:034600000003004c01|03470000000600060000002d:,03470000000600060000002d
225,00e200000006000100000001:00e20000000400010100|00e30000000a0075dcdab1a0877d21fc:,00e30000000300f501
429,01af00000006000100000001:01af0000000400010100|01b000000006000400000004:,01b00000000b0004080000000000000000
803,03250000001a009de46a5db7028b1c9b23308f098dfb0b1ff8056f9de2c9b75f:032500000003001d01|032600000006000100000001:,03260000000400010101
882,037400000006000600000021:037400000006000600000021|037500000006000100000001:,03750000000400010101
49,003200000006000300080001:003200000003008302|00330000000600050000ff00:,00330000000600050000ff00
1081,043b00000006000100000001:043b0000000400010100|043c0000000a007b71c1ad92684861ef:,043c0000000300fb01
1087,04410000000600050000ff00:04410000000600050000ff00|044200000006000600000019:,044200000006000600000019
389,018700000012003dfeaf43b7354c3931fbe1f967dad7f8f4:01870000000300bd01|018800000006000300000001:,018800000005000302000a
419,01a500000006000100000001:01a50000000400010100|01a600000006000400000004:,01a60000000b0004080000000000000000
375,017800000006000400000004:01780000000b0004084bc4ef157324c082|017a00000006000400300001:,017a00000003008402
724,02d600000006000600000020:02d600000006000600000020|02d700000006000400000004:,02d70000000b0004080000000000000000
966,03c800000006000100000001:03c80000000400010100|03c900000006000300000001:,03c900000005000302001f
713,02cb00000006000300090001:02cb00000003008302|02cc00000006000500000000:,02cc00000006000500000000
1105,04530000000600060000000b:04530000000600060000000b|045400000006000400000004:,04540000000b0004080000000000000000
340,01550000000600050000ff00:01550000000600050000ff00|015600000006000400000004:,01560000000b00040819fc8b387fa5c08e
66,004300000012003c4301c5577e5b8e1eaf650913567790c7:00430000000300bc01|004400000006000300000001:,0044000000050003020004
587,024d000000120046683787221c5f86f8988b35d8270a4b28:024d0000000300c601|024e0000000600050000ff00:,024e0000000600050000ff00
668,029e0000001200dcf14b2dcfdf38633b2608211f5719488f:029e00000003005c01|029f00000006000300000001:,029f00000005000302002f
686,02b0000000060004000c0001:02b000000003008402|02b100000006000100000001:,02b10000000400010100
365,016e00000006000300000001:016e000000050003020027|016f0000001200f2d1a6d7a657f4509c44aacef74ff228e7:,016f00000003007201
525,020f00000006000600000015:020f00000006000600000015|021000000006000400000004:,02100000000b0004080000000000000000
254,00ff0000000600050000ff00:00ff0000000600050000ff00|010000000006000400000004:,01000000000b0004082bba4077ca89c0a3
958,03c00000000a00e373996ee13b27ee3a:03c000000003006301|03c100000006000100000001:,03c10000000400010100
1153,04830000001a00c96cc59dfe125664b72e002cf85d6cba88d9f8a24c231eb090:048300000003004901|048400000006000100000001:,04840000000400010100
932,03a600000006000400000004:03a60000000b0004089c6e38451901c0a8|03a700000006000100000001:,03a70000000400010101
475,01dd00000006000300000001:01dd000000050003020011|01de00000006000100000001:,01de0000000400010101
743,02e900000006000600000029:02e900000006000600000029|02ea00000006000300090001:,02ea00000003008302
934,03a800000006000300000001:03a8000000050003020020|03a90000000600050000ff00:,03a90000000600050000ff00
875,036d0000000600050000ff00:036d0000000600050000ff00|036e00000006000100000001:,036e0000000400010101
196,00c5000000060003000d0001:00c500000003008302|00c600000006000300000001:,00c600000005000302001b
1170,049400000006000600000009:049400000006000600000009|049500000006000300000001:,0495000000050003020009
468,01d600000006000100000001:01d60000000400010101|01d700000006000400000004:,01d70000000b0004084ffd5f4e1c21c09b
931,03a500000006000600000020:03a500000006000600000020|03a600000006000400000004:,03a60000000b0004089c6e38451901c0a8
829,033f00000006000600000022:033f00000006000600000022|03400000000600060008002f:,034000000003008602
687,02b100000006000100000001:02b10000000400010100|02b200000006000400000004:,02b20000000b0004080000000000000000
933,03a700000006000100000001:03a70000000400010101|03a800000006000300000001:,03a8000000050003020020
995,03e500000006000600000031:03e500000006000600000031|03e600000006000300000001:,03e6000000050003020031
518,020800000006000300000001:020800000005000302000c|020900000006000100000001:,02090000000400010100
50,00330000000600050000ff00:00330000000600050000ff00|003400000006000300000001:,0034000000050003020024
110,006f0000001a00f4fbd9c90a563e09c2fc378d95920ac69c1b11059e762b4e4f:006f00000003007401|007000000006000400000004:,00700000000b0004080000000000000000
26,001b000000060004000b0001:001b00000003008402|001c00000006000600000021:,001c00000006000600000021
173,00ae00000006000100000001:00ae0000000400010100|00af0000000600050000ff00:,00af0000000600050000ff00
350,015f00000006000300000001:015f000000050003020023|01600000000600060008000c:,016000000003008602
593,025300000006000600000021:025300000006000600000021|025400000006000500000000:,025400000006000500000000
271,01100000001a00c902e5eb566ba8a6a7e1b54d538e0a4e0693932b556eeba15a:011000000003004901|011100000006000400000004:,01110000000b000408cde02731c7a3c0b6
1069,042f00000006000300000001:042f000000050003020017|043000000006000400250001:,043000000003008402
598,02580000001a00c0716d31c753be459701eba286820430a8561c3158f34f1cee:025800000003004001|025900000006000100000001:,02590000000400010100
130,008300000006000600000030:008300000006000600000030|008400000006000400000004:,00840000000b0004084ffd5f4e1c21c0bb
347,015c00000006000600000023:015c00000006000600000023|015d00000006000400000004:,015d0000000b0004084663b591d3e9c0ac
449,01c30000001a001b2887781d37b9610f6609e886098e617716e1f3e72e2019fa:01c300000003009b01|01c400000006000300000001:,01c4000000050003020030
1140,047600000006000300000001:047600000005000302002e|04770000001a0022a540fa88b2e036c30e16ac8ccde097ce1d5b3f1092996099:,04770000000300a201
209,00d200000006000400000004:00d20000000b0004080000000000000000|00d300000006000300000001:,00d300000005000302002f
63,004000000006000400000004:00400000000b0004080000000000000000|00410000000600050000ff00:,00410000000600050000ff00
1156,048600000006000100110001:048600000003008102|048700000006000500000000:,048700000006000500000000
182,00b700000006000400000004:00b70000000b0004080000000000000000|00b80000001a00d975ef8636e31282db5a523911afdb295a28c90a0673e29af9:,00b800000003005901
557,022f00000006000100000001:022f0000000400010101|023000000006000300000001:,0230000000050003020027
848,035200000006000300000001:0352000000050003020021|035300000006000500000000:,035300000006000500000000
746,02ec00000006000400000004:02ec0000000b00040823062050c786c0b3|02ed00000006000500000000:,02ed00000006000500000000
705,02c300000006000600000027:02c300000006000600000027|02c40000001a00e41470918df3d480daf281480e12c608fc85498b0e5308dd73:,02c400000003006401
810,032c00000006000300000001:032c000000050003020019|032d00000012008ffc88eaec52eb5a6987d8c3d9e6300d31:,032d00000003000f01
33,002200000006000400000004:00220000000b0004089c6e38451901c048|002300000006000100200001:,002300000003008102
1108,04560000001200e2c92df2c8e6934f2c1714ebba2d8e6589:045600000003006201|045700000006000600020030:,045700000003008602
227,00e400000006000300300001:00e400000003008302|00e500000006000400000004:,00e50000000b0004080000000000000000
528,021200000006000400270001:021200000003008402|021300000006000100000001:,02130000000400010101
416,01a200000006000300000001:01a2000000050003020025|01a3000000120053a761f0c2bf74fd99384413fa1d458f66:,01a30000000300d301
41,002a00000006000100000001:002a0000000400010101|002b00000006000600000024:,002b00000006000600000024
1020,03fe00000006000100000001:03fe0000000400010101|03ff000000060003002a0001:,03ff00000003008302
617,026b0000000a00d3401885a75d4f73af:026b00000003005301|026c00000006000100000001:,026c0000000400010100
925,039f00000006000600160031:039f00000003008602|03a00000001a003c0d3e580c30fd8d1a5d5decc42ee974f20ab6bbfea6649aaa:,03a00000000300bc01
355,01640000000600050000ff00:01640000000600050000ff00|016500000006000400000004:,01650000000b0004089c6e38451901c088
259,010400000006000300150001:010400000003008302|010500000006000400000004:,01050000000b000408f53d8cf7c189c0b4
124,007d00000006000100000001:007d0000000400010100|007e0000000a0042e260f16230abe940:,007e0000000300c201
857,035b00000006000400000004:035b0000000b0004080000000000000000|035c00000006000300000001:,035c000000050003020007
789,031700000006000100000001:03170000000400010101|03180000000600060000001d:,03180000000600060000001d
648,028a00000006000300000001:028a000000050003020026|028b000000060004000d0001:,028b00000003008402
943,03b100000006000400000004:03b10000000b0004080000000000000000|03b200000006000100000001:,03b20000000400010100
558,023000000006000300000001:0230000000050003020027|023100000006000500000000:,023100000006000500000000
32,00210000000600050000ff00:00210000000600050000ff00|002200000006000400000004:,00220000000b0004089c6e38451901c048
503,01f900000006000300160001:01f900000003008302|01fa00000006000100000001:,01fa0000000400010100
1082,043c0000000a007b71c1ad92684861ef:043c0000000300fb01|043d0000000600060000001e:,043d0000000600060000001e
210,00d300000006000300000001:00d300000005000302002f|00d40000000600060000000d:,00d40000000600060000000d
798,032000000006000400000004:03200000000b0004082bba4077ca89c0a3|0321000000060005001eff00:,032100000003008502
304,01310000001a00a568b94b80154acad38f5ca4fd0c1b7c8715b4cd5a32c4b600:013100000003002501|01320000000600060000002d:,01320000000600060000002d
700,02be00000006000400000004:02be0000000b000408d44c54c3d3b9c0b7|02bf0000000600050000ff00:,02bf0000000600050000ff00
900,03860000001a0044a3c04e62218786ec5aeaeb704d2dd4584286330bb7ddfc49:03860000000300c401|038700000006000300000001:,0387000000050003020026
14,000f00000006000400000004:000f0000000b0004084ffd5f4e1c21c07b|001000000006000100000001:,00100000000400010101
1126,046800000006000100000001:04680000000400010100|0469000000060005000c0000:,046900000003008502
633,027b00000006000600000023:027b00000006000600000023|027c00000006000400000004:,027c0000000b0004080000000000000000
339,01540000001a00f31dd7bb163c9d2854113359ab02bed914d1dc2020409ef90e:015400000003007301|01550000000600050000ff00:,01550000000600050000ff00
567,02390000001200ae06b0a0e90de7153c6ac1e1bfa9669de2:023900000003002e01|023a00000006000100000001:,023a0000000400010100
627,02750000000a0057af00356618c1b7bc:02750000000300d701|027600000006000300000001:,027600000005000302001e
328,014900000006000400000004:01490000000b0004080000000000000000|014a00000006000300000001:,014a000000050003020027
965,03c70000000600050026ff00:03c700000003008502|03c800000006000100000001:,03c80000000400010100
278,011700000006000400000004:01170000000b000408cde02731c7a3c0b6|011800000006000600000022:,011800000006000600000022
937,03ab00000006000100000001:03ab0000000400010101|03ac00000006000500000000:,03ac00000006000500000000
466,01d400000006000100000001:01d40000000400010100|01d50000000600050000ff00:,01d50000000600050000ff00
153,009a00000006000400000004:009a0000000b0004086236f3f6d388c072|009b00000006000600000007:,009b00000006000600000007
178,00b300000006000300000001:00b3000000050003020012|00b400000006000100200001:,00b400000003008102
399,01910000000a000d09d7d2a2f4ba56fb:019100000003008d01|019200000006000100000001:,01920000000400010101
545,0223000000060001001c0001:022300000003008102|022400000006000600000014:,022400000006000600000014
860,035e00000006000300000001:035e000000050003020007|035f00000006000600000001:,035f00000006000600000001
936,03aa000000060001000c0001:03aa00000003008102|03ab00000006000100000001:,03ab0000000400010101
632,027a00000006000400240001:027a00000003008402|027b00000006000600000023:,027b00000006000600000023
1035,040d00000006000300000001:040d00000005000302002f|040e00000006000400000004:,040e0000000b0004080000000000000000
1137,047300000006000400000004:04730000000b0004080000000000000000|047400000006000500000000:,047400000006000500000000
1104,045200000006000100000001:04520000000400010100|04530000000600060000000b:,04530000000600060000000b
813,032f00000006000500000000:032f00000006000500000000|033000000006000400000004:,03300000000b0004080000000000000000
406,019800000006000400000004:01980000000b0004080000000000000000|019900000006000100000001:,01990000000400010100
424,01aa00000006000300000001:01aa000000050003020012|01ab0000000a0019890e6d4ddbdd5168:,01ab00000003009901
412,019e00000006000100000001:019e0000000400010101|019f00000006000300080001:,019f00000003008302
584,024a00000006000600000019:024a00000006000600000019|024b0000000600050000ff00:,024b0000000600050000ff00
502,01f800000006000600000015:01f800000006000600000015|01f900000006000300160001:,01f900000003008302
307,0134000000060004000a0001:013400000003008402|013500000006000300000001:,013500000005000302002d
57,003a00000006000100000001:003a0000000400010101|003b0000000600060000000a:,003b0000000600060000000a
744,02ea00000006000300090001:02ea00000003008302|02eb00000006000100000001:,02eb0000000400010101
1042,041400000006000300000001:0414000000050003020023|041500000006000400000004:,04150000000b0004080000000000000000
733,02df00000006000400000004:02df0000000b0004080000000000000000|02e00000000600050000ff00:,02e00000000600050000ff00
749,02ef0000001a00e638f2900a61ad17f6d11744352d029ffcd73a0eb4db0a526d:02ef00000003006601|02f00000000600050000ff00:,02f00000000600050000ff00
3,000400000006000300000001:0004000000050003020000|00050000000600060000002a:,00050000000600060000002a
548,02260000000600050000ff00:02260000000600050000ff00|022700000006000300000001:,0227000000050003020014
612,026600000006000100000001:02660000000400010100|026700000006000300000001:,026700000005000302001a
5,000600000006000100000001:00060000000400010101|00070000001200f2b591ea06be5669daec3a12416601f8f8:,000700000003007201
839,034900000006000300000001:034900000005000302002d|034a00000006000400000004:,034a0000000b0004080000000000000000
582,024800000006000300000001:024800000005000302001c|024900000006000400000004:,02490000000b0004084bc4ef157324c0a2
175,00b00000001200773da0d9fce2a9fc8667fc28c58ff02198:00b00000000300f701|00b100000006000400000004:,00b10000000b00040819fc8b387fa5c08e
499,01f500000006000100000001:01f50000000400010100|01f60000001a00d4ba18f1e6c3b548cae2b82a7364b2bed45e96ad69cd372c57:,01f600000003005401
645,028700000006000400000004:02870000000b0004084ffd5f4e1c21c05b|028800000006000100000001:,02880000000400010101
54,00370000001a00a3027157190bfe8f479dc6ae56e8cd8c67742c12a6b6e674ae:003700000003002301|003800000006000600000008:,003800000006000600000008
425,01ab0000000a0019890e6d4ddbdd5168:01ab00000003009901|01ac00000006000500000000:,01ac00000006000500000000
286,011f00000006000100000001:011f0000000400010100|012000000006000600000000:,012000000006000600000000
956,03be00000006000500000000:03be00000006000500000000|03bf0000000a008185f413baa591c62e:,03bf00000003000101
381,017f00000006000300000001:017f00000005000302000e|01800000000600050000ff00:,01800000000600050000ff00
905,038b00000006000300000001:038b00000005000302001d|038c00000006000100190001:,038c00000003008102
797,031f0000000600050000ff00:031f0000000600050000ff00|032000000006000400000004:,03200000000b0004082bba4077ca89c0a3
777,030b0000000600050000ff00:030b0000000600050000ff00|030c0000000600060000000a:,030c0000000600060000000a
636,027e00000006000300000001:027e000000050003020023|027f00000006000100000001:,027f0000000400010100
692,02b600000006000400000004:02b60000000b0004080000000000000000|02b70000000600050000ff00:,02b70000000600050000ff00
662,029800000006000400000004:02980000000b000408e88a9c4bd103c09f|029900000006000300120001:,029900000003008302
506,01fc00000006000600000024:01fc00000006000600000024|01fd0000001200bb22add211cd5cdecf2bd43ad7c6cff86d:,01fd00000003003b01
1189,04a700000006000500000000:04a700000006000500000000|04a800000006000300000001:,04a800000005000302001b
1052,041e00000006000100000001:041e0000000400010100|041f0000001a004024fc1d2f4941f18a8d13290be2f3e6c81d45850d9e9e1b7b:,041f0000000300c001
814,033000000006000400000004:03300000000b0004080000000000000000|033100000006000600130013:,033100000003008602
542,02200000000600050000ff00:02200000000600050000ff00|022100000006000300000001:,0221000000050003020030
732,02de00000006000500000000:02de00000006000500000000|02df00000006000400000004:,02df0000000b0004080000000000000000
398,01900000000600050030ff00:019000000003008502|01910000000a000d09d7d2a2f4ba56fb:,019100000003008d01
796,031e00000006000100000001:031e0000000400010101|031f0000000600050000ff00:,031f0000000600050000ff00
139,008c00000006000600000025:008c00000006000600000025|008d00000006000300000001:,008d000000050003020025
155,009c00000006000400000004:009c0000000b0004084bc4ef157324c062|009d0000000a007e77867be0cfb7d6db:,009d0000000300fe01
59,003c00000006000300130001:003c00000003008302|003d00000006000500000000:,003d00000006000500000000
371,017400000006000100000001:01740000000400010100|01750000000600060000000e:,01750000000600060000000e
718,02d000000006000100000001:02d00000000400010100|02d100000006000600000025:,02d100000006000600000025
780,030e00000006000300000001:030e00000005000302000a|030f00000006000100000001:,030f0000000400010101
473,01db00000006000300000001:01db000000050003020011|01dc00000006000100270001:,01dc00000003008102
402,019400000006000400000004:01940000000b0004080000000000000000|01950000000600060000002f:,01950000000600060000002f
914,039400000006000100000001:03940000000400010100|039500000006000300000001:,0395000000050003020022
566,023800000006000400000004:02380000000b0004080000000000000000|02390000001200ae06b0a0e90de7153c6ac1e1bfa9669de2:,023900000003002e01
1176,049a0000000a0078db504c93dea44bbf:049a0000000300f801|049b00000006000100000001:,049b0000000400010100
960,03c200000006000500000000:03c200000006000500000000|03c30000000600060000001f:,03c30000000600060000001f
267,010c00000006000300000001:010c000000050003020009|010d0000000600050000ff00:,010d0000000600050000ff00
1039,041100000006000500000000:041100000006000500000000|04120000001a00652571b17a395e1dcad6a7619324f3a212ac6426c35c898b7e:,04120000000300e501
701,02bf0000000600050000ff00:02bf0000000600050000ff00|02c000000006000300000001:,02c000000005000302002d
922,039c00000006000400000004:039c0000000b000408e88a9c4bd103c09f|039d00000006000100000001:,039d0000000400010101
