,source_text,target_text
1579,062c00000006000400000004:062c0000000b0004083b357c69894cc1eb|062d00000006000600008f8b:,062d00000006000600008f8b
1936,07910000000600060000a374:07910000000600060000a374|079200000006000400000004:,07920000000b00040862427fcfa5cfc1f3
3179,0c6c00000006000400000004:0c6c0000000b000408187d36d1bc40c1af|0c6d00000006000600001db7:,0c6d00000006000600001db7
1657,067a00000006000400000004:067a0000000b000408fdbeedb37ceac1a9|067b00000006000600005dc8:,067b00000006000600005dc8
1612,064d00000006000600004833:064d00000006000600004833|064e00000006000400000004:,064e0000000b000408d517adc8aae9c1ce
1929,078a00000006000400000004:078a0000000b000408c3b406cef51ec140|078b000000060006000087a3:,078b000000060006000087a3
835,034400000006000400000004:03440000000b0004082a575fac320ec1ba|03450000000600060000116d:,03450000000600060000116d
2389,095600000006000400000004:09560000000b00040843c21e08fc12c18b|0957000000060006000007f9:,0957000000060006000007f9
213,00d600000006000400000004:00d60000000b000408394063dd08f0c195|00d700000006000600007151:,00d700000006000600007151
1623,065800000006000400000004:06580000000b000408d7b82283cb82c1df|06590000000600060000b079:,06590000000600060000b079
915,039400000006000400000004:03940000000b0004086128d105abfdc200|03950000000600060000114a:,03950000000600060000114a
229,00e600000006000400000004:00e60000000b000408b36a9d8d4782c203|00e70000000600060000e2fa:,00e70000000600060000e2fa
3068,0bfd00000006000600005bbd:0bfd00000006000600005bbd|0bfe00000006000400000004:,0bfe0000000b000408b07c5601c19fc1d8
1364,05550000000600060000a732:05550000000600060000a732|055600000006000400000004:,05560000000b000408349bf0c68ec1c1f4
470,01d70000000600060000bc4c:01d70000000600060000bc4c|01d800000006000400000004:,01d80000000b000408bf1a7e8a1300c1fa
2210,08a30000000600060000aad7:08a30000000600060000aad7|08a400000006000400000004:,08a40000000b000408cfeea1ef76b1c1f5
1362,055300000006000600005e8a:055300000006000600005e8a|055400000006000400000004:,05540000000b00040801c1a6904a81c1da
2386,09530000000600060000a203:09530000000600060000a203|095400000006000400000004:,09540000000b00040885d8c1ac4d7dc1f3
