,source_text,target_text
2935,150.81|0b7800000006000300030001:,0b78000000050003027fff
1894,97.34|076700000006000300030001:,0767000000050003027fff
2262,116.25|08d700000006000300030001:,08d7000000050003027fff
479,24.62|01e000000006000300030001:,01e0000000050003027fff
2092,107.51|082d00000006000300030001:,082d000000050003027fff
2987,153.48|0bac00000006000300030001:,0bac000000050003027fff
1614,82.95|064f00000006000300030001:,064f000000050003027fff
2193,112.69|089200000006000300030001:,0892000000050003027fff
1818,93.44|071b00000006000300030001:,071b000000050003027fff
1146,58.92|047b00000006000300030001:,047b000000050003027fff
2357,121.12|093600000006000300030001:,0936000000050003027fff
1973,101.40|07b600000006000300030001:,07b6000000050003027fff
285,14.64|011e00000006000300030001:,011e000000050003027fff
253,13.00|00fe00000006000300030001:,00fe000000050003027fff
2566,131.86|0a0700000006000300030001:,0a07000000050003027fff
3172,162.97|0c6500000006000300030001:,0c65000000050003027fff
1352,69.50|054900000006000300030001:,0549000000050003027fff
1451,74.58|05ac00000006000300030001:,05ac000000050003027fff
2363,121.43|093c00000006000300030001:,093c000000050003027fff
2686,138.03|0a7f00000006000300030001:,0a7f000000050003027fff
559,28.73|023000000006000300030001:,0230000000050003027fff
641,32.95|028200000006000300030001:,0282000000050003027fff
740,38.03|02e500000006000300030001:,02e5000000050003027fff
1154,59.33|048300000006000300030001:,0483000000050003027fff
1439,73.96|05a000000006000300030001:,05a0000000050003027fff
43,2.21|002c00000006000300030001:,002c000000050003027fff
38,1.95|002700000006000300030001:,0027000000050003027fff
2322,119.33|091300000006000300030001:,0913000000050003027fff
2001,102.83|07d200000006000300030001:,07d2000000050003027fff
2661,136.75|0a6600000006000300030001:,0a66000000050003027fff
2247,115.47|08c800000006000300030001:,08c8000000050003027fff
1289,66.27|050a00000006000300030001:,050a000000050003027fff
2276,116.97|08e500000006000300030001:,08e5000000050003027fff
2192,112.64|089100000006000300030001:,0891000000050003027fff
1699,87.31|06a400000006000300030001:,06a4000000050003027fff
3116,160.09|0c2d00000006000300030001:,0c2d000000050003027fff
2291,117.74|08f400000006000300030001:,08f4000000050003027fff
1817,93.39|071a00000006000300030001:,071a000000050003027fff
1455,74.79|05b000000006000300030001:,05b0000000050003027fff
806,41.43|032700000006000300030001:,0327000000050003027fff
2814,144.59|0aff00000006000300030001:,0aff000000050003027fff
286,14.70|011f00000006000300030001:,011f000000050003027fff
218,11.20|00db00000006000300030001:,00db000000050003027fff
1175,60.41|049800000006000300030001:,0498000000050003027fff
2577,132.43|0a1200000006000300030001:,0a12000000050003027fff
203,10.43|00cc00000006000300030001:,00cc000000050003027fff
1861,95.65|074600000006000300030001:,0746000000050003027fff
