,source_text,target_text
307,03c700000006000300010003,03c700000003008302
469,046900000006000100000001,04690000000400010101
514,04960000000f001000010004080000000000040000,049600000003009002
102,02fa0000000d00100000000306000400080004,02fa00000003009002
498,048600000008000f000000010100,048600000006000f00000001
52,02c80000000d00100000000306000800000000,02c800000003009002
226,03760000000d00100000000306000000080008,037600000003009002
127,031300000006000100010001,03130000000400010101
348,03f000000006000300010002,03f000000003008302
673,053500000006000300010003,053500000003008302
95,02f300000006000300010003,02f300000003008302
731,056f0000000f001000010004080003000000030008,056f00000003009002
274,03a600000006000300000002,03a60000000700030400040001
251,038f00000006000300010001,038f000000050003020001
375,040b0000000f001000010004080008000200000008,040b00000003009002
747,057f00000006000300010002,057f00000003008302
394,041e0000000f001000010004080002000200020008,041e00000003009002
318,03d200000006000300010002,03d200000003008302
697,054d00000006000300010002,054d00000003008302
552,04bc00000006000300000003,04bc00000003008302
678,053a0000000f001000010004080002000000020000,053a00000003009002
260,03980000000600050001ff00,03980000000600050001ff00
232,037c0000000f001000010004080006000600000006,037c00000003009002
67,02d70000000f001000010004080008000400000004,02d700000003009002
346,03ee0000000f001000010004080000000000080008,03ee00000003009002
43,02bf0000000f001000010004080008000000080000,02bf00000003009002
217,036d00000006000300010002,036d00000003008302
407,042b00000006000300010003,042b00000003008302
729,056d00000006000300010002,056d00000003008302
71,02db0000000600050000ff00,02db0000000600050000ff00
523,049f0000000f001000010004080008000800000000,049f00000003009002
545,04b50000000f001000010004080000000800000004,04b500000003009002
2,0296000000060001ffff0001,029600000003008102
538,04ae00000006000300010003,04ae00000003008302
81,02e500000006000300000002,02e50000000700030400040001
24,02ac00000006000300010002,02ac00000003008302
76,02e00000000f001000010004080000000800080004,02e000000003009002
256,039400000006000300010002,039400000003008302
35,02b70000000f001000010004080008000800050000,02b700000003009002
125,031100000006000100000001,03110000000400010101
595,04e700000006000300010002,04e700000003008302
599,04eb00000006000300010002,04eb00000003008302
51,02c70000000f001000010004080008000800050008,02c700000003009002
372,0408000000060001ffff0001,040800000003008102
416,04340000000f001000010004080003000800000008,043400000003009002
137,031d0000000f001000010004080008000400080008,031d00000003009002
696,054c0000000f001000010004080008000800020002,054c00000003009002
265,039d00000006000300010003,039d00000003008302
428,044000000006000300010001,0440000000050003020000
234,037e000000060001ffff0001,037e00000003008102
657,0525000000060005ffffff00,052500000003008502
534,04aa0000000f001000010004080008000500000008,04aa00000003009002
301,03c100000006000300010001,03c1000000050003020001
579,04d700000006000300010002,04d700000003008302
740,05780000000f001000010004080000000500050008,057800000003009002
114,03060000000f001000010004080000000000060008,030600000003009002
725,05690000000f001000010004080000000000040008,056900000003009002
309,03c90000000d00100000000306000000000000,03c900000003009002
482,047600000006000300000003,047600000003008302
198,035a00000006000300010003,035a00000003008302
417,043500000006000300010003,043500000003008302
0,029400000006000300010003,029400000003008302
313,03cd00000006000300010001,03cd000000050003020001
633,050d0000000f001000010004080004000800040004,050d00000003009002
191,03530000000f001000010004080000000000000000,035300000003009002
19,02a700000006000300010001,02a7000000050003020001
369,04050000000f001000010004080008000800080000,040500000003009002
290,03b6000000060001ffff0001,03b600000003008102
87,02eb0000000f001000010004080008000300000008,02eb00000003009002
6,029a00000006000300010003,029a00000003008302
98,02f600000006000119220001,02f600000003008102
327,03db00000006000300010001,03db000000050003020001
190,03520000000600050001ff00,03520000000600050001ff00
544,04b400000006000300010002,04b400000003008302
756,058800000006000300000003,058800000003008302
769,05950000000f001000010004080008000600000008,059500000003009002
269,03a100000006000300010001,03a1000000050003020001
166,033a0000000d00100000000306000800050005,033a00000003009002
661,05290000000f001000010004080004000800080008,052900000003009002
784,05a400000006000300000001,05a4000000050003020003
677,053900000006000300010002,053900000003008302
484,0478000000060006dcecdee7,047800000003008602
596,04e800000006000300010002,04e800000003008302
629,050900000006000300010001,0509000000050003020005
263,039b0000000f001000010004080008000000080003,039b00000003009002
104,02fc000000060005ffffff00,02fc00000003008502
446,045200000006000100010001,04520000000400010101
587,04df00000006000300010002,04df00000003008302
582,04da0000000f001000010004080008000500080005,04da00000003009002
730,056e00000006000300000003,056e00000003008302
179,034700000006000591bbff00,034700000003008502
516,04980000000b0010000000020400010000,049800000006001000000002
659,052700000006000300010002,052700000003008302
