,source_text,target_text
553,02b70000000600018a650002,02b700000003008102
1096,04d600000006000300010002,04d600000003008302
1687,07250000000f0010fffe0004080000000000000000,072500000003009002
2805,0b830000000f0010fffd0004080008000000080002,0b8300000003009002
3077,0c930000000f001000010004080000000000080000,0c9300000003009002
1736,0756000000060003fffd0002,075600000003008302
1450,063800000006000300010001,063800000003008302
3131,0cc90000000f001000010004080000000800000000,0cc900000003009002
1532,068a0000000600050001ff00,068a00000003008502
1673,07170000000f0010e03b0004080003000300080000,071700000003009002
1973,08430000000f0010fffd0004080008000800080004,084300000003009002
2507,0a590000000600050001ff00,0a5900000003008502
867,03f1000000060003d9120001,03f100000003008302
2215,093500000006000300010002,093500000003008302
1474,065000000006000300000002,065000000003008302
2509,0a5b0000000f001000010004080008000600080008,0a5b00000003009002
632,03060000000d00100000000306000000040004,030600000003009002
1844,07c20000000f0010707b0004080006000800000006,07c200000003009002
3142,0cd40000000f00103b3c0004080003000300030008,0cd400000003009002
622,02fc0000000f0010d9120004080005000500050000,02fc00000003009002
2699,0b1900000006000300010002,0b1900000003008302
1240,05660000000f0010cb510004080008000100010008,056600000003009002
420,0232000000060003a2e30001,023200000003008302
1104,04de0000000f0010fffd0004080006000800080006,04de00000003009002
1794,0790000000060003707b0002,079000000003008302
1364,05e20000000f0010825c0004080008000000000008,05e200000003009002
65,00cf000000060001fffe0001,00cf00000003008102
966,045400000006000300010002,045400000003008302
2012,086a00000006000300010001,086a00000003008302
3038,0c6c000000060001fffd0002,0c6c00000003008102
2817,0b8f00000006000300010002,0b8f00000003008302
1407,060d00000006000300010001,060d00000003008302
1641,06f7000000060003e47e0002,06f700000003008302
1578,06b80000000f0010fffd0004080008000800030008,06b800000003009002
272,019e000000060001f44d0002,019e00000003008102
1009,047f00000006000300010001,047f00000003008302
2691,0b1100000006000300010001,0b1100000003008302
3071,0c8d0000000f001000010004080006000800080008,0c8d00000003009002
2352,09be0000000600033b3c0001,09be00000003008302
3188,0d0200000006000300010002,0d0200000003008302
2667,0af90000000600058a65ff00,0af900000003008502
71,00d5000000060003fffd0002,00d500000003008302
1120,04ee0000000f0010707b0004080008000000000006,04ee00000003009002
2018,08700000000f0010fffd0004080000000100010001,087000000003009002
