,source_text,target_text
218,010c000000060003989b0001,010c00000003008302
4,00360000000600050005ff00,00360000000600050005ff00
2276,09160000000f001000070004080000000000010001,091600000003009002
2225,08e300000006000300060002,08e300000003008302
3044,0c160000000d00100003000306000800000008,0c1600000006001000030003
547,0255000000060003989b0001,025500000003008302
716,02fe0000000f0010fffe0004080008000800060006,02fe00000003009002
2920,0b9a0000000f0010fffd0004080000000000080008,0b9a00000003009002
1354,057c0000000f001045e90004080000000000000008,057c00000003009002
1619,0685000000060003aac90002,068500000003008302
789,0347000000060003fffe0001,034700000003008302
1264,05220000000d00100000000306000800020008,052200000006001000000003
2169,08ab000000060003fffe0001,08ab00000003008302
1882,078c0000000f001000070004080008000800080003,078c00000003009002
2193,08c30000000d00100003000306000800080000,08c300000006001000030003
2145,089300000006000300020001,0893000000050003020000
2416,09a20000000f00106cd10004080002000200020000,09a200000003009002
2676,0aa600000006000100070002,0aa600000003008102
2132,08860000000d00100000000306000800020000,088600000006001000000003
2934,0ba80000000f0010fffd0004080000000300000008,0ba800000003009002
663,02c900000006000100040001,02c90000000400010101
2036,082600000006000300070001,082600000003008302
1155,04b50000000600050007ff00,04b500000003008502
3173,0c9700000006000300030002,0c970000000700030400080001
3125,0c6700000006000300070002,0c6700000003008302
2623,0a710000000f0010fffe0004080002000800020002,0a7100000003009002
2430,09b00000000f00106cd10004080008000000000008,09b000000003009002
1114,048c000000060003bf2b0001,048c00000003008302
785,0343000000060003989b0001,034300000003008302
0,00320000000f001000070004080000000600060008,003200000003009002
2489,09eb0000000f0010bf2b0004080000000800010001,09eb00000003009002
2239,08f100000006000300070002,08f100000003008302
812,035e0000000f0010fffd0004080008000000020002,035e00000003009002
961,03f3000000060003aac90002,03f300000003008302
1675,06bd0000000f0010fffe0004080002000000020002,06bd00000003009002
1597,066f0000000f001000070004080006000800060006,066f00000003009002
631,02a90000000600050006ff00,02a90000000600050006ff00
1604,06760000000d00100004000306000100080000,067600000006001000040003
2053,083700000006000300070002,083700000003008302
