,source_text,target_text
754,02f30000000600050000ff00:02f300000003008502|02f400000006000600080000:02f400000003008602|02f500000006000500000000:02f500000003008502|02f60000000a00ba0a31e0f2a8901d56:02f60000000300ba01|02f700000006000300000001:02f7000000050003020000|02f800000006000200000001:02f800000003008202|02f900000006000200060001:02f900000003008202|02fa00000006000600300000:02fa00000003008602|02fb00000006000200000001:,02fb00000003008202
588,024d00000006000300000001:024d000000050003020000|024e00000006000200000001:024e00000003008202|024f000000060006002f0000:024f00000003008602|02500000000600050000ff00:025000000003008502|02510000001a00d46d4210629a9d74004523a192f4d363a6fee04c361aa372ab:02510000000300d401|025200000006000200270001:025200000003008202|02530000001a00e62c27441310cec36b84630136ae80edb5feacaabcedb7de98:02530000000300e601|025400000006000300000001:0254000000050003020000|025500000006000200290001:,025500000003008202
31,002000000012002642f2873afb41ad50b1adba46280590f4:00200000000300a601|002100000006000200000001:002100000003008202|002200000006000300000001:0022000000050003020000|002300000006000500000000:002300000003008502|002400000006000600310000:002400000003008602|002500000006000300000001:0025000000050003020000|00260000000600050000ff00:002600000003008502|00270000001a00731512cbfd9e048d8b5878f9bdd43e312e3d6f295201a1e0ec:00270000000300f301|002800000006000200020001:,002800000003008202
1077,04360000000600050000ff00:043600000003008502|043700000006000200000001:043700000003008202|043800000006000600150000:043800000003008602|043900000006000300000001:0439000000050003020000|043a00000006000300250001:043a00000003008302|043b00000006000600010000:043b00000006000600010000|043c00000006000500000000:043c00000003008502|043d0000001a001e63665fd9660b5351d11ac29e62bf21f48d98bbb39cd83dac:043d00000003009e01|043e00000006000200000001:,043e00000003008202
266,010b000000060003002d0001:010b00000003008302|010c00000006000600260000:010c00000003008602|010d0000001200c3136a1acc674c1f8238e653509b9bfcbc:010d0000000300c301|010e00000006000300000001:010e000000050003020000|010f00000006000200000001:010f00000003008202|011000000006000600190000:011000000003008602|01110000000a00944e46c7b1520fbeb2:011100000003009401|011200000006000300000001:0112000000050003020000|011300000006000500000000:,011300000003008502
718,02cf00000006000500000000:02cf00000003008502|02d00000001200e83745da91a408f9483f19537e831dcf73:02d00000000300e801|02d100000006000300000001:02d1000000050003020000|02d200000006000200000001:02d200000003008202|02d3000000060006001b0000:02d300000003008602|02d400000006000600270015:02d400000003008602|02d50000000600050000ff00:02d500000003008502|02d60000001a008cc0abc9660eb645a7c6f995f4667f3091144c565cfdcaebff:02d600000003008c01|02d700000006000500210000:,02d700000003008502
128,0081000000060006001e000a:008100000003008602|00820000000600050000ff00:008200000003008502|0083000000060006001c0000:008300000003008602|008400000006000300000001:0084000000050003020000|008500000006000300000001:0085000000050003020000|00860000000600050000ff00:008600000003008502|008700000012009616d729b43f49807859f273b5af93cf12:008700000003009601|0088000000060003000d0001:008800000003008302|008900000006000200000001:,008900000003008202
2144,0300002402f08032010000b803000e00050501120a100200010000830000000004000800:0300001602f08032030000b8030002000100000501ff|0300001f02f08032010000b903000e00000401120a10020002000084000000:0300001b02f08032030000b9030002000600000401ff040010000d|0300001f02f08032010000ba03000e00000401120a10020002000083000000:0300001b02f08032030000ba030002000600000401ff0400100000|0300001f02f08032010000bb03000e00000401120a10020002000c84000000:0300001902f08032030000bb0300020004000004010a000004|0300002502f08032010000bc03000e00060501120a1002000200008400000000040010001a:0300001602f08032030000bc030002000100000501ff|0300001f02f08032010000bd03000e00000401120a10020002000083000000:0300001b02f08032030000bd030002000600000401ff0400100000|0300002502f08032010000be03000e00060501120a1002000200008400000000040010002e:0300001602f08032030000be030002000100000501ff|0300002402f08032010000bf03000e00050501120a100200010000830000000004000801:0300001602f08032030000bf030002000100000501ff|0300001f02f08032010000c003000e00000401120a10020004000084000000:,0300001902f08032030000c003000200040000040105000004
673,02a20000000a00ee6f283a9b45d406ef:02a20000000300ee01|02a300000006000200000001:02a300000003008202|02a4000000060006001f0000:02a400000003008602|02a500000006000500000000:02a500000003008502|02a600000006000200060001:02a600000003008202|02a70000000600050000ff00:02a700000003008502|02a80000000600050013ff00:02a800000003008502|02a900000006000300000001:02a9000000050003020000|02aa00000006000600140000:,02aa00000003008602
844,034d00000006000300000001:034d000000050003020000|034e00000006000600070000:034e00000003008602|034f00000006000500000000:034f00000003008502|035000000006000500130000:035000000003008502|03510000000a00d5c19cc1c7310d11e2:03510000000300d501|035200000006000300000001:0352000000050003020000|035300000006000600160000:035300000003008602|035400000006000200000001:035400000003008202|03550000000600050009ff00:,035500000003008502
