,source_text,target_text
2974,0300002f02f080320100009e0b000e00100501120a1002000c00008300014000040060000000000000000001000100,0300001602f080320300009e0b000200010000050105
478,0300002f02f08032010000de01000e00100501120a1002000c00008301f3e800040060000000000000000000010101,0300001602f08032030000de01000200010000050105
528,0300002902f080320100001002000e000a0501120a1002000601ea840000f800040030509450946bfe,0300001602f08032030000100200020001000005010a
1651,0300002c02f080320100007306000e000d0501120a1002000900008300007800040048000000000000010100,0300001602f080320300007306000200010000050105
146,0300002f02f080320100009200000e00100501120a1002000c0000830124d000040060000000000000000001010001,0300001602f080320300009200000200010000050105
688,0300001f02f08032010000b002000e00000401120a10020002035d84000128,0300001902f08032030000b00200020004000004010a000004
1472,0300001f02f08032010000c005000e00000401120a10020001000083011ff0,0300001902f08032030000c005000200040000040105000004
726,0300001f02f08032010000d602000e00000401120a10020001028a84000020,0300001902f08032030000d60200020004000004010a000004
1488,0300002f02f08032010000d005000e00100501120a1002000c00008300014000040060000000000000000001000000,0300001602f08032030000d005000200010000050105
890,0300002902f080320100007a03000e000a0501120a1002000601ea84000128000400306bfe6bfe058e,0300001602f080320300007a0300020001000005010a
403,0300002902f080320100009301000e000a0501120a1002000600bc8401f3e8000400306bfe6bfe6bfe,0300001602f08032030000930100020001000005010a
988,0300001f02f08032010000dc03000e00000401120a1002000200008301f3e8,0300001902f08032030000dc03000200040000040105000004
1996,0300001f02f08032010000cc07000e00000401120a1002000203cb8401f3e8,0300001902f08032030000cc0700020004000004010a000004
2675,0300002f02f08032010000730a000e00100501120a1002000c00008301f3e800040060000000000000000000010000,0300001602f08032030000730a000200010000050105
2606,0300001f02f080320100002e0a000e00000401120a100200010000830124d0,0300001902f080320300002e0a000200040000040105000004
230,0300002702f08032010000e600000e00080501120a10020004000e840001300004002000005e33,0300001602f08032030000e60000020001000005010a
1738,0300002c02f08032010000ca06000e000d0501120a1002000900008300012800040048000000000000010001,0300001602f08032030000ca06000200010000050105
802,0300001f02f080320100002203000e00000401120a100200010380840000c8,0300001902f08032030000220300020004000004010a000004
883,0300002902f080320100007303000e000a0501120a10020006035d8400000000040030000057c00000,0300001602f08032030000730300020001000005010a
1884,0300001f02f080320100005c07000e00000401120a1002000200b584000140,0300001902f080320300005c0700020004000004010a000004
2857,0300001f02f08032010000290b000e00000401120a10020001014184000140,0300001902f08032030000290b00020004000004010a000004
1762,0300001f02f08032010000e206000e00000401120a10020002006a84000140,0300001902f08032030000e20600020004000004010a000004
1436,0300002902f080320100009c05000e000a0501120a1002000603778400000000040030160416041604,0300001602f080320300009c0500020001000005010a
1783,0300002c02f08032010000f706000e000d0501120a1002000900008300000000040048000000000000010000,0300001602f08032030000f706000200010000050105
2335,0300002902f080320100001f09000e000a0501120a1002000600938400012800040030603700006037,0300001602f080320300001f0900020001000005010a
2091,0300001f02f080320100002b08000e00000401120a1002000200008301f3e8,0300001902f080320300002b08000200040000040105000004
1831,0300002902f080320100002707000e000a0501120a10020006035d840001280004003061d46bfe6bfe,0300001602f08032030000270700020001000005010a
1729,0300002f02f08032010000c106000e00100501120a1002000c00008301531800040060000000000000000000010100,0300001602f08032030000c106000200010000050105
2838,0300001f02f08032010000160b000e00000401120a1002000200e484016068,0300001902f08032030000160b00020004000004010a000004
2452,0300001f02f080320100009409000e00000401120a1002000203cb84008bf0,0300001902f08032030000940900020004000004010a000004
676,0300002902f08032010000a402000e000a0501120a10020006009384000000000400306bfe00006bfe,0300001602f08032030000a40200020001000005010a
373,0300001f02f080320100007501000e00000401120a10020001028c840000d8,0300001902f08032030000750100020004000004010a000004
690,0300002902f08032010000b202000e000a0501120a10020006006a84000140000400301b461b466bfe,0300001602f08032030000b20200020001000005010a
472,0300001f02f08032010000d801000e00000401120a10020002037784000078,0300001902f08032030000d80100020004000004010a000004
256,0300001f02f080320100000001000e00000401120a10020001000083018498,0300001902f080320300000001000200040000040105000004
1352,0300002902f080320100004805000e000a0501120a1002000603cb84008bf0000400300000399c6bfe,0300001602f08032030000480500020001000005010a
2809,0300002902f08032010000f90a000e000a0501120a10020006035d840000000004003057c06bfe0000,0300001602f08032030000f90a00020001000005010a
1916,0300002f02f080320100007c07000e00100501120a1002000c00008300014000040060000000000000000001000101,0300001602f080320300007c07000200010000050105
188,0300001f02f08032010000bc00000e00000401120a10020001028a84000000,0300001902f08032030000bc0000020004000004010a000004
