,source_text,target_text
253,0300001f02f08032010000fd00000e00000401120a1002000200008301f3e8,0300001902f08032030000fd00000200040000040105000004
576,0300002902f080320100004002000e000a0501120a1002000601a5840000000004003000006bfe0000,0300001602f08032030000400200020001000005010a
112,0300002c02f080320100007000000e000d0501120a1002000900008300000000040048000000000000010100,0300001602f080320300007000000200010000050105
266,0300001f02f080320100000a01000e00000401120a1002000100bb8401f3f0,0300001902f080320300000a0100020004000004010a000004
344,0300002902f080320100005801000e000a0501120a1002000601a5840000e8000400306bfe3feb0000,0300001602f08032030000580100020001000005010a
624,0300001f02f080320100007002000e00000401120a1002000100bb840192c0,0300001902f08032030000700200020004000004010a000004
681,0300002702f08032010000a902000e00080501120a1002000403d1840001300004002019181918,0300001602f08032030000a90200020001000005010a
75,0300001f02f080320100004b00000e00000401120a10020002000083011898,0300001902f080320300004b00000200040000040105000004
526,0300001f02f080320100000e02000e00000401120a10020002016484000000,0300001902f080320300000e0200020004000004010a000004
397,0300001f02f080320100008d01000e00000401120a10020002016484000128,0300001902f080320300008d0100020004000004010a000004
772,0300001f02f080320100000403000e00000401120a10020002000083000000,0300001b02f0803203000004030002000600000401ff0400100100
571,0300002902f080320100003b02000e000a0501120a1002000601a5840000e8000400303feb6bfe3feb,0300001602f080320300003b0200020001000005010a
267,0300001f02f080320100000b01000e00000401120a10020002016484000128,0300001902f080320300000b0100020004000004010a000004
49,0300002402f080320100003100000e00050501120a100200010000830190a00004000800,0300001602f080320300003100000200010000050105
229,0300001f02f08032010000e500000e00000401120a10020002000083000140,0300001902f08032030000e500000200040000040105000004
363,0300002502f080320100006b01000e00060501120a10020002020584000000000400106c00,0300001602f080320300006b0100020001000005010a
327,0300002c02f080320100004701000e000d0501120a1002000900008300000000040048000000000000000100,0300001602f080320300004701000200010000050105
381,0300001f02f080320100007d01000e00000401120a1002000201a5840000e8,0300001902f080320300007d0100020004000004010a000004
487,0300002902f08032010000e701000e000a0501120a1002000601a58400000000040030000036ed6bfe,0300001602f08032030000e70100020001000005010a
216,0300001f02f08032010000d800000e00000401120a10020002010984000140,0300001902f08032030000d80000020004000004010a000004
