,source_text,target_text
1638,0300002502f080320100006606000e00060501120a10020002000084000000000400100016:0300001602f0803203000066060002000100000501ff|0300001f02f080320100006706000e00000401120a10020002000084000000:0300001b02f0803203000067060002000600000401ff0400100016|0300002402f080320100006806000e00050501120a100200010000830000000004000800:,0300001602f0803203000068060002000100000501ff
2540,0300002402f08032010000ec09000e00050501120a100200010000830000000004000800:0300001602f08032030000ec090002000100000501ff|0300001f02f08032010000ed09000e00000401120a10020002000084000000:0300001b02f08032030000ed090002000600000401ff0400100008|0300001f02f08032010000ee09000e00000401120a10020002000084000000:,0300001b02f08032030000ee090002000600000401ff0400100008
1017,0300001f02f08032010000f903000e00000401120a10020002000083000000:0300001b02f08032030000f9030002000600000401ff0400100000|0300002402f08032010000fa03000e00050501120a100200010000830001500004000800:0300001602f08032030000fa03000200010000050105|0300002402f08032010000fb03000e00050501120a100200010000830000000004000801:,0300001602f08032030000fb030002000100000501ff
2862,0300002402f080320100002e0b000e00050501120a100200010000830000a80004000801:0300001602f080320300002e0b000200010000050105|0300002402f080320100002f0b000e00050501120a100200010000830000000004000801:0300001602f080320300002f0b0002000100000501ff|0300002502f08032010000300b000e00060501120a10020002000084000000000400100006:,0300001602f08032030000300b0002000100000501ff
2448,0300001f02f080320100009009000e00000401120a10020002000184000080:0300001902f08032030000900900020004000004010a000004|0300001f02f080320100009109000e00000401120a10020002000084000000:0300001b02f0803203000091090002000600000401ff0400100030|0300002502f080320100009209000e00060501120a1002000200008400000000040010001b:,0300001602f0803203000092090002000100000501ff
2498,0300001f02f08032010000c209000e00000401120a10020002000384000020:0300001902f08032030000c20900020004000004010a000004|0300001f02f08032010000c309000e00000401120a10020002000083000000:0300001b02f08032030000c3090002000600000401ff0400100100|0300002502f08032010000c409000e00060501120a10020002000084000000000400100001:,0300001602f08032030000c4090002000100000501ff
738,0300001f02f08032010000e202000e00000401120a10020002000083000000:0300001b02f08032030000e2020002000600000401ff0400100100|0300001f02f08032010000e302000e00000401120a10020002000084000000:0300001b02f08032030000e3020002000600000401ff0400100030|0300002402f08032010000e402000e00050501120a100200010000830000000004000800:,0300001602f08032030000e4020002000100000501ff
747,0300001f02f08032010000eb02000e00000401120a10020002000084000000:0300001b02f08032030000eb020002000600000401ff040010000b|0300002402f08032010000ec02000e00050501120a100200010000830000000004000801:0300001602f08032030000ec020002000100000501ff|0300001f02f08032010000ed02000e00000401120a10020002000083000000:,0300001b02f08032030000ed020002000600000401ff0400100000
1716,0300002402f08032010000b406000e00050501120a100200010000830000000004000801:0300001602f08032030000b4060002000100000501ff|0300001f02f08032010000b506000e00000401120a10020002000084000000:0300001b02f08032030000b5060002000600000401ff040010002d|0300002402f08032010000b606000e00050501120a100200010000830000c00004000800:,0300001602f08032030000b606000200010000050105
2780,0300001f02f08032010000dc0a000e00000401120a10020002000083000000:0300001b02f08032030000dc0a0002000600000401ff0400100000|0300001f02f08032010000dd0a000e00000401120a10020005000083000000:0300001902f08032030000dd0a000200040000040105000004|0300001f02f08032010000de0a000e00000401120a10020002000084000000:,0300001b02f08032030000de0a0002000600000401ff0400100015
