,source_text,target_text
239,0300001f02f08032010000ef00000e00000401120a10020002000083000000:0300001b02f08032030000ef000002000600000401ff0400100000|0300002502f08032010000f000000e00060501120a10020002000084000000000400100002:0300001602f08032030000f0000002000100000501ff|0300001f02f08032010000f100000e00000401120a10020002000084000000:0300001b02f08032030000f1000002000600000401ff0400100002|0300001f02f08032010000f200000e00000401120a10020002000083000000:0300001b02f08032030000f2000002000600000401ff0400100000|0300002402f08032010000f300000e00050501120a100200010000830000000004000801:,0300001602f08032030000f3000002000100000501ff
1767,0300001f02f08032010000e706000e00000401120a10020002000083000000:0300001b02f08032030000e7060002000600000401ff0400100000|0300001f02f08032010000e806000e00000401120a10020002000084000000:0300001b02f08032030000e8060002000600000401ff0400100016|0300002402f08032010000e906000e00050501120a100200010000830000000004000800:0300001602f08032030000e9060002000100000501ff|0300001f02f08032010000ea06000e00000401120a10020002000083000130:0300001902f08032030000ea06000200040000040105000004|0300002502f08032010000eb06000e00060501120a10020002000084000000000400100005:,0300001602f08032030000eb060002000100000501ff
2087,0300002502f080320100002708000e00060501120a1002000200008400000000040010001b:0300001602f0803203000027080002000100000501ff|0300001f02f080320100002808000e00000401120a10020002000084000000:0300001b02f0803203000028080002000600000401ff040010001b|0300001f02f080320100002908000e00000401120a10020002000083000000:0300001b02f0803203000029080002000600000401ff0400100100|0300001f02f080320100002a08000e00000401120a10020002000084000000:0300001b02f080320300002a080002000600000401ff040010001b|0300001f02f080320100002b08000e00000401120a10020002000083000000:,0300001b02f080320300002b080002000600000401ff0400100100
221,0300002502f08032010000dd00000e00060501120a1002000200008400000000040010000a:0300001602f08032030000dd000002000100000501ff|0300002402f08032010000de00000e00050501120a100200010000830000000004000800:0300001602f08032030000de000002000100000501ff|0300001f02f08032010000df00000e00000401120a10020002000084000000:0300001b02f08032030000df000002000600000401ff040010000a|0300001f02f08032010000e000000e00000401120a10020002001884000000:0300001902f08032030000e00000020004000004010a000004|0300001f02f08032010000e100000e00000401120a10020002000083000000:,0300001b02f08032030000e1000002000600000401ff0400100000
1812,0300001f02f080320100001407000e00000401120a10020002003284000000:0300001902f08032030000140700020004000004010a000004|0300002402f080320100001507000e00050501120a100200010000830000000004000801:0300001602f0803203000015070002000100000501ff|0300002502f080320100001607000e00060501120a10020002000084000000000400100004:0300001602f0803203000016070002000100000501ff|0300001f02f080320100001707000e00000401120a10020002000084000000:0300001b02f0803203000017070002000600000401ff0400100004|0300002402f080320100001807000e00050501120a100200010000830000000004000801:,0300001602f0803203000018070002000100000501ff
741,0300001f02f08032010000e502000e00000401120a100200020003840000e0:0300001902f08032030000e50200020004000004010a000004|0300002502f08032010000e602000e00060501120a1002000200008400000000040010002f:0300001602f08032030000e6020002000100000501ff|0300001f02f08032010000e702000e00000401120a10020002000083000000:0300001b02f08032030000e7020002000600000401ff0400100100|0300002402f08032010000e802000e00050501120a100200010000830000000004000801:0300001602f08032030000e8020002000100000501ff|0300001f02f08032010000e902000e00000401120a10020002000083000000:,0300001b02f08032030000e9020002000600000401ff0400100100
852,0300002502f080320100005403000e00060501120a1002000200008400000000040010000f:0300001602f0803203000054030002000100000501ff|0300001f02f080320100005503000e00000401120a10020002000084000000:0300001b02f0803203000055030002000600000401ff040010000f|0300002502f080320100005603000e00060501120a10020002000084000000000400100010:0300001602f0803203000056030002000100000501ff|0300001f02f080320100005703000e00000401120a10020002000084000000:0300001b02f0803203000057030002000600000401ff0400100010|0300001f02f080320100005803000e00000401120a10020002000083000000:,0300001b02f0803203000058030002000600000401ff0400100000
1243,0300001f02f08032010000db04000e00000401120a10020002000083000000:0300001b02f08032030000db040002000600000401ff0400100000|0300001f02f08032010000dc04000e00000401120a10020002000083000000:0300001b02f08032030000dc040002000600000401ff0400100000|0300001f02f08032010000dd04000e00000401120a10020004000083000000:0300001902f08032030000dd04000200040000040105000004|0300001f02f08032010000de04000e00000401120a10020002000084000000:0300001b02f08032030000de040002000600000401ff040010000b|0300002402f08032010000df04000e00050501120a100200010000830000000004000800:,0300001602f08032030000df040002000100000501ff
420,0300001f02f08032010000a401000e00000401120a10020002000084000000:0300001b02f08032030000a4010002000600000401ff0400100000|0300002402f08032010000a501000e00050501120a100200010000830000000004000800:0300001602f08032030000a5010002000100000501ff|0300002502f08032010000a601000e00060501120a10020002000084000000000400100023:0300001602f08032030000a6010002000100000501ff|0300001f02f08032010000a701000e00000401120a10020002000083000000:0300001b02f08032030000a7010002000600000401ff0400100100|0300001f02f08032010000a801000e00000401120a10020002000083000000:,0300001b02f08032030000a8010002000600000401ff0400100100
323,0300001f02f080320100004301000e00000401120a10020002000083000000:0300001b02f0803203000043010002000600000401ff0400100000|0300001f02f080320100004401000e00000401120a10020002000084000000:0300001b02f0803203000044010002000600000401ff040010000a|0300002502f080320100004501000e00060501120a1002000200008400000000040010000a:0300001602f0803203000045010002000100000501ff|0300001f02f080320100004601000e00000401120a10020002000084000000:0300001b02f0803203000046010002000600000401ff040010000a|0300001f02f080320100004701000e00000401120a10020002000083000000:,0300001b02f0803203000047010002000600000401ff0400100000
1813,0300002402f080320100001507000e00050501120a100200010000830000000004000801:0300001602f0803203000015070002000100000501ff|0300002502f080320100001607000e00060501120a10020002000084000000000400100004:0300001602f0803203000016070002000100000501ff|0300001f02f080320100001707000e00000401120a10020002000084000000:0300001b02f0803203000017070002000600000401ff0400100004|0300002402f080320100001807000e00050501120a100200010000830000000004000801:0300001602f0803203000018070002000100000501ff|0300001f02f080320100001907000e00000401120a10020002000084000000:,0300001b02f0803203000019070002000600000401ff0400100004
1248,0300002502f08032010000e004000e00060501120a10020002000084000000000400100009:0300001602f08032030000e0040002000100000501ff|0300002402f08032010000e104000e00050501120a100200010000830000000004000801:0300001602f08032030000e1040002000100000501ff|0300001f02f08032010000e204000e00000401120a10020002000083000000:0300001b02f08032030000e2040002000600000401ff0400100000|0300002502f08032010000e304000e00060501120a1002000200008400000000040010001d:0300001602f08032030000e3040002000100000501ff|0300002502f08032010000e404000e00060501120a10020002000284000168000400100003:,0300001602f08032030000e40400020001000005010a
1140,0300001f02f080320100007404000e00000401120a10020002000083000000:0300001b02f0803203000074040002000600000401ff0400100100|0300002502f080320100007504000e00060501120a1002000200008400000000040010001d:0300001602f0803203000075040002000100000501ff|0300001f02f080320100007604000e00000401120a10020002000084000000:0300001b02f0803203000076040002000600000401ff040010001d|0300001f02f080320100007704000e00000401120a10020009000083000000:0300001902f080320300007704000200040000040105000004|0300001f02f080320100007804000e00000401120a10020002000083000000:,0300001b02f0803203000078040002000600000401ff0400100100
