,source_text,target_text
19,0300002402f080320100001300000e00050501120a100200010000830000000004000800:0300001602f0803203000013000002000100000501ff|0300001f02f080320100001400000e00000401120a10020002000084000000:0300001b02f0803203000014000002000600000401ff0400100028|0300001f02f080320100001500000e00000401120a10020002000083000000:0300001b02f0803203000015000002000600000401ff0400100000|0300002402f080320100001600000e00050501120a100200010000830000000004000800:0300001602f0803203000016000002000100000501ff|0300001f02f080320100001700000e00000401120a10020002000084000000:0300001b02f0803203000017000002000600000401ff0400100028|0300002502f080320100001800000e00060501120a1002000200008400000000040010001a:0300001602f0803203000018000002000100000501ff|0300002402f080320100001900000e00050501120a100200010000830000000004000801:,0300001602f0803203000019000002000100000501ff
941,0300002502f08032010000ad03000e00060501120a10020002000084000000000400100028:0300001602f08032030000ad030002000100000501ff|0300002402f08032010000ae03000e00050501120a100200010000830000000004000801:0300001602f08032030000ae030002000100000501ff|0300001f02f08032010000af03000e00000401120a10020002000083000000:0300001b02f08032030000af030002000600000401ff0400100100|0300001f02f08032010000b003000e00000401120a10020002000083000088:0300001902f08032030000b003000200040000040105000004|0300001f02f08032010000b103000e00000401120a10020002000084000000:0300001b02f08032030000b1030002000600000401ff0400100028|0300002402f08032010000b203000e00050501120a100200010000830000000004000801:0300001602f08032030000b2030002000100000501ff|0300002502f08032010000b303000e00060501120a10020002000084000000000400100027:,0300001602f08032030000b3030002000100000501ff
879,0300002402f080320100006f03000e00050501120a100200010000830000000004000800:0300001602f080320300006f030002000100000501ff|0300002502f080320100007003000e00060501120a1002000200008400000000040010002d:0300001602f0803203000070030002000100000501ff|0300001f02f080320100007103000e00000401120a10020002000083000000:0300001b02f0803203000071030002000600000401ff0400100100|0300001f02f080320100007203000e00000401120a10020002000083000000:0300001b02f0803203000072030002000600000401ff0400100100|0300001f02f080320100007303000e00000401120a10020002000083000000:0300001b02f0803203000073030002000600000401ff0400100100|0300002502f080320100007403000e00060501120a100200020000840000d8000400100005:0300001602f080320300007403000200010000050105|0300002502f080320100007503000e00060501120a10020002000084000000000400100016:,0300001602f0803203000075030002000100000501ff
697,0300001f02f08032010000b902000e00000401120a10020002000083000000:0300001b02f08032030000b9020002000600000401ff0400100000|0300002502f08032010000ba02000e00060501120a10020002000184000100000400100025:0300001602f08032030000ba0200020001000005010a|0300002402f08032010000bb02000e00050501120a100200010000830000000004000801:0300001602f08032030000bb020002000100000501ff|0300001f02f08032010000bc02000e00000401120a10020002000083000000:0300001b02f08032030000bc020002000600000401ff0400100100|0300001f02f08032010000bd02000e00000401120a10020002000084000000:0300001b02f08032030000bd020002000600000401ff0400100022|0300002502f08032010000be02000e00060501120a1002000200008400000000040010001b:0300001602f08032030000be020002000100000501ff|0300002502f08032010000bf02000e00060501120a10020002000084000000000400100002:,0300001602f08032030000bf020002000100000501ff
192,0300002502f08032010000c000000e00060501120a10020002000084000000000400100015:0300001602f08032030000c0000002000100000501ff|0300001f02f08032010000c100000e00000401120a10020002000084000000:0300001b02f08032030000c1000002000600000401ff0400100015|0300002402f08032010000c200000e00050501120a100200010000830000000004000800:0300001602f08032030000c2000002000100000501ff|0300001f02f08032010000c300000e00000401120a10020002000083000000:0300001b02f08032030000c3000002000600000401ff0400100000|0300001f02f08032010000c400000e00000401120a10020002000084000000:0300001b02f08032030000c4000002000600000401ff0400100015|0300002402f08032010000c500000e00050501120a100200010000830000000004000801:0300001602f08032030000c5000002000100000501ff|0300001f02f08032010000c600000e00000401120a10020002000083000000:,0300001b02f08032030000c6000002000600000401ff0400100000
540,0300002402f080320100001c02000e00050501120a100200010000830000000004000801:0300001602f080320300001c020002000100000501ff|0300001f02f080320100001d02000e00000401120a10020002000083000000:0300001b02f080320300001d020002000600000401ff0400100000|0300002502f080320100001e02000e00060501120a10020002000084000000000400100007:0300001602f080320300001e020002000100000501ff|0300002402f080320100001f02000e00050501120a100200010000830000000004000800:0300001602f080320300001f020002000100000501ff|0300001f02f080320100002002000e00000401120a10020002000083000158:0300001902f080320300002002000200040000040105000004|0300001f02f080320100002102000e00000401120a10020002000084000000:0300001b02f0803203000021020002000600000401ff0400100007|0300001f02f080320100002202000e00000401120a10020002000083000000:,0300001b02f0803203000022020002000600000401ff0400100000
750,0300002502f08032010000ee02000e00060501120a1002000200008400000000040010000f:0300001602f08032030000ee020002000100000501ff|0300001f02f08032010000ef02000e00000401120a10020002000083000168:0300001902f08032030000ef02000200040000040105000004|0300002402f08032010000f002000e00050501120a100200010000830000000004000800:0300001602f08032030000f0020002000100000501ff|0300002502f08032010000f102000e00060501120a1002000200008400000000040010001f:0300001602f08032030000f1020002000100000501ff|0300001f02f08032010000f202000e00000401120a10020002000084000000:0300001b02f08032030000f2020002000600000401ff040010001f|0300002402f08032010000f302000e00050501120a100200010000830000000004000801:0300001602f08032030000f3020002000100000501ff|0300001f02f08032010000f402000e00000401120a10020002000083000000:,0300001b02f08032030000f4020002000600000401ff0400100100
709,0300001f02f08032010000c502000e00000401120a10020002000084000000:0300001b02f08032030000c5020002000600000401ff0400100002|0300001f02f08032010000c602000e00000401120a10020002000083000048:0300001902f08032030000c602000200040000040105000004|0300002502f08032010000c702000e00060501120a10020002000084000000000400100020:0300001602f08032030000c7020002000100000501ff|0300001f02f08032010000c802000e00000401120a10020002000083000000:0300001b02f08032030000c8020002000600000401ff0400100000|0300001f02f08032010000c902000e00000401120a10020002000083000000:0300001b02f08032030000c9020002000600000401ff0400100000|0300001f02f08032010000ca02000e00000401120a10020002000083000000:0300001b02f08032030000ca020002000600000401ff0400100000|0300001f02f08032010000cb02000e00000401120a10020002000084000000:,0300001b02f08032030000cb020002000600000401ff0400100020
553,0300002402f080320100002902000e00050501120a100200010000830000000004000800:0300001602f0803203000029020002000100000501ff|0300002502f080320100002a02000e00060501120a1002000200008400000000040010000d:0300001602f080320300002a020002000100000501ff|0300001f02f080320100002b02000e00000401120a10020002000084000000:0300001b02f080320300002b020002000600000401ff040010000d|0300001f02f080320100002c02000e00000401120a10020002000083000000:0300001b02f080320300002c020002000600000401ff0400100000|0300002402f080320100002d02000e00050501120a100200010000830000000004000800:0300001602f080320300002d020002000100000501ff|0300001f02f080320100002e02000e00000401120a100200020000830000d0:0300001902f080320300002e02000200040000040105000004|0300002502f080320100002f02000e00060501120a10020002000084000000000400100013:,0300001602f080320300002f020002000100000501ff
353,0300001f02f080320100006101000e00000401120a10020002000083000000:0300001b02f0803203000061010002000600000401ff0400100100|0300002402f080320100006201000e00050501120a100200010000830000000004000800:0300001602f0803203000062010002000100000501ff|0300002502f080320100006301000e00060501120a1002000200008400000000040010000d:0300001602f0803203000063010002000100000501ff|0300002402f080320100006401000e00050501120a100200010000830000000004000801:0300001602f0803203000064010002000100000501ff|0300001f02f080320100006501000e00000401120a10020002000084000000:0300001b02f0803203000065010002000600000401ff040010000d|0300001f02f080320100006601000e00000401120a10020002000083000000:0300001b02f0803203000066010002000600000401ff0400100000|0300001f02f080320100006701000e00000401120a100200020000830000c8:,0300001902f080320300006701000200040000040105000004
