,source_text,target_text
2140,0300002502f080320100005c08000e00060501120a1002000200008400002800040010002d:0300001602f080320300005c08000200010000050105|0300002402f080320100005d08000e00050501120a100200010000830000000004000801:0300001602f080320300005d080002000100000501ff|0300002502f080320100005e08000e00060501120a10020002000084000000000400100014:0300001602f080320300005e080002000100000501ff|0300001f02f080320100005f08000e00000401120a10020002000084000000:0300001b02f080320300005f080002000600000401ff0400100014|0300001f02f080320100006008000e00000401120a10020008000184000000:0300001902f08032030000600800020004000004010a000004|0300001f02f080320100006108000e00000401120a10020002000083000000:0300001b02f0803203000061080002000600000401ff0400100000|0300002402f080320100006208000e00050501120a100200010000830000000004000801:0300001602f0803203000062080002000100000501ff|0300001f02f080320100006308000e00000401120a10020002000084000000:0300001b02f0803203000063080002000600000401ff0400100014|0300002402f080320100006408000e00050501120a100200010000830000000004000800:,0300001602f0803203000064080002000100000501ff
1294,0300002502f080320100000e05000e00060501120a10020002000084000000000400100031:0300001602f080320300000e050002000100000501ff|0300002402f080320100000f05000e00050501120a100200010000830000000004000800:0300001602f080320300000f050002000100000501ff|0300001f02f080320100001005000e00000401120a100200020000830000c8:0300001902f080320300001005000200040000040105000004|0300002402f080320100001105000e00050501120a100200010000830000000004000800:0300001602f0803203000011050002000100000501ff|0300001f02f080320100001205000e00000401120a10020002000083000000:0300001b02f0803203000012050002000600000401ff0400100100|0300002502f080320100001305000e00060501120a10020002000084000000000400100023:0300001602f0803203000013050002000100000501ff|0300001f02f080320100001405000e00000401120a10020002000284000108:0300001902f08032030000140500020004000004010a000004|0300001f02f080320100001505000e00000401120a10020002000084000000:0300001b02f0803203000015050002000600000401ff0400100023|0300002402f080320100001605000e00050501120a100200010000830000000004000800:,0300001602f0803203000016050002000100000501ff
1456,0300001f02f08032010000b005000e00000401120a10020002000084000000:0300001b02f08032030000b0050002000600000401ff040010000a|0300002402f08032010000b105000e00050501120a100200010000830000000004000801:0300001602f08032030000b1050002000100000501ff|0300001f02f08032010000b205000e00000401120a10020002000084000000:0300001b02f08032030000b2050002000600000401ff040010000a|0300001f02f08032010000b305000e00000401120a10020002000083000000:0300001b02f08032030000b3050002000600000401ff0400100000|0300002502f08032010000b405000e00060501120a1002000200008400000000040010000e:0300001602f08032030000b4050002000100000501ff|0300001f02f08032010000b505000e00000401120a10020002000083000000:0300001b02f08032030000b5050002000600000401ff0400100000|0300002502f08032010000b605000e00060501120a1002000200008400000000040010002b:0300001602f08032030000b6050002000100000501ff|0300001f02f08032010000b705000e00000401120a10020002000084000000:0300001b02f08032030000b7050002000600000401ff040010002b|0300001f02f08032010000b805000e00000401120a10020002000083000000:,0300001b02f08032030000b8050002000600000401ff0400100100
3549,0300002402f08032010000dd0d000e00050501120a100200010000830000000004000800:0300001602f08032030000dd0d0002000100000501ff|0300002402f08032010000de0d000e00050501120a100200010000830000280004000801:0300001602f08032030000de0d000200010000050105|0300001f02f08032010000df0d000e00000401120a10020002000083000000:0300001b02f08032030000df0d0002000600000401ff0400100000|0300001f02f08032010000e00d000e00000401120a10020002000084000000:0300001b02f08032030000e00d0002000600000401ff0400100013|0300002402f08032010000e10d000e00050501120a100200010000830000000004000801:0300001602f08032030000e10d0002000100000501ff|0300002502f08032010000e20d000e00060501120a10020002000084000000000400100021:0300001602f08032030000e20d0002000100000501ff|0300001f02f08032010000e30d000e00000401120a10020002000083000000:0300001b02f08032030000e30d0002000600000401ff0400100000|0300002502f08032010000e40d000e00060501120a10020002000084000000000400100009:0300001602f08032030000e40d0002000100000501ff|0300002402f08032010000e50d000e00050501120a100200010000830001080004000801:,0300001602f08032030000e50d000200010000050105
3050,0300002402f08032010000ea0b000e00050501120a100200010000830000000004000800:0300001602f08032030000ea0b0002000100000501ff|0300002502f08032010000eb0b000e00060501120a10020002000084000000000400100022:0300001602f08032030000eb0b0002000100000501ff|0300001f02f08032010000ec0b000e00000401120a10020002000084000000:0300001b02f08032030000ec0b0002000600000401ff0400100022|0300002402f08032010000ed0b000e00050501120a100200010000830000000004000801:0300001602f08032030000ed0b0002000100000501ff|0300001f02f08032010000ee0b000e00000401120a10020002000083000000:0300001b02f08032030000ee0b0002000600000401ff0400100100|0300001f02f08032010000ef0b000e00000401120a10020002000083000000:0300001b02f08032030000ef0b0002000600000401ff0400100100|0300001f02f08032010000f00b000e00000401120a100200020001840000e8:0300001902f08032030000f00b00020004000004010a000004|0300002402f08032010000f10b000e00050501120a100200010000830000000004000801:0300001602f08032030000f10b0002000100000501ff|0300001f02f08032010000f20b000e00000401120a10020002000083000000:,0300001b02f08032030000f20b0002000600000401ff0400100100
1650,0300002402f080320100007206000e00050501120a100200010000830000000004000801:0300001602f0803203000072060002000100000501ff|0300002502f080320100007306000e00060501120a1002000200008400000000040010001c:0300001602f0803203000073060002000100000501ff|0300001f02f080320100007406000e00000401120a10020002000084000000:0300001b02f0803203000074060002000600000401ff040010001c|0300001f02f080320100007506000e00000401120a10020002000083000000:0300001b02f0803203000075060002000600000401ff0400100100|0300002402f080320100007606000e00050501120a100200010000830000000004000800:0300001602f0803203000076060002000100000501ff|0300001f02f080320100007706000e00000401120a10020002000084000000:0300001b02f0803203000077060002000600000401ff040010001c|0300002402f080320100007806000e00050501120a100200010000830000000004000801:0300001602f0803203000078060002000100000501ff|0300002402f080320100007906000e00050501120a100200010000830000980004000800:0300001602f080320300007906000200010000050105|0300002502f080320100007a06000e00060501120a1002000200008400000000040010001d:,0300001602f080320300007a060002000100000501ff
538,0300001f02f080320100001a02000e00000401120a10020002000084000000:0300001b02f080320300001a020002000600000401ff040010001e|0300001f02f080320100001b02000e00000401120a10020002001584000000:0300001902f080320300001b0200020004000004010a000004|0300001f02f080320100001c02000e00000401120a10020002000083000000:0300001b02f080320300001c020002000600000401ff0400100100|0300002402f080320100001d02000e00050501120a100200010000830000000004000801:0300001602f080320300001d020002000100000501ff|0300001f02f080320100001e02000e00000401120a10020007000084000000:0300001902f080320300001e02000200040000040105000004|0300002502f080320100001f02000e00060501120a1002000200008400000000040010000f:0300001602f080320300001f020002000100000501ff|0300001f02f080320100002002000e00000401120a10020002000084000000:0300001b02f0803203000020020002000600000401ff040010000f|0300002502f080320100002102000e00060501120a10020002000084000000000400100019:0300001602f0803203000021020002000100000501ff|0300002402f080320100002202000e00050501120a100200010000830000400004000800:,0300001602f080320300002202000200010000050105
3383,0300002502f08032010000370d000e00060501120a10020002002584000000000400100004:0300001602f08032030000370d00020001000005010a|0300001f02f08032010000380d000e00000401120a10020002000084000000:0300001b02f08032030000380d0002000600000401ff0400100008|0300002402f08032010000390d000e00050501120a100200010000830000000004000800:0300001602f08032030000390d0002000100000501ff|0300002502f080320100003a0d000e00060501120a10020002000084000000000400100017:0300001602f080320300003a0d0002000100000501ff|0300001f02f080320100003b0d000e00000401120a10020002000084000000:0300001b02f080320300003b0d0002000600000401ff0400100017|0300001f02f080320100003c0d000e00000401120a10020002000083000000:0300001b02f080320300003c0d0002000600000401ff0400100000|0300002402f080320100003d0d000e00050501120a100200010000830001600004000801:0300001602f080320300003d0d000200010000050105|0300002402f080320100003e0d000e00050501120a100200010000830000000004000801:0300001602f080320300003e0d0002000100000501ff|0300001f02f080320100003f0d000e00000401120a10020002000284000110:,0300001902f080320300003f0d00020004000004010a000004
2569,0300001f02f08032010000090a000e00000401120a10020002000083000000:0300001b02f08032030000090a0002000600000401ff0400100100|0300002502f080320100000a0a000e00060501120a10020002000084000000000400100006:0300001602f080320300000a0a0002000100000501ff|0300002402f080320100000b0a000e00050501120a100200010000830000000004000801:0300001602f080320300000b0a0002000100000501ff|0300002502f080320100000c0a000e00060501120a1002000200028400000000040010001c:0300001602f080320300000c0a00020001000005010a|0300001f02f080320100000d0a000e00000401120a10020002000084000000:0300001b02f080320300000d0a0002000600000401ff0400100006|0300002502f080320100000e0a000e00060501120a1002000200008400000000040010000b:0300001602f080320300000e0a0002000100000501ff|0300001f02f080320100000f0a000e00000401120a10020002000084000000:0300001b02f080320300000f0a0002000600000401ff040010000b|0300002402f08032010000100a000e00050501120a100200010000830000000004000800:0300001602f08032030000100a0002000100000501ff|0300001f02f08032010000110a000e00000401120a10020002000083000000:,0300001b02f08032030000110a0002000600000401ff0400100000
3413,0300002402f08032010000550d000e00050501120a100200010000830000000004000800:0300001602f08032030000550d0002000100000501ff|0300002402f08032010000560d000e00050501120a100200010000830001000004000800:0300001602f08032030000560d000200010000050105|0300001f02f08032010000570d000e00000401120a10020002000083000000:0300001b02f08032030000570d0002000600000401ff0400100000|0300002502f08032010000580d000e00060501120a10020002000084000000000400100008:0300001602f08032030000580d0002000100000501ff|0300001f02f08032010000590d000e00000401120a10020002000084000000:0300001b02f08032030000590d0002000600000401ff0400100008|0300002402f080320100005a0d000e00050501120a100200010000830000000004000801:0300001602f080320300005a0d0002000100000501ff|0300002502f080320100005b0d000e00060501120a1002000200178400000000040010000b:0300001602f080320300005b0d00020001000005010a|0300002402f080320100005c0d000e00050501120a100200010000830000000004000801:0300001602f080320300005c0d0002000100000501ff|0300001f02f080320100005d0d000e00000401120a10020002000083000078:,0300001902f080320300005d0d000200040000040105000004
1099,0300001f02f080320100004b04000e00000401120a10020002000083000000:0300001b02f080320300004b040002000600000401ff0400100100|0300002502f080320100004c04000e00060501120a1002000200008400000000040010001d:0300001602f080320300004c040002000100000501ff|0300002402f080320100004d04000e00050501120a100200010000830000000004000800:0300001602f080320300004d040002000100000501ff|0300001f02f080320100004e04000e00000401120a10020002000084000000:0300001b02f080320300004e040002000600000401ff040010001d|0300001f02f080320100004f04000e00000401120a10020002000083000000:0300001b02f080320300004f040002000600000401ff0400100000|0300002402f080320100005004000e00050501120a100200010000830000000004000801:0300001602f0803203000050040002000100000501ff|0300002502f080320100005104000e00060501120a1002000200008400000000040010001f:0300001602f0803203000051040002000100000501ff|0300001f02f080320100005204000e00000401120a10020002000084000000:0300001b02f0803203000052040002000600000401ff040010001f|0300001f02f080320100005304000e00000401120a10020003000384000000:,0300001902f08032030000530400020004000004010a000004
