,source_text,target_text
186,0300001f02f08032010000ba00000e00000401120a10020002000284000008:0300001902f08032030000ba00000200040000040105000004|0300001f02f08032010000bb00000e00000401120a10020002000384000000:0300001b02f08032030000bb000002000600000401ff0400103200|0300001f02f08032010000bc00000e00000401120a10020002000284000000:0300001b02f08032030000bc000002000600000401ff0400100000|0300001f02f08032010000bd00000e00000401120a10020002000284000030:0300001902f08032030000bd00000200040000040105000004|0300001f02f08032010000be00000e00000401120a10020002000184000000:0300001b02f08032030000be000002000600000401ff0400100000|0300001f02f08032010000bf00000e00000401120a10020002000284000000:0300001b02f08032030000bf000002000600000401ff0400100000|0300001f02f08032010000c000000e00000401120a10020002000384000000:,0300001b02f08032030000c0000002000600000401ff0400100000
3301,0300001f02f08032010000e50c000e00000401120a10020002000284000000:0300001b02f08032030000e50c0002000600000401ff0400100000|0300001f02f08032010000e60c000e00000401120a10020002000384000000:0300001b02f08032030000e60c0002000600000401ff0400100000|0300001f02f08032010000e70c000e00000401120a10020002001384000000:0300001902f08032030000e70c00020004000004010a000004|0300001f02f08032010000e80c000e00000401120a10020002000184000000:0300001b02f08032030000e80c0002000600000401ff0400100000|0300001f02f08032010000e90c000e00000401120a10020003000184000000:0300001902f08032030000e90c000200040000040105000004|0300001f02f08032010000ea0c000e00000401120a10020002000284000000:0300001b02f08032030000ea0c0002000600000401ff0400100000|0300001f02f08032010000eb0c000e00000401120a10020002000384000000:,0300001b02f08032030000eb0c0002000600000401ff0400103200
2463,0300001f02f080320100009f09000e00000401120a10020002000284000000:0300001b02f080320300009f090002000600000401ff0400100000|0300001f02f08032010000a009000e00000401120a10020002000384000000:0300001b02f08032030000a0090002000600000401ff0400100000|0300001f02f08032010000a109000e00000401120a10020002000284000000:0300001b02f08032030000a1090002000600000401ff0400100000|0300001f02f08032010000a209000e00000401120a10020002000084000000:0300001b02f08032030000a2090002000600000401ff0400100000|0300001f02f08032010000a309000e00000401120a10020002000e84000000:0300001902f08032030000a30900020004000004010a000004|0300001f02f08032010000a409000e00000401120a10020002000184000000:0300001b02f08032030000a4090002000600000401ff0400103200|0300001f02f08032010000a509000e00000401120a10020002000084000000:,0300001b02f08032030000a5090002000600000401ff0400100000
1031,0300001f02f080320100000704000e00000401120a10020002000184000000:0300001b02f0803203000007040002000600000401ff0400100000|0300001f02f080320100000804000e00000401120a10020002000284000000:0300001b02f0803203000008040002000600000401ff0400100000|0300001f02f080320100000904000e00000401120a10020002000184000000:0300001b02f0803203000009040002000600000401ff0400103200|0300001f02f080320100000a04000e00000401120a10020002000084000000:0300001b02f080320300000a040002000600000401ff0400100000|0300001f02f080320100000b04000e00000401120a10020002000284000000:0300001b02f080320300000b040002000600000401ff0400100000|0300001f02f080320100000c04000e00000401120a10020002000384000000:0300001b02f080320300000c040002000600000401ff0400100000|0300001f02f080320100000d04000e00000401120a10020002000084000100:,0300001902f080320300000d04000200040000040105000004
3415,0300001f02f08032010000570d000e00000401120a100200020001840000b0:0300001902f08032030000570d000200040000040105000004|0300001f02f08032010000580d000e00000401120a10020002000384000000:0300001b02f08032030000580d0002000600000401ff0400100000|0300001f02f08032010000590d000e00000401120a10020002000284000000:0300001b02f08032030000590d0002000600000401ff0400100000|0300001f02f080320100005a0d000e00000401120a10020002000084000000:0300001b02f080320300005a0d0002000600000401ff0400100000|0300001f02f080320100005b0d000e00000401120a10020002000384000000:0300001b02f080320300005b0d0002000600000401ff0400103200|0300001f02f080320100005c0d000e00000401120a10020002000284000000:0300001b02f080320300005c0d0002000600000401ff0400100000|0300001f02f080320100005d0d000e00000401120a10020002000384000028:,0300001902f080320300005d0d000200040000040105000004
765,0300001f02f08032010000fd02000e00000401120a10020002000384000000:0300001b02f08032030000fd020002000600000401ff0400103200|0300001f02f08032010000fe02000e00000401120a10020002000284000000:0300001b02f08032030000fe020002000600000401ff0400100000|0300001f02f08032010000ff02000e00000401120a10020002000184000000:0300001b02f08032030000ff020002000600000401ff0400100000|0300001f02f080320100000003000e00000401120a10020002000084000000:0300001b02f0803203000000030002000600000401ff0400100000|0300001f02f080320100000103000e00000401120a10020002000184000130:0300001902f080320300000103000200040000040105000004|0300001f02f080320100000203000e00000401120a10020002000384000000:0300001b02f0803203000002030002000600000401ff0400100000|0300001f02f080320100000303000e00000401120a10020002000384000000:,0300001b02f0803203000003030002000600000401ff0400103200
393,0300001f02f080320100008901000e00000401120a10020002000084000000:0300001b02f0803203000089010002000600000401ff0400100000|0300001f02f080320100008a01000e00000401120a10020002000384000000:0300001b02f080320300008a010002000600000401ff0400100000|0300001f02f080320100008b01000e00000401120a10020002001c84000000:0300001902f080320300008b0100020004000004010a000004|0300001f02f080320100008c01000e00000401120a10020002000284000000:0300001b02f080320300008c010002000600000401ff0400100000|0300001f02f080320100008d01000e00000401120a10020002000184000000:0300001b02f080320300008d010002000600000401ff0400103200|0300001f02f080320100008e01000e00000401120a10020002000384000000:0300001b02f080320300008e010002000600000401ff0400103200|0300001f02f080320100008f01000e00000401120a10020002000284000000:,0300001b02f080320300008f010002000600000401ff0400100000
1293,0300001f02f080320100000d05000e00000401120a10020002000384000000:0300001b02f080320300000d050002000600000401ff0400103200|0300001f02f080320100000e05000e00000401120a10020002000284000108:0300001902f080320300000e05000200040000040105000004|0300001f02f080320100000f05000e00000401120a10020002000284000000:0300001b02f080320300000f050002000600000401ff0400100000|0300001f02f080320100001005000e00000401120a10020002000184000000:0300001b02f0803203000010050002000600000401ff0400100000|0300001f02f080320100001105000e00000401120a10020002000084000000:0300001b02f0803203000011050002000600000401ff0400100000|0300001f02f080320100001205000e00000401120a10020002000084000000:0300001b02f0803203000012050002000600000401ff0400100000|0300001f02f080320100001305000e00000401120a10020002000084000090:,0300001902f080320300001305000200040000040105000004
1628,0300001f02f080320100005c06000e00000401120a10020002000084000000:0300001b02f080320300005c060002000600000401ff0400100000|0300001f02f080320100005d06000e00000401120a10020002000284000000:0300001b02f080320300005d060002000600000401ff0400100000|0300001f02f080320100005e06000e00000401120a10020002000184000000:0300001b02f080320300005e060002000600000401ff0400100000|0300001f02f080320100005f06000e00000401120a10020002000184000128:0300001902f080320300005f06000200040000040105000004|0300001f02f080320100006006000e00000401120a10020002000184000000:0300001b02f0803203000060060002000600000401ff0400103200|0300001f02f080320100006106000e00000401120a10020002000084000000:0300001b02f0803203000061060002000600000401ff0400100000|0300001f02f080320100006206000e00000401120a10020002003184000000:,0300001902f08032030000620600020004000004010a000004
1141,0300001f02f080320100007504000e00000401120a10020002000084000000:0300001b02f0803203000075040002000600000401ff0400100000|0300001f02f080320100007604000e00000401120a10020002000184000000:0300001b02f0803203000076040002000600000401ff0400100000|0300001f02f080320100007704000e00000401120a10020002000384000000:0300001b02f0803203000077040002000600000401ff0400103200|0300001f02f080320100007804000e00000401120a10020002000084000000:0300001b02f0803203000078040002000600000401ff0400100000|0300001f02f080320100007904000e00000401120a10020002000184000000:0300001b02f0803203000079040002000600000401ff0400103200|0300001f02f080320100007a04000e00000401120a10020002000284000000:0300001b02f080320300007a040002000600000401ff0400100000|0300001f02f080320100007b04000e00000401120a10020002001984000000:,0300001902f080320300007b0400020004000004010a000004
