,source_text,target_text
431,0300001f02f08032010000af01000e00000401120a1002000203ff84000000,0300001902f08032030000af0100020004000004010a000004
1085,0300001f02f080320100003d04000e00000401120a10020002002884000000,0300001b02f080320300003d040002000600000401ff0400100000
1261,0300001f02f08032010000ed04000e00000401120a10020002001384000000,0300001b02f08032030000ed040002000600000401ff0400100000
791,0300002902f080320100001703000e000a0501120a1002000600008300000000040030000000000001,0300001602f0803203000017030002000100000501ff
1267,0300002502f08032010000f304000e00060501120a1002000203ff8400000000040010000a,0300001602f08032030000f30400020001000005010a
583,0300002502f080320100004702000e00060501120a1002000203a084000000000400100063,0300001602f08032030000470200020001000005010a
967,0300002502f08032010000c703000e00060501120a10020002013c84000000000400100063,0300001602f08032030000c70300020001000005010a
143,0300001f02f080320100008f00000e00000401120a10020002002884000000,0300001b02f080320300008f000002000600000401ff0400100000
97,0300001f02f080320100006100000e00000401120a10020002002884000000,0300001b02f0803203000061000002000600000401ff0400100063
1351,0300001f02f080320100004705000e00000401120a1002000203ff84000000,0300001902f08032030000470500020004000004010a000004
445,0300002902f08032010000bd01000e000a0501120a1002000600008300000000040030000000000000,0300001602f08032030000bd010002000100000501ff
1361,0300001f02f080320100005105000e00000401120a10020002000d84000000,0300001b02f0803203000051050002000600000401ff0400100000
1418,0300001f02f080320100008a05000e00000401120a10020002000083000000,0300001b02f080320300008a050002000600000401ff0400100000
340,0300002902f080320100005401000e000a0501120a1002000600008300000000040030000000000100,0300001602f0803203000054010002000100000501ff
1123,0300002902f080320100006304000e000a0501120a1002000600008300000000040030000000000001,0300001602f0803203000063040002000100000501ff
678,0300001f02f08032010000a602000e00000401120a1002000203ff84000000,0300001902f08032030000a60200020004000004010a000004
345,0300002502f080320100005901000e00060501120a1002000200288400000000040010003f,0300001602f0803203000059010002000100000501ff
497,0300002502f08032010000f101000e00060501120a10020002002884000000000400100000,0300001602f08032030000f1010002000100000501ff
758,0300001f02f08032010000f602000e00000401120a10020002027984000000,0300001902f08032030000f60200020004000004010a000004
1334,0300002902f080320100003605000e000a0501120a1002000600008300000000040030000000000101,0300001602f0803203000036050002000100000501ff
251,0300001f02f08032010000fb00000e00000401120a10020002002584000000,0300001b02f08032030000fb000002000600000401ff0400100000
89,0300001f02f080320100005900000e00000401120a1002000203ff84000000,0300001902f08032030000590000020004000004010a000004
838,0300002502f080320100004603000e00060501120a1002000203ff8400000000040010003e,0300001602f08032030000460300020001000005010a
11,0300001f02f080320100000b00000e00000401120a10020002000083000000,0300001b02f080320300000b000002000600000401ff0400100000
646,0300001f02f080320100008602000e00000401120a1002000201ca84000000,0300001902f08032030000860200020004000004010a000004
1203,0300001f02f08032010000b304000e00000401120a10020002000083000000,0300001b02f08032030000b3040002000600000401ff0400100000
285,0300001f02f080320100001d01000e00000401120a10020002000083000000,0300001b02f080320300001d010002000600000401ff0400100000
274,0300001f02f080320100001201000e00000401120a10020002000083000000,0300001b02f0803203000012010002000600000401ff0400100000
1312,0300001f02f080320100002005000e00000401120a1002000201e084000000,0300001902f08032030000200500020004000004010a000004
930,0300001f02f08032010000a203000e00000401120a10020002002784000000,0300001b02f08032030000a2030002000600000401ff0400100000
912,0300002902f080320100009003000e000a0501120a1002000600008300000000040030000000000001,0300001602f0803203000090030002000100000501ff
453,0300002502f08032010000c501000e00060501120a10020002002884000000000400100063,0300001602f08032030000c5010002000100000501ff
225,0300001f02f08032010000e100000e00000401120a1002000203de84000000,0300001902f08032030000e10000020004000004010a000004
1426,0300001f02f080320100009205000e00000401120a10020002028f84000000,0300001902f08032030000920500020004000004010a000004
324,0300002502f080320100004401000e00060501120a1002000203ff84000000000400100063,0300001602f08032030000440100020001000005010a
800,0300001f02f080320100002003000e00000401120a10020002002884000000,0300001b02f0803203000020030002000600000401ff0400100030
900,0300002502f080320100008403000e00060501120a10020002002884000000000400100000,0300001602f0803203000084030002000100000501ff
1280,0300001f02f080320100000005000e00000401120a10020002002884000000,0300001b02f0803203000000050002000600000401ff040010003f
727,0300002902f08032010000d702000e000a0501120a1002000600008300000000040030000000000101,0300001602f08032030000d7020002000100000501ff
1174,0300001f02f080320100009604000e00000401120a10020002000084000000,0300001b02f0803203000096040002000600000401ff0400100000
973,0300001f02f08032010000cd03000e00000401120a10020002000083000000,0300001b02f08032030000cd030002000600000401ff0400100000
602,0300002602f080320100005a02000e00070501120a1002000300008300000000040018000001,0300001602f080320300005a020002000100000501ff
982,0300002902f08032010000d603000e000a0501120a1002000600008300000000040030000000000000,0300001602f08032030000d6030002000100000501ff
186,0300001f02f08032010000ba00000e00000401120a10020002000083000000,0300001b02f08032030000ba000002000600000401ff0400100000
1438,0300001f02f080320100009e05000e00000401120a10020002002884000000,0300001b02f080320300009e050002000600000401ff0400100063
751,0300001f02f08032010000ef02000e00000401120a1002000202e884000000,0300001902f08032030000ef0200020004000004010a000004
1454,0300002902f08032010000ae05000e000a0501120a1002000600008300000000040030000000000101,0300001602f08032030000ae050002000100000501ff
1234,0300001f02f08032010000d204000e00000401120a1002000203ff84000000,0300001902f08032030000d20400020004000004010a000004
0,0300001902f08032010000000000080000f0000001000101e0,0300001b02f080320300000000000800000000f0000001000101e0
237,0300001f02f08032010000ed00000e00000401120a10020002000083000000,0300001b02f08032030000ed000002000600000401ff0400100000
1356,0300001f02f080320100004c05000e00000401120a10020002004584000000,0300001b02f080320300004c050002000600000401ff0400100063
1360,0300001f02f080320100005005000e00000401120a10020002034f84000000,0300001902f08032030000500500020004000004010a000004
1390,0300001f02f080320100006e05000e00000401120a10020002000084000000,0300001b02f080320300006e050002000600000401ff0400100000
852,0300001f02f080320100005403000e00000401120a1002000203ff84000000,0300001902f08032030000540300020004000004010a000004
709,0300001f02f08032010000c502000e00000401120a10020002002884000000,0300001b02f08032030000c5020002000600000401ff0400100063
288,0300001f02f080320100002001000e00000401120a10020002002784000000,0300001b02f0803203000020010002000600000401ff0400100000
1269,0300001f02f08032010000f504000e00000401120a10020002000084000000,0300001b02f08032030000f5040002000600000401ff0400100000
672,0300001f02f08032010000a002000e00000401120a10020002001e84000000,0300001b02f08032030000a0020002000600000401ff0400100000
650,0300001f02f080320100008a02000e00000401120a1002000203ff84000000,0300001902f080320300008a0200020004000004010a000004
686,0300002502f08032010000ae02000e00060501120a1002000203ff84000000000400100063,0300001602f08032030000ae0200020001000005010a
824,0300002502f080320100003803000e00060501120a1002000201b284000000000400100000,0300001602f08032030000380300020001000005010a
966,0300002902f08032010000c603000e000a0501120a1002000600008300000000040030000000000100,0300001602f08032030000c6030002000100000501ff
692,0300001f02f08032010000b402000e00000401120a10020002002884000000,0300001b02f08032030000b4020002000600000401ff0400100063
150,0300002902f080320100009600000e000a0501120a1002000600008300000000040030000000000100,0300001602f0803203000096000002000100000501ff
294,0300001f02f080320100002601000e00000401120a10020002000083000000,0300001b02f0803203000026010002000600000401ff0400100000
1209,0300002502f08032010000b904000e00060501120a1002000203ff84000000000400100000,0300001602f08032030000b90400020001000005010a
1284,0300001f02f080320100000405000e00000401120a10020002000b84000000,0300001b02f0803203000004050002000600000401ff0400100000
1003,0300001f02f08032010000eb03000e00000401120a10020002002884000000,0300001b02f08032030000eb030002000600000401ff0400100008
675,0300001f02f08032010000a302000e00000401120a10020002013c84000000,0300001902f08032030000a30200020004000004010a000004
623,0300002502f080320100006f02000e00060501120a10020002025484000000000400100030,0300001602f080320300006f0200020001000005010a
80,0300002502f080320100005000000e00060501120a1002000203aa8400000000040010002c,0300001602f08032030000500000020001000005010a
346,0300002902f080320100005a01000e000a0501120a1002000600008300000000040030000000000000,0300001602f080320300005a010002000100000501ff
1311,0300002502f080320100001f05000e00060501120a10020002002884000000000400100042,0300001602f080320300001f050002000100000501ff
434,0300001f02f08032010000b201000e00000401120a10020002000084000000,0300001b02f08032030000b2010002000600000401ff0400100000
1065,0300001f02f080320100002904000e00000401120a10020002000084000000,0300001b02f0803203000029040002000600000401ff0400100000
339,0300001f02f080320100005301000e00000401120a1002000203ff84000000,0300001902f08032030000530100020004000004010a000004
