,source_text,target_text
3344,0300001f02f08032010000100d000e00000401120a10020004002784000000,0300001d02f08032030000100d0002000800000401ff040020006f0000
4309,0300002c02f08032010000d510000e000d0501120a1002000900008300000000040048000000000000000001,0300001602f08032030000d51000020001000005010a
2072,0300002c02f080320100001808000e000d0501120a1002000900008300000000040048000000000000010000,0300001602f08032030000180800020001000005010a
3444,0300001f02f08032010000740d000e00000401120a1002000401ef84000000,0300001902f08032030000740d00020004000004010a000004
6020,0300001f02f080320100008417000e00000401120a1002000403b484000000,0300001902f08032030000841700020004000004010a000004
787,0300001f02f080320100001303000e00000401120a10020004000083000000,0300001902f08032030000130300020004000004010a000004
6245,0300001f02f080320100006518000e00000401120a10020004000083000000,0300001902f08032030000651800020004000004010a000004
5396,0300001f02f080320100001415000e00000401120a10020004002884000000,0300001902f08032030000141500020004000004010a000004
3845,0300002c02f08032010000050f000e000d0501120a1002000900008300000000040048000000000000000000,0300001602f08032030000050f00020001000005010a
2479,0300002502f08032010000af09000e00060501120a1002000202568400000000040010071e,0300001602f08032030000af0900020001000005010a
3903,0300001f02f080320100003f0f000e00000401120a10020004038684000000,0300001902f080320300003f0f00020004000004010a000004
141,0300001f02f080320100008d00000e00000401120a10020002002784000000,0300001b02f080320300008d000002000600000401ff0400101971
4840,0300001f02f08032010000e812000e00000401120a10020004000083000000,0300001902f08032030000e81200020004000004010a000004
3146,0300002c02f080320100004a0c000e000d0501120a1002000900008300000000040048000000000000000100,0300001602f080320300004a0c00020001000005010a
541,0300001f02f080320100001d02000e00000401120a10020004000083000000,0300001902f080320300001d0200020004000004010a000004
735,0300001f02f08032010000df02000e00000401120a10020004000083000000,0300001902f08032030000df0200020004000004010a000004
2610,0300002c02f08032010000320a000e000d0501120a1002000900008300000000040048000000000000000001,0300001602f08032030000320a00020001000005010a
4829,0300001f02f08032010000dd12000e00000401120a1002000400ca84000000,0300001902f08032030000dd1200020004000004010a000004
3712,0300001f02f08032010000800e000e00000401120a10020004000083000000,0300001902f08032030000800e00020004000004010a000004
5040,0300002702f08032010000b013000e00080501120a1002000403ff840000000004002042db0000,0300001602f08032030000b01300020001000005010a
4747,0300002702f080320100008b12000e00080501120a1002000403ff840000000004002000000000,0300001602f080320300008b1200020001000005010a
2379,0300001f02f080320100004b09000e00000401120a1002000403ff84000000,0300001902f080320300004b0900020004000004010a000004
3209,0300001f02f08032010000890c000e00000401120a10020004010784000000,0300001902f08032030000890c00020004000004010a000004
