,source_text,target_text
0,00010000000900100002000102824f,000100000006001000020001
1,00010000000b0010002d00020445d68d76,0001000000060010002d0002
2,0002000000090010003f000102fc41,0002000000060010003f0001
3,00030000000d001000060003061568ccd6bbec,000300000006001000060003
4,0004000000150010002100070e5025dc8a24633ef3722047b33dd3,000400000006001000210007
5,00050000001b0010001b000a148a6dcb318ff941c417380b97bfb80253b694a60e,0005000000060010001b000a
6,0006000000150010002e00070ed083f4dce239cfb3f52998170fea,0006000000060010002e0007
7,00070000001900100027000912e52d5ab8d64ebaf6e5509fea5c482a422b59,000700000006001000270009
8,0008000000090010000b000102c64e,0008000000060010000b0001
9,0009000000170010000b000810a4b1f882dadeaa04429d88677f633ad1,0009000000060010000b0008
10,000a0000001700100040000810196e3580cc29c45b67238546b1d46c7c,000a00000006001000400008
11,000b0000000d00100034000306986cda222037,000b00000006001000340003
12,000c00000019001000230009120edf3a5f60c682114c639a2ff334a9323184,000c00000006001000230009
13,000d000000150010000200070ea9b27b2a707127ba49275dff63d0,000d00000006001000020007
14,000e0000001b00100034000a14c1f4355c5e469e6ebaf0dfe4fc07c9505f0d7960,000e0000000600100034000a
15,000f000000090010002f0001025479,000f000000060010002f0001
16,0010000000130010003c00060cb4ebfa76479ca00518c213e6,0010000000060010003c0006
17,00110000000b0010002e000204ad985663,0011000000060010002e0002
18,00120000000b0010001900020473d69f6c,001200000006001000190002
19,0013000000130010002900060ccdd1e49a16e8529a066b6638,001300000006001000290006
20,00140000001900100018000912548e581c43027e4f6c741923ecfb33e1bf60,001400000006001000180009
21,0015000000150010001d00070e3180474cc1957f8518186b04dca0,0015000000060010001d0007
22,00160000000f00100003000408593009fc78d3467e,001600000006001000030004
23,00170000000f00100027000408704bc1f36f356c3e,001700000006001000270004
24,00180000000d0010001c000306c7fafadd5869,0018000000060010001c0003
25,00190000000d0010000a00030619168ed37ccb,0019000000060010000a0003
26,001a000000110010003e00050aacc8d345963e8494b233,001a000000060010003e0005
27,001b0000001b00100038000a149589d3536f97413f909c8504513550e011a81087,001b0000000600100038000a
28,001c000000110010003000050a18207281faabc75b7c73,001c00000006001000300005
29,001d000000090010003e000102fee2,001d000000060010003e0001
30,001e0000000d0010000a00030638c3a2a543d3,001e000000060010000a0003
31,001f000000150010000800070e5807b55a6d89edce18027c76685d,001f00000006001000080007
32,0020000000130010002600060c85b6b82fc922c1b860f79760,002000000006001000260006
33,0021000000170010002800081054452e88250f963a2365e2177585b9f6,002100000006001000280008
34,00220000000b00100003000204915d6e60,002200000006001000030002
35,00230000000d001000100003060876a33d2323,002300000006001000100003
36,00240000000d001000100003062539b64b187a,002400000006001000100003
37,0025000000170010000f00081032b4733e13511390d72a22e816cb878e,0025000000060010000f0008
38,00260000000f0010003e000408465dcd14179b0a5f,0026000000060010003e0004
39,002700000009001000150001029436,002700000006001000150001
